Compound ID,Targets,PDB ID,Ligand code,SMILES,Measurement,Potency,Unit,Convert Potency
GTC000444A,TrmD,4YPW,4FD,NC(=O)c1ccc(NCc2ccccc2)nc1,IC50,3162,nM,5.50
GTC000445A,TrmD,4YPX,4FG,NC(=O)c1ccc(N)nc1,IC50,25119,nM,4.60
GTC000446A,TrmD,4YPY,4F9,c1nc(c[nH]1)-c1ccncc1,IC50,158489,nM,3.80
GTC000447A,TrmD,4YPZ,4FL,c1c[nH]c(n1)-c1ccncc1,IC50,316228,nM,3.50
GTC000448A,TrmD,4YQ0,4FM,Nc1nonc1C(=O)NCc1ccc(Cl)cc1,IC50,39811,nM,4.40
GTC000449A,TrmD,4YQ1,4FN,CC(C)(C)c1cccc(c1)C(=O)NCC1(CCCCC1)NC(=O)c1cccc2nocc12,IC50,5.01,nM,8.30
GTC000450A,TrmD,4YQ2,EFY,CC(C)(C)c1cccc(c1)C(=O)NCC1(CCCC1)NC(=O)c1cccc2nocc12,IC50,5.01,nM,8.30
GTC000451A,TrmD,4YQ3,4G1,Cc1cccc(c1)C(=O)NCC1(CCCC1)NC(=O)c1cccc2nocc12,IC50,158,nM,6.80
GTC000452A,TrmD,4YQ4,4G3,NC(=O)c1ccc(NCc2cccc(O)c2)nc1,IC50,1995,nM,5.70
GTC000453A,TrmD,4YQ5,4G0,CN(C)c1cccc(CNc2ccc(cn2)C(N)=O)c1,IC50,3981,nM,5.40
GTC000454A,TrmD,4YQ6,4FX,COc1ccccc1CNc1ccc(cn1)C(N)=O,IC50,794,nM,6.10
GTC000455A,TrmD,4YQ7,4G4,CN(C)c1ccccc1CNc1ccc(cn1)C(N)=O,IC50,6310,nM,5.20
GTC000456A,TrmD,4YQ8,4FV,Nc1nonc1C(=O)N[C@@H]1CC[C@H](O)C1,IC50,7943,nM,5.10
GTC000457A,TrmD,4YQ9,4GO,NC(=O)c1ccc(NC2CCCC2)nc1,IC50,200,nM,6.70
GTC000458A,TrmD,4YQA,4GN,NC(=O)c1ccc(NCC2CCCC2)nc1,IC50,501,nM,6.30
GTC000459A,TrmD,4YQB,4GM,NC(=O)c1ccc(NCc2ccccc2O)nc1,IC50,1259,nM,5.90
GTC000460A,TrmD,4YQC,EFW,NC(=O)c1ccc(N[C@@H]2CC[C@@H](O)C2)nc1,IC50,200,nM,6.70
GTC000461A,TrmD,4YQD,4GZ,Cc1cccc(c1)C(=O)NCCC1(CNc2ccc(cn2)C(N)=O)CCCCC1,IC50,7943,nM,5.10
GTC000462A,TrmD,4YQG,4GY,Nc1nonc1C(=O)NCC1CCCCC1,IC50,1995,nM,5.70
GTC000463A,TrmD,4YQI,4GX,Nc1nonc1C(=O)N1CCN(Cc2ccccn2)CC1,IC50,15849,nM,4.80
GTC000464A,TrmD,4YQJ,4GT,NC(=O)c1cnc(NC2CCCC2)nc1N,IC50,631,nM,6.20
GTC000465A,TrmD,4YQK,4GS,Nc1nonc1C(=O)NC1CCNCC1,IC50,19953,nM,4.70
GTC000466A,TrmD,4YQL,4H4,Nc1nonc1C(=O)N[C@@H]1C[C@H]1c1ccc(cc1)S(N)(=O)=O.Nc1nonc1C(=O)N[C@H]1C[C@@H]1c1ccc(cc1)S(N)(=O)=O,IC50,15849,nM,4.80
GTC000468A,TrmD,4YQN,4H3,NC(=O)c1ccc(N[C@H]2C[C@H](O)[C@@H](CO)C2)nc1,IC50,1585,nM,5.80
GTC000469A,TrmD,4YQO,4H1,NC[C@H](C1)CCC[C@H]1CNC2=NC=C(C(N)=O)C=C2,IC50,501,nM,6.30
GTC000470A,TrmD,4YQP,4H6,NC(=O)c1ccc(NCc2ccccc2N2CCOCC2)nc1,IC50,1995,nM,5.70
GTC000471A,TrmD,4YQQ,4H7,CN1CCN(CC1)c1ccccc1CNc1ccc(cn1)C(N)=O,IC50,794,nM,6.10
GTC000472A,TrmD,4YQR,4HQ,CN1CCN(CC1)C(=O)c1nonc1N,IC50,100000,nM,4.00
GTC000473A,TrmD,4YQS,4H9,COc1ccc(cc1)C(=O)n1ncnc1N,IC50,2512,nM,5.60
GTC000474A,TrmD,4YQT,4H8,CC(C)(C)CNc1ncc(C(N)=O)c(N)n1,IC50,794,nM,6.10
GTC000222A,SYK Kinase,4YJO,4DF,CCN(c1cccc2[nH]ncc12)c1nc(Nc2ccc3CNS(=O)(=O)c3c2)ncc1Cl,IC50,12.7,nM,7.90
GTC000223A,SYK Kinase,4YJP,4DL,OCCN(c1ccnc(Nc2ccc3CNS(=O)(=O)c3c2)n1)c1cccc2[nH]ncc12,IC50,3.45,nM,8.46
GTC000224A,SYK Kinase,4YJQ,4DK,Cc1ncoc1-c1cccc(Nc2nccc(n2)N(CCCO)c2cccc3[nH]ncc23)c1,IC50,11.1,nM,7.95
GTC000225A,SYK Kinase,4YJR,4DJ,Cn1ncc2cc(Nc3nccc(n3)N(CCCO)c3cccc4[nH]ncc34)ccc12,IC50,20.6,nM,7.69
GTC000226A,SYK Kinase,4YJS,4DN,OCCCN(c1ccnc(Nc2ccc3CNS(=O)(=O)c3c2)n1)c1cccc2[nH]ncc12,IC50,0.412,nM,9.39
GTC000233A,SYK Kinase,4YJT,4DQ,CCN(c1cccc2[nH]ncc12)c1nc(Nc2ccc3CNS(=O)(=O)c3c2)ncc1F,IC50,1.61,nM,8.79
GTC000249A,SYK Kinase,4YJU,4DO,CN(c1nc(Nc2ccc3CNS(=O)(=O)c3c2)ncc1F)c1cccc2[nH]ncc12,IC50,11.6,nM,7.94
GTC000250A,SYK Kinase,4YJV,4DT,CCN(c1cccc2[nH]ncc12)c1nc(Nc2ccc3cnn(CCCO)c3c2)ncc1F,IC50,2.81,nM,8.55
hsp90_12,hsp90,4YKR,4EP,CCCC1=CC(N2C(=O)NC3=CC=CC=C23)=C(O)C=C1O,IC50,29.2,nM,7.53
hsp90_40,hsp90,4YKQ,4EO,CCC1=CC(N2C(=O)NC3=CC=CC=C23)=C(O)C=C1O,IC50,24.8,nM,7.61
hsp90_44,hsp90,4YKT,4EQ,OC1=CC(O)=C(C=C1Cl)N1C(=O)NC2=CC(CNS(=O)(=O)C3=CC=CN=C3)=CC=C12,IC50,5.22,nM,8.28
hsp90_73,hsp90,4YKW,4ES,CC1=CC(=NC(N)=N1)C1=CC=C(C=C1Cl)N(=O)=O,IC50,96.1,nM,7.02
hsp90_164,hsp90,4YKX,4ET,OC1=CC=C(C=C1)C(=O)C1=CC(Cl)=CC=C1O,IC50,2770,nM,5.56
hsp90_175,hsp90,4YKZ,4EV,OC1=CC(=CC=C1)C(=O)C1=CC=C(O)C=C1O,IC50,8680,nM,5.06
hsp90_176,hsp90,4YKY,4EU,OC1=CC=C(C=C1)C(=O)C1=CC=C(O)C=C1O,IC50,50000,nM,4.30
hsp90_179,hsp90,4YKU,4ER,NC1=NC(=NC(N)=N1)C1=C(Cl)C=CC=C1,IC50,7590,nM,5.12
