UniProtIDs	PubChemCIDs	Labels	Predictions
A0A087WW23	77050673	8.8861	8.7121
A0A087WW23	85470875	8.9586	9.0694
A0A087WW23	86267448	7.3979	7.7602
A0A087WW23	86267449	6.3665	6.6764
A0A087WW23	86267659	5.6498	6.4053
A0A087WW23	86267868	6.3979	6.9873
A0A087WW23	86268087	8.9586	8.9853
A0A087WW23	86268088	6.7959	7.1950
A0A087WW23	86268284	6.0809	7.6823
A0A087WW23	86268285	8.8539	9.1105
A0A087WW23	86268289	7.8239	7.8910
A0A087WW23	86268290	7.6198	7.6906
A0A087WW23	86268479	5.6990	7.7510
A0A087WW23	86268482	7.6383	7.5818
A0A087WW23	86268483	7.3098	7.6830
A0A087WW23	86268485	9.3279	9.3570
A0A087WW23	86268486	8.6021	8.9811
A0A087WW23	86268683	7.6198	7.7277
A0A087WW23	86268686	9.1938	8.8576
A0A087WW23	86268687	7.9208	8.2151
A0A087WW23	86268893	8.3665	8.7392
A0A087WW23	86268894	8.5302	8.4503
A0A087WW23	86268895	5.6021	8.1943
A0A087WW23	86268896	7.0969	7.7202
A0A087WW23	86268897	8.1308	8.1903
A0A087WW23	86268898	7.8861	8.2488
A0A087WW23	86269094	8.2518	8.6201
A0A087WW23	86269300	6.0269	6.8312
A0A087WW23	86269302	7.0000	7.4688
A0A087WW23	86269501	8.5229	8.7091
A0A087WW23	86269504	7.3372	7.6118
A0A087WW23	86269505	7.3468	7.6778
A0A087WW23	86269709	7.2924	7.4351
A0A087WW23	86269710	8.2218	8.4024
A0A087WW23	86269907	7.0706	7.2829
A0A087WW23	86270093	7.6198	8.1311
A0A087WW23	86270475	6.6021	7.3276
A0A087WW23	90410072	8.1805	8.4203
A0A087WW23	90410109	8.2840	8.4490
A0A087WW23	90410121	7.5229	8.1062
A0A087WW23	90410124	8.0132	8.3032
A0A087WW23	90410148	8.6576	8.9113
A0A087WW23	90410156	8.6576	8.0537
A0A087WW23	90410179	7.7447	8.2263
A0A087WW23	90410205	7.2366	7.8393
A0A087WW23	90410206	6.6778	7.1813
A0A087WW23	90410228	5.7258	6.5827
A0A087WW23	90410254	8.0915	8.5120
A0A087WW23	90410266	9.2840	9.3850
A0A087WW23	90410270	7.8861	8.0117
A0A087WW23	90410291	5.8239	6.6462
A0A087WW23	90410293	8.5229	8.6331
A0A087WW23	90410300	8.5376	8.7870
A0A087WW23	90410390	8.0969	8.3939
A0A087WW23	90410395	8.8861	9.1875
A0A087WW23	90410429	9.2147	9.5093
A0A087WW23	90410476	6.3010	6.8244
A0A087WW23	90410481	8.1549	8.4349
A0A087WW23	90410491	8.4202	8.3918
A0A087WW23	90410508	7.8861	8.4628
A0A087WW23	90410519	8.2218	8.1874
A0A087WW23	90410531	6.1249	8.0753
A0A087WW23	90410588	9.0757	9.1978
A0A087WW23	90410611	8.1805	8.7628
A0A087WW23	90410619	8.9586	8.8139
A0A087WW23	90410696	8.0000	8.0231
A0A087WW23	90410731	7.8861	8.4568
A0A087WW23	90410789	6.8239	7.3105
A0A087WW23	90410852	8.8539	8.6242
A0A087WW23	90410863	7.4949	7.9313
A0A087WW23	90410869	7.9208	8.3589
A0A087WW23	90410873	7.2840	7.7554
A0A087WW23	90410884	7.7212	8.4934
A0A087WW23	90410891	7.4949	7.7065
A0A087WW23	90410896	8.6198	8.7163
A0A087WW23	90411001	9.4685	9.3173
A0A087WW23	90411005	7.8239	8.0919
A0A087WW23	90411011	6.1249	7.0771
A0A087WW23	90411013	5.7258	6.6847
A0A087WW23	90411059	8.0132	8.1859
A0A087WW23	90411078	7.3098	7.7484
A0A087WW23	90411108	8.9208	9.2053
A0A087WW23	90411222	7.5229	8.0198
A0A087WW23	90411248	7.5376	7.8668
A0A087WW23	90411258	8.1549	8.7694
A0A087WW23	90411261	8.4437	8.4717
A0A087WW23	90411311	8.0155	8.0402
A0A087WW23	90411410	6.3098	7.1164
A0A087WW23	90411422	8.1249	8.5874
A0A087WW23	90411457	7.8239	8.3218
A0A087WW23	90411459	6.9586	7.3397
A0A087WW23	90411514	7.6778	7.8316
A0A087WW23	90411515	8.5850	8.8102
A0A087WW23	90411579	8.5229	9.2457
A0A087WW23	90411622	7.7696	7.9124
A0A087WW23	90411788	8.1024	8.2846
A0A087WW23	90411817	6.0362	7.8487
A0A087WW23	90450794	8.6021	8.6894
A0A087WW23	90450795	8.3468	8.4166
A0A087WW23	90450796	8.0177	8.2620
A0A087WW23	90450798	7.2757	7.8451
