PDB	Labels	Predictions
2are	3.28	4.58
2oag	8.47	7.88
2jbj	9.70	7.05
2pwd	4.40	5.25
2pwg	4.82	5.53
2oym	5.00	6.36
2hzy	7.39	6.14
2ihj	4.59	5.78
2ojg	5.64	7.37
2hzl	6.57	4.02
2ovv	7.92	7.07
2nta	4.80	5.71
2qu6	8.52	7.51
2pog	9.54	7.55
2o4j	10.10	8.72
3b92	8.00	5.37
2p98	6.19	5.79
2z4b	9.36	7.73
2jj3	9.55	8.29
2h15	5.67	6.53
2pov	7.12	6.71
2pow	7.20	7.07
2nmx	5.57	7.29
1vso	4.72	5.11
2p95	9.37	8.01
2p16	10.10	7.79
2flr	6.10	6.88
2pgz	5.74	6.05
2bys	9.52	7.38
2gkl	5.35	5.22
2nsl	4.68	5.02
2nsj	4.79	5.07
2c92	5.68	5.75
2c94	6.82	6.04
2nnq	8.70	7.38
2psv	7.24	8.21
2cem	7.92	8.62
2cen	8.30	8.66
2q54	9.01	8.59
2b3f	6.03	4.64
2bbf	5.10	5.50
2e2r	8.26	6.40
2gz2	5.22	5.28
2hr6	4.92	4.87
2idz	9.40	5.92
2ihk	4.16	5.55
2jff	3.62	4.46
2oiq	4.94	7.41
2otz	3.63	4.05
2ou0	3.23	3.35
2pjo	0.05	4.04
2pzv	3.87	4.31
2q88	5.80	5.45
2q89	6.30	5.65
2qeh	8.62	5.74
2qvu	6.44	5.49
2r3d	-0.15	3.97
2r5p	8.48	8.77
2rde	7.01	6.01
2v8q	4.61	5.91
3b50	7.55	5.11
3bgq	7.96	6.73
3bgz	6.26	6.03
2v8y	5.71	5.44
2jgb	5.61	5.79
1gja	5.42	5.41
1swk	12.00	8.99
1toi	4.05	4.26
1iup	2.54	3.50
1tog	3.22	4.31
1uto	2.27	3.32
1ukb	3.19	4.36
2cjp	3.10	4.75
1vot	6.60	6.15
2fx6	3.70	3.29
2c1q	13.00	10.20
2e2p	4.74	5.20
2epn	7.22	5.97
2i2c	4.70	6.22
2j4k	4.85	5.29
2jdu	6.72	4.65
2jdy	4.37	4.72
2jke	4.23	5.03
2p3t	11.30	8.57
2p4y	9.00	7.10
2p7g	6.53	6.52
2pqc	5.74	5.38
2q6m	6.29	5.95
2q8z	5.68	5.22
2qbq	7.44	6.63
2qbr	6.33	6.04
2qdt	5.19	4.69
2qhy	7.48	8.21
2qhz	7.28	8.19
2qi1	7.30	9.04
2qi3	10.20	8.54
2qi4	10.44	9.09
2qi5	10.85	9.12
2qi6	10.57	8.76
2qmg	9.15	7.65
2qnq	6.11	8.06
2qrl	4.00	4.34
2qry	8.64	5.98
2r6w	9.36	8.07
2r75	6.15	5.69
2reg	5.57	5.05
2rkd	2.72	4.10
2uwl	8.40	7.29
2uwp	6.81	7.33
2uy4	4.68	4.96
2v2c	3.41	4.23
2v77	5.06	5.21
2v7t	7.48	5.96
2v7u	5.90	6.02
2v7v	6.66	5.72
2vhw	5.09	5.38
2vkm	8.74	7.60
2vmd	3.02	3.42
2vpn	6.72	4.70
2vuk	3.82	4.80
2vw5	8.52	6.36
2w26	9.40	7.58
2zmm	7.60	6.33
2zn7	7.89	6.32
3b3c	3.98	5.48
3b7r	7.70	6.56
3bex	5.57	5.47
3bl0	6.92	6.52
3brn	8.70	6.06
3bu1	8.15	4.89
3bxe	5.48	4.02
3c2f	2.00	5.30
3c2o	3.35	4.46
3c2r	3.11	3.98
3c7i	5.64	5.60
3ccw	7.87	7.74
3ccz	7.29	7.84
3cd7	7.84	7.74
3czv	7.80	7.57
3d2r	5.48	5.49
3d51	4.15	5.50
3d83	8.36	7.41
3ddg	6.00	5.83
3dp4	7.37	6.42
3e92	8.00	7.42
3eko	6.70	4.92
3ekr	5.55	6.09
3ene	6.24	6.85
3eqr	8.70	8.16
3f8c	7.68	6.18
3fat	7.64	6.23
