PDB	Labels	Predictions
6pgb	4.60	6.29
6fnt	4.68	5.30
5u6d	8.59	7.76
4alx	7.28	6.59
4jg7	6.92	6.83
5tuy	6.35	6.64
4u6r	7.85	8.31
6hky	9.34	8.21
3bkl	6.17	7.07
1uyg	4.27	5.36
4qyy	7.30	7.81
2rcw	8.10	7.29
2xkd	5.64	5.93
5j9f	7.23	7.00
3sfh	7.05	7.13
1ett	5.89	7.00
6ugq	7.55	6.66
3wym	9.52	8.60
4leq	6.54	6.96
2p8n	3.15	4.00
3iej	6.66	7.15
5aae	7.46	7.48
5xij	7.30	6.37
4mmm	3.82	3.99
3gt9	3.96	5.70
6ouv	5.55	5.10
3hwx	7.86	6.37
2wkt	4.31	4.60
4uv8	6.47	5.90
4d8s	6.49	6.23
2ghg	8.82	7.73
5a3s	8.68	7.57
5ccl	4.77	5.85
4cwo	5.21	6.29
4i7l	3.99	4.42
4ec0	6.07	7.02
6hys	5.59	5.54
3khv	1.85	3.19
1pf8	7.51	6.45
6mjf	5.16	6.05
2j7e	7.32	6.32
5x73	6.74	6.89
5y6k	6.07	5.39
4g0z	2.21	3.85
2kaw	4.97	5.00
6skd	5.80	5.92
4fcb	8.54	7.93
1qhr	6.89	6.24
2p83	7.96	8.12
3b3x	3.60	4.37
5eob	9.62	8.63
6gjl	3.86	4.85
5jv0	5.96	6.09
6q37	6.36	6.33
4hdc	8.92	7.80
5j20	9.14	7.62
5ny1	6.44	7.60
5jfp	9.32	9.10
4bhi	7.05	5.79
5swh	7.59	7.54
4klv	3.78	4.50
4l6s	8.52	7.65
3r0y	4.84	6.03
1hk1	5.64	6.32
3dkj	5.70	5.44
2ha6	4.32	5.47
3s56	9.62	8.44
5i9x	7.52	8.04
2bxt	8.52	8.23
6pgx	9.21	6.46
5yea	8.30	7.35
5oh3	3.87	4.29
4jnm	8.52	7.41
4w4y	6.46	7.54
6fba	4.70	4.78
5zfi	5.92	7.04
5q0p	7.41	7.36
2xp5	3.44	4.22
6cvf	6.35	5.59
5xfj	8.22	7.58
4qsx	1.74	3.24
6aej	6.15	5.45
1hk3	6.59	6.29
4ded	7.42	7.23
5y0x	5.11	5.90
4p74	5.00	6.14
3hmm	7.60	7.36
1b74	1.30	2.65
3mj1	7.82	7.41
4tpw	4.69	4.90
2c02	4.04	4.88
5kr1	9.49	8.49
5tol	7.48	7.36
6jz0	7.82	7.59
3v4j	5.04	4.41
5o5a	4.77	5.69
5mxf	3.59	3.89
4gg5	9.03	8.13
5wf3	5.85	6.46
4amy	10.82	8.05
3mhl	7.25	7.92
4kiq	7.64	7.45
4pin	5.40	4.86
3zxh	8.52	7.14
4ei4	8.74	7.05
2nt7	6.52	6.91
5l6p	7.26	6.99
4uiu	7.90	6.79
3oaw	8.15	7.60
4o55	5.30	5.58
2viz	6.22	7.41
5alu	7.66	6.93
3oqf	7.04	7.02
1bm7	7.52	6.79
3ihz	6.80	6.73
3sb0	5.26	5.70
4ijq	7.52	6.23
4a4f	2.88	3.42
4hbv	4.64	4.31
3oy1	7.80	7.64
4xkb	6.10	6.67
5jcj	4.42	4.77
3pd8	6.46	6.54
4r92	7.41	7.47
3mrx	3.39	4.08
3mzc	6.65	7.69
4qtl	6.92	7.66
5nxw	7.24	7.27
5hzx	8.55	7.65
4ie5	4.82	5.04
2ckm	8.82	8.28
1y2e	6.80	6.58
3iaf	2.92	4.17
6g2r	9.46	8.53
4d83	7.26	7.80
4fli	5.44	6.05
