PDB	Labels	Predictions
10gs	6.40	6.27
1bcu	3.28	5.07
1e66	9.89	7.04
1f8b	5.40	5.75
1f8c	7.40	6.37
1f8d	3.40	6.28
1gpk	5.37	6.54
1h23	8.35	7.54
1hfs	8.70	7.38
1hnn	6.24	6.12
1lbk	3.18	5.14
1lol	6.39	5.04
1loq	3.70	5.36
1lor	11.06	5.40
1mq6	11.15	7.85
1n1m	5.70	5.07
1n2v	4.08	5.03
1nvq	8.25	7.84
1o3f	7.96	5.82
1o5b	5.77	4.84
1os0	6.03	7.05
1oyt	7.24	7.28
1p1q	4.89	6.43
1ps3	2.28	5.61
1r5y	6.46	5.14
1sqa	9.21	7.28
1u1b	7.80	6.05
1u33	4.60	5.69
1uto	2.27	3.21
1vso	4.72	5.33
1w4o	5.22	4.34
1xd0	7.12	5.95
1yc1	6.17	6.59
1z95	7.12	7.29
2brb	4.86	6.57
2cbj	8.27	6.47
2cet	8.02	6.94
2d1o	7.70	7.61
2fvd	8.52	7.31
2g70	7.77	6.44
2hb1	3.80	4.70
2iwx	6.68	6.29
2j62	11.34	7.26
2j78	6.42	6.00
2jdm	5.40	4.62
2jdu	6.72	4.70
2jdy	4.37	4.68
2obf	8.85	7.33
2ole	7.25	7.35
2p4y	9.00	7.57
2pq9	8.11	6.49
2qbp	8.40	6.82
2qbr	6.33	6.22
2qft	5.26	4.50
2v00	3.66	4.46
2v7a	8.30	7.65
2vl4	6.01	5.31
2vo5	4.89	6.55
2vot	7.14	7.05
2vvn	7.30	6.49
2vw5	8.52	6.61
2w66	4.05	5.60
2wbg	4.45	6.35
2wca	5.60	6.81
2weg	6.50	6.78
2wtv	8.74	8.17
2x00	11.33	6.80
2x0y	4.60	5.98
2x8z	7.96	5.33
2x97	5.66	6.13
2xb8	7.59	5.81
2xbv	8.43	8.56
2xdl	3.10	5.45
2xhm	6.80	6.52
2xnb	6.83	8.12
2xy9	9.19	6.79
2xys	7.42	6.30
2y5h	5.79	7.32
2yfe	6.63	6.99
2yge	5.06	6.64
2yki	9.46	7.10
2ymd	3.16	6.50
2zcq	8.82	5.99
2zcr	6.87	6.89
2zjw	7.70	5.20
2zwz	7.79	5.83
2zx6	10.60	7.27
2zxd	5.22	5.38
3acw	4.76	6.76
3ag9	8.05	7.35
3ao4	2.07	5.30
3b68	8.40	7.31
3bfu	6.27	6.15
3bkk	6.08	6.86
3cft	4.19	4.97
3coy	6.02	6.42
3cyx	8.00	8.18
3d4z	4.89	5.72
3dd0	9.00	7.64
3dxg	2.40	4.29
3e93	8.85	7.53
3ebp	5.91	5.97
3ehy	5.85	6.45
3ejr	8.57	7.34
3f17	8.63	6.14
3f3c	6.02	5.96
3f80	4.22	5.31
3fcq	2.77	4.55
3fk1	2.62	4.30
3fv1	9.30	6.96
3g0w	9.52	8.24
3g2n	4.09	5.09
3g2z	2.36	3.68
3gbb	6.90	6.39
3gcs	7.25	7.76
3ge7	8.70	7.28
3gy4	5.10	3.97
3huc	5.99	6.47
3i3b	2.23	4.44
3imc	2.96	4.32
3ivg	4.30	6.24
3jvs	6.54	5.23
3k5v	6.30	7.25
3kgp	2.57	3.51
3kv2	7.32	5.95
3kwa	4.08	5.77
3l3n	8.18	7.14
3l7b	2.40	4.73
3lka	2.82	5.69
3mfv	2.52	5.11
3mss	4.66	5.85
3muz	3.46	4.09
3myg	10.70	7.28
3n7a	3.70	4.56
3n86	5.64	6.14
3nox	8.66	7.42
3nq3	3.78	5.03
3nw9	9.00	7.89
3oe5	6.88	6.91
3owj	6.07	6.49
3ozt	4.13	6.65
3pe2	9.76	7.28
3pww	7.32	7.14
3pxf	4.43	4.88
3u9q	4.38	5.71
3udh	2.85	4.74
3ueu	5.24	5.16
3uex	6.92	5.97
3uo4	6.52	7.06
3utu	10.92	8.05
3vd4	4.82	3.95
3vh9	6.24	4.35
3zso	5.12	6.36
3zsx	3.28	5.51
4de1	5.96	4.94
4de2	4.12	5.22
4des	5.85	5.75
4dew	7.00	5.51
4djr	11.52	8.88
4djv	6.72	6.88
4g8m	7.89	5.79
4gid	10.77	7.47
4gqq	2.89	3.98
4tmn	10.17	6.77
