PDB	Labels	Predictions
4fud	6.35	5.06
4fue	7.23	6.51
4fu7	6.20	5.40
4fu8	5.23	4.80
4fu9	6.20	5.73
4fub	6.21	5.87
4fuc	7.40	6.02
4fsm	7.62	6.14
4fsw	4.76	5.08
4ft5	7.56	7.33
4fsn	7.70	6.87
4fsz	6.97	5.43
4ft7	8.87	7.57
4ft0	7.11	6.62
4ft9	7.69	6.65
4fta	7.39	6.67
4ftc	7.63	6.50
4fsq	8.80	6.30
4fsr	7.94	6.51
4fst	8.28	6.91
4fw3	7.23	7.15
4fw4	8.08	6.56
4fw5	7.48	6.98
4fw6	7.70	7.14
4fw7	7.13	6.42
4fux	6.00	6.90
4fuy	6.09	7.35
4fv0	5.59	6.66
4fv1	7.08	7.56
4fv2	7.68	7.32
4fv3	7.74	7.57
4ev4	7.40	6.09
4fv5	7.70	7.71
4fv7	7.57	8.02
4fv8	7.82	7.56
4fv9	6.72	7.65
4fx3	8.07	6.72
4ek4	4.48	5.01
4ek5	6.09	6.39
4fkg	4.67	5.96
4fki	4.23	6.10
4ek6	6.04	5.66
4fjk	6.55	5.52
4ek8	7.11	6.89
3sw4	6.02	7.13
3sw7	6.64	7.16
4fko	6.11	7.17
4fkp	6.54	6.37
4fkq	6.28	6.91
4fkr	6.64	6.43
4fks	6.28	6.08
4fkt	5.97	7.08
4fku	7.01	4.59
4fkv	6.60	7.43
4fkw	7.33	6.54
