PDB	Labels	Predictions
1gm8	4.80	6.70
1gpk	5.37	6.61
1hnn	6.24	6.31
1hp0	6.70	6.58
1hq2	6.77	5.20
1hvy	6.17	6.73
1hwi	7.55	6.71
1hww	7.70	5.38
1ia1	7.47	6.56
1j3j	8.01	6.06
1jd0	8.24	7.62
1jje	8.43	5.39
1ke5	6.25	6.73
1kzk	10.40	7.49
1l2s	4.59	6.75
1l7f	9.10	7.10
1lpz	7.60	7.40
1lrh	6.82	5.29
1m2z	7.22	7.15
1mmv	7.24	5.81
1n1m	5.70	5.00
1n2v	4.08	5.56
1n46	10.52	6.62
1nav	7.60	6.71
1of1	4.82	6.78
1of6	6.05	6.01
1opk	9.82	7.61
1oq5	7.68	8.02
1owe	6.20	6.11
1oyt	7.24	7.43
1p2y	5.00	5.37
1p62	4.66	6.42
1pmn	8.15	8.03
1q1g	8.57	7.05
1q41	7.66	7.05
1q4g	6.89	5.75
1r1h	8.92	6.66
1r55	6.80	6.31
1r58	6.96	7.05
1r9o	5.02	5.81
1s19	9.51	7.16
1s3v	7.42	7.30
1sg0	7.47	5.94
1sj0	9.10	7.02
1sq5	4.39	4.88
1sqn	9.40	5.99
1t40	7.96	7.12
1t46	6.38	7.23
1t9b	6.90	5.91
1tow	6.24	5.99
1tt1	7.19	6.13
1u1c	5.37	5.88
1uml	7.52	7.35
1unl	6.70	6.66
1uou	7.70	5.99
1v0p	6.89	6.81
1v48	8.16	6.59
1v4s	6.44	7.23
1vcj	4.59	6.81
1w1p	2.30	4.76
1w2g	4.57	5.52
1xm6	6.38	5.85
1xoq	9.17	7.60
1xoz	8.92	6.76
1y6b	7.42	7.32
1ygc	9.46	7.44
1yqy	7.62	6.72
1ywr	7.49	7.40
1z95	7.12	7.35
2bm2	7.82	7.08
2br1	5.14	6.94
2bsm	5.82	6.29
