PDB	Labels	Predictions
1gm8	4.80	4.74
1gpk	5.37	5.35
1hnn	6.24	7.22
1hp0	6.70	4.23
1hq2	6.77	6.94
1hvy	6.17	6.31
1hwi	7.55	8.09
1hww	7.70	4.98
1ia1	7.47	7.82
1j3j	8.01	5.51
1jd0	8.24	7.44
1jje	8.43	6.40
1ke5	6.25	7.13
1kzk	10.40	9.11
1l2s	4.59	4.91
1l7f	9.10	5.57
1lpz	7.60	6.49
1lrh	6.82	4.92
1m2z	7.22	10.15
1mmv	7.24	4.34
1n1m	5.70	7.13
1n2v	4.08	4.55
1n46	10.52	9.67
1nav	7.60	6.77
1of1	4.82	8.05
1of6	6.05	6.14
1opk	9.82	7.51
1oq5	7.68	7.86
1owe	6.20	4.57
1oyt	7.24	5.97
1p2y	5.00	5.77
1p62	4.66	3.74
1pmn	8.15	7.73
1q1g	8.57	7.30
1q41	7.66	6.29
1q4g	6.89	5.49
1r1h	8.92	9.93
1r55	6.80	6.71
1r58	6.96	7.00
1r9o	5.02	4.84
1s19	9.51	9.54
1s3v	7.42	7.57
1sg0	7.47	4.31
1sj0	9.10	9.43
1sq5	4.39	4.59
1sqn	9.40	8.00
1t40	7.96	6.61
1t46	6.38	6.78
1t9b	6.90	6.34
1tow	6.24	4.77
1tt1	7.19	5.45
1u1c	5.37	4.97
1uml	7.52	7.67
1unl	6.70	6.34
1uou	7.70	6.23
1v0p	6.89	6.07
1v48	8.16	5.65
1v4s	6.44	6.76
1vcj	4.59	5.58
1w1p	2.30	4.04
1w2g	4.57	4.30
1xm6	6.38	4.91
1xoq	9.17	11.66
1xoz	8.92	6.58
1y6b	7.42	8.14
1ygc	9.46	5.98
1yqy	7.62	5.86
1ywr	7.49	6.98
1z95	7.12	8.84
2bm2	7.82	5.54
2br1	5.14	8.22
2bsm	5.82	5.69
