PDB	Labels	Predictions
4fud	6.35	5.23
4fue	7.23	6.57
4fu7	6.20	4.90
4fu8	5.23	5.25
4fu9	6.20	6.19
4fub	6.21	5.66
4fuc	7.40	5.96
4fsm	7.62	7.17
4fsw	4.76	5.88
4ft5	7.56	8.77
4fsn	7.70	7.64
4fsz	6.97	4.94
4ft7	8.87	8.82
4ft0	7.11	6.10
4ft9	7.69	8.07
4fta	7.39	7.71
4ftc	7.63	6.90
4fsq	8.80	7.83
4fsr	7.94	8.27
4fst	8.28	7.58
4fw3	7.23	12.35
4fw4	8.08	10.79
4fw5	7.48	7.00
4fw6	7.70	8.05
4fw7	7.13	6.58
4fux	6.00	5.70
4fuy	6.09	6.59
4fv0	5.59	6.42
4fv1	7.08	8.86
4fv2	7.68	6.72
4fv3	7.74	8.98
4ev4	7.40	6.03
4fv5	7.70	10.08
4fv7	7.57	9.13
4fv8	7.82	9.17
4fv9	6.72	9.61
4fx3	8.07	6.52
4ek4	4.48	5.92
4ek5	6.09	6.23
4fkg	4.67	5.68
4fki	4.23	6.11
4ek6	6.04	5.58
4ek8	7.11	6.24
3sw4	6.02	5.26
3sw7	6.64	5.94
4fko	6.11	7.05
4fkp	6.54	7.16
4fkq	6.28	8.73
4fkr	6.64	7.14
4fks	6.28	6.69
4fkt	5.97	5.90
4fku	7.01	4.07
4fkv	6.60	7.35
4fkw	7.33	6.93
