PDB	Labels	Predictions
2are	3.28	4.03
2oag	8.47	8.36
2jbj	9.70	10.22
2pwd	4.40	4.38
2pwg	4.82	5.44
2oym	5.00	6.73
2hzy	7.39	6.89
2ihj	4.59	4.37
2ojg	5.64	6.61
2hzl	6.57	5.15
2ovv	7.92	7.02
2nta	4.80	5.33
2qu6	8.52	8.56
2pog	9.54	6.27
2o4j	10.10	9.94
3b92	8.00	6.43
2p98	6.19	6.25
2z4b	9.36	8.94
2jj3	9.55	7.41
2h15	5.67	7.24
2pov	7.12	7.09
2pow	7.20	7.13
2nmx	5.57	6.50
1vso	4.72	5.05
2p95	9.37	8.40
2p16	10.10	7.90
2flr	6.10	7.44
2pgz	5.74	6.52
2bys	9.52	9.95
2gkl	5.35	4.00
2nsl	4.68	4.59
2nsj	4.79	4.66
2c92	5.68	7.03
2c94	6.82	6.18
2nnq	8.70	6.05
2psv	7.24	9.49
2cem	7.92	8.55
2cen	8.30	8.39
2q54	9.01	8.40
2b3f	6.03	4.44
2bbf	5.10	6.44
2e2r	8.26	6.21
2gz2	5.22	4.82
2hr6	4.92	5.15
2idz	9.40	6.93
2ihk	4.16	4.40
2jff	3.62	3.69
2oiq	4.94	6.41
2otz	3.63	4.45
2ou0	3.23	4.06
2pjo	0.05	3.45
2pzv	3.87	4.08
2q88	5.80	4.98
2q89	6.30	5.04
2qeh	8.62	4.68
2qvu	6.44	5.25
2r3d	-0.15	3.50
2r5p	8.48	9.78
2rde	7.01	6.27
2v8q	4.61	4.69
3b50	7.55	4.11
3bgq	7.96	5.34
3bgz	6.26	5.21
2v8y	5.71	5.42
2jgb	5.61	5.67
1gja	5.42	5.47
1swk	12.00	8.47
1toi	4.05	4.29
1iup	2.54	4.00
1tog	3.22	4.38
1uto	2.27	4.01
1ukb	3.19	3.97
2cjp	3.10	5.11
1vot	6.60	7.10
2fx6	3.70	5.00
2c1q	13.00	8.94
2e2p	4.74	4.29
2epn	7.22	5.29
2i2c	4.70	4.33
2j4k	4.85	4.21
2jdu	6.72	4.01
2jdy	4.37	3.93
2jke	4.23	4.36
2p3t	11.30	9.91
2p4y	9.00	9.08
2p7g	6.53	6.17
2pqc	5.74	7.07
2q6m	6.29	6.51
2q8z	5.68	6.49
2qbq	7.44	6.78
2qbr	6.33	6.16
2qdt	5.19	5.96
2qhy	7.48	7.51
2qhz	7.28	7.76
2qi1	7.30	6.93
2qi3	10.20	10.29
2qi4	10.44	10.62
2qi5	10.85	9.77
2qi6	10.57	9.50
2qmg	9.15	9.01
2qnq	6.11	5.57
2qrl	4.00	3.51
2qry	8.64	7.23
2r6w	9.36	7.86
2r75	6.15	6.17
2reg	5.57	4.14
2rkd	2.72	3.66
2uwl	8.40	7.67
2uwp	6.81	7.57
2uy4	4.68	6.12
2v2c	3.41	4.48
2v77	5.06	5.30
2v7t	7.48	5.95
2v7u	5.90	5.06
2v7v	6.66	4.23
2vhw	5.09	5.43
2vkm	8.74	8.19
2vmd	3.02	3.87
2vpn	6.72	4.97
2vuk	3.82	5.29
2vw5	8.52	6.00
2w26	9.40	6.45
2zmm	7.60	6.79
2zn7	7.89	6.95
3b3c	3.98	5.05
3b7r	7.70	7.83
3bex	5.57	5.35
3bl0	6.92	4.36
3brn	8.70	4.41
3bu1	8.15	3.82
3bxe	5.48	6.76
3c2f	2.00	4.86
3c2o	3.35	4.25
3c2r	3.11	3.78
3c7i	5.64	5.17
3ccw	7.87	7.73
3ccz	7.29	8.07
3cd7	7.84	7.62
3czv	7.80	7.69
3d2r	5.48	5.06
3d51	4.15	3.95
3d83	8.36	7.71
3ddg	6.00	5.05
3dp4	7.37	4.43
3e92	8.00	10.00
3eko	6.70	5.12
3ekr	5.55	7.38
3ene	6.24	5.77
3eqr	8.70	7.61
3f8c	7.68	7.23
3fat	7.64	4.49
