PDB	Labels	Predictions
10gs	6.40	5.15
1bcu	3.28	5.01
1e66	9.89	7.14
1f8b	5.40	4.86
1f8c	7.40	6.88
1f8d	3.40	5.16
1gpk	5.37	6.37
1h23	8.35	8.39
1hfs	8.70	9.18
1hnn	6.24	8.34
1lbk	3.18	3.92
1lol	6.39	4.91
1loq	3.70	4.34
1lor	11.06	7.39
1mq6	11.15	10.34
1n1m	5.70	6.67
1n2v	4.08	4.90
1nvq	8.25	7.53
1o3f	7.96	5.68
1o5b	5.77	5.84
1os0	6.03	7.37
1oyt	7.24	6.82
1p1q	4.89	5.49
1ps3	2.28	3.92
1r5y	6.46	5.37
1sqa	9.21	6.53
1u1b	7.80	5.69
1u33	4.60	4.46
1uto	2.27	3.98
1vso	4.72	5.62
1w4o	5.22	4.48
1xd0	7.12	8.49
1yc1	6.17	5.38
1z95	7.12	6.92
2brb	4.86	5.47
2cbj	8.27	7.70
2cet	8.02	7.18
2d1o	7.70	7.64
2fvd	8.52	6.55
2g70	7.77	5.36
2hb1	3.80	5.01
2iwx	6.68	5.58
2j62	11.34	9.47
2j78	6.42	3.54
2jdm	5.40	3.65
2jdu	6.72	3.69
2jdy	4.37	3.78
2obf	8.85	7.51
2ole	7.25	7.01
2p4y	9.00	7.84
2pq9	8.11	5.96
2qbp	8.40	7.38
2qbr	6.33	6.64
2qft	5.26	3.67
2v00	3.66	5.22
2v7a	8.30	6.37
2vl4	6.01	6.70
2vo5	4.89	9.07
2vot	7.14	7.75
2vvn	7.30	7.39
2vw5	8.52	7.47
2w66	4.05	4.88
2wbg	4.45	5.25
2wca	5.60	7.67
2weg	6.50	7.44
2wtv	8.74	7.80
2x00	11.33	9.58
2x0y	4.60	5.51
2x8z	7.96	6.49
2x97	5.66	8.12
2xb8	7.59	6.91
2xbv	8.43	8.77
2xdl	3.10	5.39
2xhm	6.80	6.05
2xnb	6.83	7.37
2xy9	9.19	6.74
2xys	7.42	7.10
2y5h	5.79	6.78
2yfe	6.63	5.05
2yge	5.06	6.77
2yki	9.46	7.10
2ymd	3.16	6.36
2zcq	8.82	7.52
2zcr	6.87	8.09
2zjw	7.70	7.23
2zwz	7.79	5.13
2zx6	10.60	9.53
2zxd	5.22	6.08
3acw	4.76	6.91
3ag9	8.05	6.06
3ao4	2.07	4.35
3b68	8.40	8.45
3bfu	6.27	6.71
3bkk	6.08	7.52
3cft	4.19	4.13
3coy	6.02	7.49
3cyx	8.00	8.14
3d4z	4.89	6.78
3dd0	9.00	8.47
3dxg	2.40	3.69
3e93	8.85	9.16
3ebp	5.91	6.38
3ehy	5.85	4.78
3ejr	8.57	8.17
3f17	8.63	7.09
3f3c	6.02	4.20
3f80	4.22	5.51
3fcq	2.77	4.60
3fk1	2.62	3.65
3fv1	9.30	8.32
3g0w	9.52	8.43
3g2n	4.09	6.11
3g2z	2.36	3.60
3gbb	6.90	6.15
3gcs	7.25	7.18
3ge7	8.70	8.18
3gy4	5.10	4.67
3huc	5.99	7.76
3i3b	2.23	3.57
3imc	2.96	4.53
3ivg	4.30	6.10
3jvs	6.54	5.85
3k5v	6.30	6.48
3kgp	2.57	3.97
3kv2	7.32	5.05
3kwa	4.08	4.83
3l3n	8.18	6.09
3l7b	2.40	3.92
3lka	2.82	6.79
3mfv	2.52	4.62
3mss	4.66	4.43
3muz	3.46	3.93
3myg	10.70	8.46
3n7a	3.70	3.83
3n86	5.64	4.96
3nox	8.66	6.97
3nq3	3.78	4.87
3nw9	9.00	6.46
3oe5	6.88	5.67
3owj	6.07	6.45
3ozt	4.13	6.01
3pe2	9.76	7.65
3pww	7.32	7.88
3pxf	4.43	4.36
3u9q	4.38	4.99
3udh	2.85	4.44
3ueu	5.24	5.06
3uex	6.92	5.83
3uo4	6.52	7.11
3utu	10.92	10.05
3vd4	4.82	3.91
3vh9	6.24	5.92
3zso	5.12	4.61
3zsx	3.28	4.65
4de1	5.96	5.01
4de2	4.12	5.11
4des	5.85	5.68
4dew	7.00	5.40
4djr	11.52	9.67
4djv	6.72	7.16
4g8m	7.89	4.87
4gid	10.77	8.45
4gqq	2.89	4.45
4tmn	10.17	5.97
