PDB	Labels	Predictions
3m1k	5.39	5.83
6pgb	4.60	4.58
3rz1	8.74	8.38
6fnt	4.68	5.08
4ww8	10.17	9.62
5ap7	6.29	7.65
4alx	7.28	6.72
5tuy	6.35	6.64
4u6r	7.85	8.84
1moq	3.46	4.12
1uyg	4.27	4.83
4qyy	7.30	6.45
5alg	7.52	7.17
5k0f	6.07	6.25
4x8v	6.89	6.51
2ei6	7.39	7.42
2xkd	5.64	5.63
5j9f	7.23	6.68
6nlj	4.82	5.07
3sfh	7.05	7.44
1ett	5.89	6.90
6ugq	7.55	7.11
3hvk	8.52	7.66
2p8n	3.15	4.35
3iej	6.66	5.91
2k0g	6.97	4.97
5teh	7.55	7.64
3gt9	3.96	6.07
6knh	3.55	3.57
3hwx	7.86	7.87
4w9x	7.40	6.63
2wkt	4.31	4.81
4uv8	6.47	7.40
4d8s	6.49	6.78
4p02	6.40	6.22
3udd	7.10	7.88
5a3s	8.68	7.96
5ccl	4.77	5.00
4i7l	3.99	4.64
4ec0	6.07	6.22
6abk	1.95	3.83
6myn	7.85	8.25
6hys	5.59	4.85
1o4d	3.52	5.00
3khv	1.85	3.40
1pf8	7.51	6.96
6mjf	5.16	5.03
5y6k	6.07	5.30
5wip	4.71	5.14
6mmo	3.35	4.43
4g0z	2.21	4.39
2kaw	4.97	5.27
1ai7	4.09	4.34
6skd	5.80	6.51
4fcb	8.54	7.42
1qj1	8.05	7.91
1qhr	6.89	6.80
4u70	5.02	4.81
2p83	7.96	7.80
2p2h	7.17	7.92
4qpd	7.82	5.65
3b3x	3.60	4.22
6fs1	7.01	7.42
4hai	8.10	9.40
6gjl	3.86	3.82
6gcw	8.64	7.88
3f19	7.19	7.28
6q37	6.36	6.89
5j20	9.14	8.37
5ny1	6.44	7.76
4bhi	7.05	6.74
5swh	7.59	8.08
1xbc	7.92	7.51
4l6s	8.52	8.23
3r0y	4.84	5.53
3dkj	5.70	4.84
3s56	9.62	8.05
5i9x	7.52	7.59
6ey7	4.30	4.58
4w4y	6.46	6.42
6fba	4.70	5.04
5q0p	7.41	7.51
6cvf	6.35	6.07
5xfj	8.22	7.48
4qsx	1.74	3.39
5lvr	3.60	3.86
4ded	7.42	7.20
5y0x	5.11	5.61
3hmm	7.60	7.60
1b74	1.30	3.75
3mj1	7.82	7.06
4tpw	4.69	5.50
2c02	4.04	4.67
6fa5	6.75	4.66
5za2	5.77	6.35
5tol	7.48	8.13
6jz0	7.82	7.01
5j7q	4.58	5.23
5o5a	4.77	5.21
5mxf	3.59	3.64
2brg	5.21	5.49
5wf3	5.85	6.08
4amy	10.82	11.28
3mhl	7.25	7.66
3zxh	8.52	6.35
4ei4	8.74	8.17
4uiu	7.90	7.45
3dnt	4.74	5.63
4o55	5.30	5.78
2viz	6.22	8.16
5alu	7.66	7.16
3oqf	7.04	6.29
1bm7	7.52	5.43
6dvm	8.52	7.53
3sb0	5.26	6.05
4ijq	7.52	5.62
4a4f	2.88	3.78
3oy1	7.80	7.99
5jcj	4.42	5.20
3pd8	6.46	6.14
5kks	8.70	8.29
1ung	6.80	6.67
4hxl	5.66	6.43
2cex	4.70	4.57
3vi5	5.68	5.90
4r92	7.41	7.49
4di2	8.26	8.73
5nxw	7.24	7.76
5hzx	8.55	9.06
4ie5	4.82	6.22
4q7v	3.59	3.95
2q6c	7.78	8.32
6bhv	5.23	6.05
2ckm	8.82	8.42
4mk0	5.20	5.89
4r5t	6.10	7.48
1y2e	6.80	6.04
6g2r	9.46	8.24
4d83	7.26	7.20
4fli	5.44	4.90
5q0u	6.76	6.58
4ona	8.15	7.30
6dgo	5.47	5.79
3iod	4.10	5.13
5eak	9.30	8.17
2yex	10.00	8.05
2i4u	11.57	10.67
6i63	7.01	6.46
2qcg	4.00	4.46
6fu5	7.50	7.02
4o3f	5.56	5.81
5khi	6.77	5.74
4iif	5.18	5.36
3kqy	4.82	4.96
4k6i	6.20	6.58
4x3u	5.09	6.15
