PDB	Labels	Predictions
1gm8	4.80	5.88
1gpk	5.37	6.52
1hnn	6.24	4.82
1hp0	6.70	6.93
1hq2	6.77	4.85
1hvy	6.17	7.23
1hwi	7.55	6.62
1hww	7.70	6.11
1ia1	7.47	5.94
1j3j	8.01	6.17
1jd0	8.24	6.79
1jje	8.43	5.26
1ke5	6.25	6.50
1kzk	10.40	6.54
1l2s	4.59	5.00
1l7f	9.10	7.80
1lpz	7.60	7.23
1lrh	6.82	5.30
1m2z	7.22	6.51
1mmv	7.24	6.38
1n1m	5.70	5.01
1n2v	4.08	5.67
1n46	10.52	6.61
1nav	7.60	5.17
1of1	4.82	4.97
1of6	6.05	4.95
1opk	9.82	7.53
1oq5	7.68	7.64
1owe	6.20	5.95
1oyt	7.24	7.10
1p2y	5.00	5.36
1p62	4.66	5.74
1pmn	8.15	7.46
1q1g	8.57	7.29
1q41	7.66	6.46
1q4g	6.89	5.73
1r1h	8.92	6.71
1r55	6.80	4.41
1r58	6.96	6.33
1r9o	5.02	5.38
1s19	9.51	6.25
1s3v	7.42	7.62
1sg0	7.47	4.59
1sj0	9.10	6.52
1sq5	4.39	4.41
1sqn	9.40	5.48
1t40	7.96	6.37
1t46	6.38	8.00
1t9b	6.90	7.32
1tow	6.24	5.77
1tt1	7.19	5.19
1u1c	5.37	5.15
1uml	7.52	8.00
1unl	6.70	8.35
1uou	7.70	5.26
1v0p	6.89	7.38
1v48	8.16	5.66
1v4s	6.44	7.44
1vcj	4.59	7.49
1w1p	2.30	4.33
1w2g	4.57	5.75
1xm6	6.38	5.13
1xoq	9.17	7.14
1xoz	8.92	6.92
1y6b	7.42	7.79
1ygc	9.46	7.05
1yqy	7.62	6.10
1ywr	7.49	7.49
1z95	7.12	8.28
2bm2	7.82	6.93
2br1	5.14	6.39
2bsm	5.82	7.30
