PDB	Labels	Predictions
1a8i	5.52	5.05
1a99	5.70	5.69
1ax0	3.13	4.52
1b6l	8.30	8.43
1b6m	8.40	9.01
1duv	11.80	6.06
1dy4	4.36	5.97
1e2k	4.94	5.06
1fcx	7.12	7.68
1g2k	7.96	9.83
1gj8	6.96	6.17
1gjd	5.22	7.00
1gpk	5.37	6.30
1gyy	3.64	4.71
1h22	9.10	7.77
1h23	8.35	7.76
1h46	3.57	6.27
1hnn	6.24	5.39
1iy7	6.19	7.06
1kzk	10.39	9.74
1lrh	6.82	5.12
1nc1	6.12	8.27
1nc3	5.00	8.29
1nli	3.59	3.80
1nw5	5.21	5.44
1ow4	5.68	7.55
1p1n	6.80	5.87
1p1o	5.76	7.14
1ps3	2.28	5.13
1pxp	6.66	6.95
1r5y	6.46	4.58
1s38	5.15	5.64
1s39	7.70	5.32
1sr7	10.10	8.35
1sw1	7.30	5.12
1syh	6.41	6.88
1syi	5.48	6.80
1toj	3.39	4.38
1tok	2.47	3.75
1u1w	5.85	6.31
1ua4	4.22	5.30
1ui0	7.06	4.34
1utm	3.01	3.58
1uwu	5.98	5.64
1uz1	6.89	5.77
1uz4	3.40	6.32
1v1j	4.82	4.99
1w2g	4.57	5.80
1x8d	2.21	5.63
1xge	4.68	5.89
1y1m	1.82	4.92
1y1z	3.08	6.52
1y20	5.32	5.93
1yc1	6.17	6.44
1ydk	5.89	4.26
1z95	7.12	8.80
2aac	2.22	6.36
2afx	5.15	5.22
2ayr	9.29	9.19
2azr	3.64	4.55
2b07	6.43	5.99
2boh	8.52	7.25
2boj	5.77	5.19
2brb	4.86	7.08
2bvd	6.00	6.52
2byr	8.55	6.42
2cji	8.22	7.60
2fai	6.24	6.24
2fdp	7.59	8.07
2ff1	8.21	7.38
2fpz	3.96	4.11
2fqt	6.14	6.43
2fqw	6.68	7.75
2fqx	7.15	7.52
2fqy	6.57	6.82
2fvd	8.52	7.58
2fw6	2.92	4.02
2fxu	8.15	7.95
2h6b	5.39	5.33
2hb1	3.80	5.24
2hdq	1.40	4.12
2hdr	1.72	6.11
2i0a	11.40	10.38
2i0d	12.10	10.55
2il2	7.10	7.69
2iwx	6.68	7.03
2j2u	7.05	7.49
2j34	7.82	7.76
2j4i	9.00	7.94
2j78	6.42	6.11
1bcj	3.70	3.53
1bky	3.84	3.44
1d4i	8.85	9.23
1d4j	8.36	9.23
1eby	9.70	8.84
1ebz	9.40	9.09
1ec0	8.49	8.70
1ec1	8.92	8.32
1ec2	10.00	8.60
1enu	5.08	4.76
1f74	3.05	5.60
1gi9	5.96	6.45
1gww	4.28	4.97
1gx0	4.28	5.07
1o5a	6.42	6.28
1o5r	8.12	7.54
1q4w	6.46	4.95
1qkt	9.04	6.49
1qxl	7.96	7.81
1rdi	2.06	3.46
1rdn	1.84	3.18
1tr7	6.82	5.66
2a3c	4.37	5.39
2fv5	10.52	8.38
2h21	6.54	5.04
2hd6	7.80	7.30
1xl5	7.35	9.81
1y93	2.10	3.81
4ubp	5.59	3.92
1lhw	8.16	7.83
1s9t	6.60	6.17
1tt1	7.19	6.76
1uzv	5.18	5.78
2dm5	2.99	6.22
1xw6	5.62	3.73
2qrk	4.26	5.56
2nn1	5.82	5.25
2pou	7.42	7.39
3cd0	7.57	8.18
3cda	7.58	6.97
