PDB	Labels	Predictions
6pgb	4.60	4.93
6fnt	4.68	4.64
5u6d	8.59	8.35
4alx	7.28	7.00
4jg7	6.92	7.08
5tuy	6.35	6.33
4u6r	7.85	7.92
6hky	9.34	9.02
3bkl	6.17	5.81
1uyg	4.27	4.44
4qyy	7.30	7.41
2rcw	8.10	7.75
2xkd	5.64	6.72
5j9f	7.23	7.38
3sfh	7.05	7.17
1ett	5.89	6.15
6ugq	7.55	7.43
3wym	9.52	9.10
4leq	6.54	6.92
2p8n	3.15	3.44
3iej	6.66	6.61
5aae	7.46	7.63
5xij	7.30	6.99
4mmm	3.82	4.04
3gt9	3.96	3.96
6ouv	5.55	0.00
3hwx	7.86	0.00
2wkt	4.31	0.00
4uv8	6.47	0.00
4d8s	6.49	6.65
2ghg	8.82	8.77
5a3s	8.68	0.00
5ccl	4.77	4.88
4cwo	5.21	5.22
4i7l	3.99	4.52
4ec0	6.07	6.17
6hys	5.59	5.14
3khv	1.85	2.77
1pf8	7.51	6.86
6mjf	5.16	5.48
2j7e	7.32	7.27
5x73	6.74	6.85
5y6k	6.07	5.74
4g0z	2.21	2.85
2kaw	4.97	5.45
6skd	5.80	5.79
4fcb	8.54	8.05
1qhr	6.89	7.11
2p83	7.96	8.20
3b3x	3.60	4.13
5eob	9.62	9.38
6gjl	3.86	3.95
5jv0	5.96	6.09
6q37	6.36	6.51
4hdc	8.92	8.63
5j20	9.14	8.82
5ny1	6.44	6.92
5jfp	9.32	9.02
4bhi	7.05	6.95
5swh	7.59	7.49
4klv	3.78	4.16
4l6s	8.52	8.13
3r0y	4.84	5.64
1hk1	5.64	6.19
3dkj	5.70	0.00
2ha6	4.32	4.43
3s56	9.62	9.36
5i9x	7.52	7.39
2bxt	8.52	8.54
6pgx	9.21	8.90
5yea	8.30	8.25
5oh3	3.87	3.96
4jnm	8.52	8.18
4w4y	6.46	6.67
6fba	4.70	4.99
5zfi	5.92	6.24
5q0p	7.41	7.34
2xp5	3.44	3.82
6cvf	6.35	5.71
5xfj	8.22	8.09
4qsx	1.74	2.66
6aej	6.15	5.94
1hk3	6.59	6.69
4ded	7.42	7.16
5y0x	5.11	5.50
4p74	5.00	5.28
3hmm	7.60	7.57
1b74	1.30	2.16
3mj1	7.82	8.04
4tpw	4.69	4.68
2c02	4.04	4.38
5kr1	9.49	8.99
5tol	7.48	7.86
6jz0	7.82	7.83
3v4j	5.04	5.05
5o5a	4.77	5.04
5mxf	3.59	3.86
4gg5	9.03	9.21
5wf3	5.85	5.91
4amy	10.82	10.45
3mhl	7.25	7.20
4kiq	7.64	8.01
4pin	5.40	5.08
3zxh	8.52	8.12
4ei4	8.74	8.39
2nt7	6.52	6.33
5l6p	7.26	6.76
4uiu	7.90	7.77
3oaw	8.15	8.39
4o55	5.30	5.72
2viz	6.22	6.65
5alu	7.66	7.83
3oqf	7.04	7.08
1bm7	7.52	7.80
3ihz	6.80	6.17
3sb0	5.26	5.92
4ijq	7.52	7.07
4a4f	2.88	3.24
4hbv	4.64	4.97
3oy1	7.80	8.12
4xkb	6.10	5.87
5jcj	4.42	4.92
3pd8	6.46	6.66
4r92	7.41	7.58
3mrx	3.39	4.06
3mzc	6.65	7.07
4qtl	6.92	7.35
5nxw	7.24	6.99
5hzx	8.55	8.02
4ie5	4.82	4.58
2ckm	8.82	8.82
1y2e	6.80	6.82
3iaf	2.92	0.00
6g2r	9.46	8.93
4d83	7.26	7.66
4fli	5.44	5.23
4zei	5.88	5.88
5h1t	3.80	4.28
5q0u	6.76	6.91
2gh6	4.95	5.34
5uga	6.79	7.37
2aod	5.66	6.02
5nuu	8.20	8.28
6dgo	5.47	5.49
1lhg	7.10	7.84
5eak	9.30	9.00
2yex	10.00	9.09
5w6e	8.04	8.20
2i4u	11.57	11.20
6i63	7.01	6.89
5f2k	6.16	5.87
6fu5	7.50	7.56
5khi	6.77	6.43
4iif	5.18	5.72
3kqy	4.82	5.06
4k6i	6.20	6.30
4z0q	8.17	8.33
4x3u	5.09	5.27
4mma	6.04	6.05
5u69	6.22	6.75
6c3u	5.40	5.29
3tzm	7.77	7.79
4x0f	7.00	6.92
6gnr	5.44	5.35
4n00	8.02	7.79
3uvq	7.77	7.92
5zo8	8.20	7.83
2v12	9.05	9.07
5am4	6.95	6.90
6j06	6.59	6.22
4yne	8.52	7.94
5fck	8.22	7.92
5fut	6.45	6.84
5ywg	8.34	7.94
4bb4	6.72	6.61
2fwy	6.70	6.85
3ipb	6.70	6.45
6fe0	6.48	6.24
2xgo	3.00	0.00
3n0n	7.30	7.44
5ak4	4.23	4.42
3q3t	7.43	7.81
6pid	4.54	4.62
6f6s	2.89	3.35
5tq4	8.38	7.73
1bl7	7.72	7.74
5ey4	3.12	3.56
4o05	7.43	7.67
2qi7	10.21	10.10
6mmc	3.61	4.17
3d4q	10.52	9.83
5aqt	3.51	3.76
5fqv	6.21	6.54
3t6y	5.52	5.83
2oz6	5.26	5.59
4hyh	9.00	8.45
2x52	4.24	4.64
1ca8	9.49	9.18
6m8a	5.26	5.24
5sym	6.55	6.44
2w7x	7.62	8.06
5t19	4.49	4.64
5buj	8.30	8.41
3qd3	8.00	8.06
5mys	4.30	4.73
4cwf	4.49	4.32
5n53	2.55	3.14
5q0q	6.11	6.30
4rfd	8.05	7.89
2wi6	6.64	6.82
4e3d	2.30	2.77
6cpw	8.25	8.28
2x2l	5.28	5.46
5alw	5.15	5.50
2ou7	3.81	5.13
4djq	10.32	10.60
3ljg	7.73	7.84
6iez	6.52	6.54
3djq	2.98	2.93
5tg4	3.32	3.01
3f8w	4.08	5.24
4r5v	6.15	6.29
5l8c	7.00	7.15
4qyg	8.39	7.91
2wuf	4.29	4.48
2xyd	6.82	6.38
5yfs	4.86	5.44
5tkd	8.15	7.97
5tob	8.82	8.47
3pb9	6.58	5.87
3vbq	9.33	9.02
5ckr	7.76	7.15
4euv	6.30	6.06
6j8r	6.12	6.21
4mwc	5.87	6.35
4a4l	7.82	7.95
3e6k	5.15	5.31
5ct1	1.52	2.61
3mrv	3.74	4.25
4lbu	6.56	7.06
4nah	6.31	6.73
4bt3	3.12	3.62
1g9s	3.61	4.02
1o46	8.00	7.87
4dbn	8.15	8.09
4k7o	4.30	4.44
5khx	7.85	7.42
4wp7	6.10	6.17
6o5u	4.38	4.62
6gjw	4.96	5.05
5dx4	6.86	6.63
4mp2	5.45	5.72
4yih	4.66	4.89
3f36	2.89	3.53
6nzh	8.80	8.28
3btc	5.75	6.62
5qas	3.72	4.03
4n7j	5.47	5.22
5g5f	5.28	4.84
3omm	7.43	7.41
1qj7	8.10	8.10
3eax	4.92	5.15
4py2	6.57	6.96
3sk2	3.61	4.29
