PDB	Labels	Predictions
1bcu	3.28	4.32
1bzc	4.92	5.98
1c5z	4.01	4.59
1e66	9.89	7.77
1eby	9.70	8.63
1g2k	7.96	9.87
1gpk	5.37	6.27
1gpn	6.48	6.35
1h22	9.10	7.37
1h23	8.35	7.59
1k1i	6.58	6.86
1lpg	7.09	7.94
1mq6	11.15	8.42
1nc1	6.12	9.33
1nc3	5.00	7.94
1nvq	8.25	8.04
1o0h	5.92	5.70
1o3f	7.96	6.20
1o5b	5.77	5.08
1owh	7.40	7.25
1oyt	7.24	6.93
1p1n	6.80	5.93
1p1q	4.89	5.68
1ps3	2.28	4.57
1pxn	7.15	7.73
1qf1	7.32	5.83
1qkt	9.04	7.54
1r5y	6.46	4.64
1s38	5.15	4.76
1sqa	9.21	7.21
1syi	5.44	6.04
1u1b	7.80	6.05
1uto	2.27	2.69
1vso	4.72	4.29
1w4o	5.22	5.00
1y6r	10.11	9.47
1yc1	6.17	6.56
1z6e	9.72	9.01
1z95	7.12	9.47
1z9g	5.64	5.86
2al5	8.40	6.71
2br1	5.14	5.53
2brb	4.86	5.59
2cbv	5.48	5.88
2cet	8.02	7.89
2fvd	8.52	7.70
2fxs	6.06	5.89
2hb1	3.80	5.13
2iwx	6.68	6.51
2j78	6.42	5.64
2j7h	7.19	5.71
2p15	10.30	7.93
2p4y	9.00	7.17
2pog	9.54	8.57
2qbp	8.40	6.88
2qbq	7.44	6.56
2qbr	6.33	5.74
2qe4	7.96	7.49
2qnq	6.11	7.14
2r9w	5.10	5.35
2v00	3.66	4.10
2v7a	8.30	7.52
2vkm	8.74	7.97
2vvn	7.30	8.04
2vw5	8.52	6.23
2w4x	4.85	5.05
2w66	4.05	4.97
2wbg	4.45	6.94
2wca	5.60	5.67
2weg	6.50	6.72
2wer	7.05	6.70
2wn9	8.52	5.21
2wnc	6.32	6.57
2wtv	8.74	8.71
2wvt	6.12	5.67
2x00	11.33	7.91
2xb8	7.59	4.85
2xbv	8.43	8.19
2xdl	3.10	6.91
2xii	7.20	7.51
2xj7	6.66	4.39
2xnb	6.83	7.87
2xys	7.42	6.34
2y5h	5.79	8.75
2yfe	6.63	7.00
2yge	5.06	5.56
2yki	9.46	5.96
2ymd	3.16	6.69
2zb1	6.32	7.52
2zcq	8.82	7.11
2zcr	6.87	6.27
2zda	8.40	7.36
2zy1	7.40	6.21
3acw	4.76	7.19
3ag9	8.05	8.06
3ao4	2.07	5.04
3arp	7.15	6.46
3arq	6.40	6.49
3aru	3.22	5.86
3arv	5.64	5.47
3ary	6.00	5.46
3b1m	8.48	6.33
3b27	5.16	6.09
3b5r	8.77	8.14
3b65	9.27	7.08
3b68	8.40	8.37
3bgz	6.26	6.62
3coy	6.02	5.46
3coz	5.57	5.32
3d4z	4.89	4.73
3d6q	3.76	3.95
3dd0	9.00	8.24
3dx1	3.58	7.26
3dx2	6.82	6.20
3dxg	2.40	3.38
3e5a	8.23	6.89
3e92	8.00	8.12
3e93	8.85	6.69
3ebp	5.91	6.49
3ehy	5.85	6.25
3ejr	8.57	8.05
3f3c	6.02	5.74
3fcq	2.77	3.68
3fur	8.00	7.98
3fv1	9.30	6.82
3fv2	8.11	7.02
3g0w	9.52	7.64
3g2n	4.09	4.81
3g2z	2.36	3.30
3g31	2.89	3.39
3gbb	6.90	6.58
3gc5	7.26	7.05
3ge7	8.70	8.24
3gr2	2.52	4.24
3gv9	2.12	3.47
3gy4	5.10	4.56
3ivg	4.30	6.60
3jvr	5.72	4.06
3jvs	6.54	5.14
3jya	6.89	6.99
3k5v	6.30	5.96
3kgp	2.57	3.06
3kr8	8.10	7.13
3kwa	4.08	6.57
3l7b	2.40	3.28
3lka	2.82	5.11
3mss	4.66	5.13
3myg	10.70	7.22
3n76	6.85	5.67
3n7a	3.70	3.10
3n86	5.64	5.96
3nq9	4.03	4.22
3nw9	9.00	8.26
3nx7	8.10	8.31
3o9i	11.82	10.88
3oe4	7.47	7.47
3oe5	6.88	7.11
3ozs	5.33	7.68
3ozt	4.13	6.81
3p5o	7.26	6.95
3prs	7.82	7.70
3pww	7.32	6.93
3pxf	4.43	4.84
3pyy	6.86	6.16
3qgy	7.80	9.01
3qqs	5.82	5.11
3r88	4.82	2.23
3rlr	7.52	6.82
3rr4	4.55	5.21
3rsx	4.41	5.35
3ryj	7.80	8.23
3syr	5.10	4.77
3tsk	7.17	7.19
3twp	3.92	3.71
3u5j	5.61	5.59
3u8k	8.66	7.96
3u8n	10.17	7.54
3u9q	4.38	5.45
3udh	2.85	3.92
3ueu	5.24	5.58
3uev	5.89	5.71
3uew	6.31	6.02
3uex	6.92	5.71
3ui7	9.00	6.90
3uo4	6.52	6.48
3up2	7.40	6.88
3utu	10.92	8.16
3uuo	7.96	7.26
3wtj	6.53	6.75
3wz8	5.82	5.96
3zdg	7.10	4.97
3zso	5.12	4.80
3zsx	3.28	5.04
3zt2	2.84	4.06
4abg	3.57	4.07
4agn	3.97	4.56
4agp	4.69	5.12
4agq	5.01	4.74
4bkt	3.62	4.66
4cig	3.67	4.36
4ciw	4.82	4.44
4cr9	4.10	3.63
4cra	7.22	6.96
4crc	8.72	8.46
4ddh	3.30	3.34
4ddk	2.29	2.73
4de1	5.96	5.15
4de2	4.12	5.16
4de3	5.52	4.93
4djv	6.72	7.50
4dld	5.82	6.03
4dli	5.62	5.85
4e5w	7.66	7.98
4e6q	8.36	7.36
4ea2	6.44	6.32
4eky	3.52	4.68
4eor	6.30	6.76
4f09	6.70	7.48
4f9w	6.94	7.58
4gfm	7.22	6.10
4gid	10.77	7.53
4gkm	5.17	5.95
4gr0	9.55	8.74
4hge	7.92	8.08
4ivb	8.72	8.30
4ivc	10.00	8.97
4ivd	9.52	8.53
4j21	7.41	6.82
4j28	5.70	7.03
4j3l	7.80	7.56
4jfs	5.27	5.91
4jia	9.22	7.80
4jsz	2.30	5.70
4jxs	4.74	4.83
4k18	8.96	8.66
4k77	6.63	6.91
4kz6	3.10	4.62
4kzq	6.10	6.73
4kzu	6.50	6.71
4llx	2.89	3.97
4lzs	4.80	4.97
4m0y	6.46	6.10
4m0z	5.19	7.00
4mgd	4.69	6.77
4mme	6.50	6.46
4ogj	6.79	6.19
4owm	2.96	3.61
4pcs	7.85	6.27
4qac	9.40	7.58
4qd6	8.64	7.19
4rfm	10.05	7.48
4tmn	10.17	7.08
4twp	10.00	7.60
4ty7	9.52	8.23
4u4s	2.92	5.70
4w9c	4.65	4.51
4wiv	6.26	6.56
4x6p	8.30	8.76
5a7b	3.57	5.28
5aba	2.98	4.10
5dwr	11.22	9.08
5tmn	8.04	6.91
