PDB	Labels	Predictions
4fud	6.35	6.10
4fue	7.23	5.78
4fu7	6.20	5.07
4fu8	5.23	5.48
4fu9	6.20	6.27
4fub	6.21	5.87
4fuc	7.40	6.74
4fsm	7.62	7.09
4fsw	4.76	4.64
4ft5	7.56	7.11
4fsn	7.70	7.25
4fsz	6.97	6.20
4ft7	8.87	8.04
4ft0	7.11	5.84
4ft9	7.69	7.31
4fta	7.39	7.33
4ftc	7.63	6.82
4fsq	8.80	6.13
4fsr	7.94	7.72
4fst	8.28	6.65
4fw3	7.23	7.71
4fw4	8.08	6.97
4fw5	7.48	7.68
4fw6	7.70	8.01
4fw7	7.13	8.66
4fux	6.00	6.80
4fuy	6.09	7.11
4fv0	5.59	6.27
4fv1	7.08	6.71
4fv2	7.68	8.21
4fv3	7.74	7.43
4ev4	7.40	7.27
4fv5	7.70	7.30
4fv7	7.57	8.24
4fv8	7.82	7.93
4fv9	6.72	7.42
4fx3	8.07	5.99
4ek4	4.48	4.15
4ek5	6.09	5.37
4fkg	4.67	4.77
4fki	4.23	5.83
4ek6	6.04	5.63
4fjk	6.55	6.54
4ek8	7.11	6.59
3sw4	6.02	5.75
3sw7	6.64	6.72
4fko	6.11	6.34
4fkp	6.54	6.95
4fkq	6.28	6.63
4fkr	6.64	5.65
4fks	6.28	7.25
4fkt	5.97	7.79
4fku	7.01	4.39
4fkv	6.60	7.02
4fkw	7.33	6.21
