PDB	Labels	Predictions
1a8i	5.52	5.48
1a99	5.70	8.03
1ax0	3.13	3.54
1b6l	8.30	6.94
1b6m	8.40	6.78
1duv	11.80	6.82
1dy4	4.36	5.80
1e2k	4.94	5.40
1fcx	7.12	9.66
1g2k	7.96	8.37
1gj8	6.96	5.28
1gjd	5.22	4.87
1gpk	5.37	4.34
1gyy	3.64	3.24
1h22	9.10	7.59
1h23	8.35	9.05
1h46	3.57	4.55
1hnn	6.24	6.06
1iy7	6.19	6.44
1kzk	10.39	10.29
1lrh	6.82	3.33
1nc1	6.12	7.30
1nc3	5.00	6.04
1nli	3.59	3.98
1nw5	5.21	6.44
1ow4	5.68	4.96
1p1n	6.80	5.71
1p1o	5.76	5.17
1ps3	2.28	5.27
1pxp	6.66	7.36
1r5y	6.46	7.14
1s38	5.15	6.37
1s39	7.70	6.79
1sr7	10.10	9.68
1sw1	7.30	7.05
1syh	6.41	5.97
1syi	5.48	6.06
1toj	3.39	3.43
1tok	2.47	4.52
1u1w	5.85	4.21
1ua4	4.22	4.59
1ui0	7.06	2.59
1utm	3.01	2.17
1uwu	5.98	6.09
1uz1	6.89	6.39
1uz4	3.40	5.08
1v1j	4.82	3.61
1w2g	4.57	5.34
1x8d	2.21	3.67
1xge	4.68	4.92
1y1m	1.82	4.38
1y1z	3.08	4.43
1y20	5.32	5.73
1yc1	6.17	5.62
1ydk	5.89	4.67
1z95	7.12	10.11
2aac	2.22	6.28
2afx	5.15	3.37
2ayr	9.29	7.58
2azr	3.64	5.40
2b07	6.43	5.88
2boh	8.52	7.30
2boj	5.77	3.31
2brb	4.86	5.17
2bvd	6.00	5.69
2byr	8.55	7.81
2cji	8.22	7.92
2fai	6.24	6.36
2fdp	7.59	7.58
2ff1	8.21	5.43
2fpz	3.96	4.18
2fqt	6.14	5.67
2fqw	6.68	6.00
2fqx	7.15	7.18
2fqy	6.57	6.13
2fvd	8.52	7.46
2fw6	2.92	3.27
2fxu	8.15	7.23
2h6b	5.39	6.00
2hb1	3.80	5.08
2hdq	1.40	2.57
2hdr	1.72	2.90
2i0a	11.40	11.27
2i0d	12.10	11.41
2il2	7.10	8.50
2iwx	6.68	6.54
2j2u	7.05	8.11
2j34	7.82	7.75
2j4i	9.00	8.40
2j78	6.42	5.98
1bcj	3.70	2.05
1bky	3.84	5.71
1d4i	8.85	8.43
1d4j	8.36	7.33
1eby	9.70	7.41
1ebz	9.40	6.39
1ec0	8.49	9.13
1ec1	8.92	6.87
1ec2	10.00	6.27
1enu	5.08	3.39
1f74	3.05	4.51
1gi9	5.96	3.57
1gww	4.28	4.09
1gx0	4.28	4.13
1o5a	6.42	5.06
1o5r	8.12	6.31
1q4w	6.46	6.57
1qkt	9.04	8.08
1qxl	7.96	7.12
1rdi	2.06	1.76
1rdn	1.84	1.93
1tr7	6.82	5.91
2a3c	4.37	5.13
2fv5	10.52	7.35
2h21	6.54	4.26
2hd6	7.80	5.56
1xl5	7.35	9.78
1y93	2.10	3.44
4ubp	5.59	2.52
1lhw	8.16	5.82
1s9t	6.60	4.42
1tt1	7.19	7.96
1uzv	5.18	3.88
2dm5	2.99	3.95
1xw6	5.62	6.00
2qrk	4.26	3.65
2nn1	5.82	5.37
2pou	7.42	6.72
3cd0	7.57	8.62
3cda	7.58	9.19
