PDB	Labels	Predictions
1gm8	4.80	2.76
1gpk	5.37	5.02
1hnn	6.24	5.51
1hp0	6.70	5.85
1hq2	6.77	4.28
1hvy	6.17	5.31
1hwi	7.55	7.56
1hww	7.70	3.83
1ia1	7.47	5.41
1j3j	8.01	5.51
1jd0	8.24	5.38
1jje	8.43	5.49
1ke5	6.25	6.20
1kzk	10.40	9.26
1l2s	4.59	3.97
1l7f	9.10	6.08
1lpz	7.60	7.12
1lrh	6.82	3.15
1m2z	7.22	5.84
1mmv	7.24	3.57
1n1m	5.70	4.49
1n2v	4.08	3.52
1n46	10.52	7.89
1nav	7.60	6.91
1of1	4.82	4.13
1of6	6.05	6.14
1opk	9.82	7.93
1oq5	7.68	9.09
1owe	6.20	5.67
1oyt	7.24	6.26
1p2y	5.00	2.45
1p62	4.66	6.35
1pmn	8.15	8.09
1q1g	8.57	6.85
1q41	7.66	7.04
1q4g	6.89	8.42
1r1h	8.92	7.82
1r55	6.80	6.96
1r58	6.96	5.61
1r9o	5.02	4.77
1s19	9.51	6.36
1s3v	7.42	7.09
1sg0	7.47	4.98
1sj0	9.10	9.56
1sq5	4.39	3.39
1sqn	9.40	7.08
1t40	7.96	7.13
1t46	6.38	11.16
1t9b	6.90	6.68
1tow	6.24	4.90
1tt1	7.19	4.92
1u1c	5.37	6.03
1uml	7.52	6.38
1unl	6.70	5.25
1uou	7.70	6.02
1v0p	6.89	5.47
1v48	8.16	5.33
1v4s	6.44	5.58
1vcj	4.59	4.85
1w1p	2.30	2.95
1w2g	4.57	5.42
1xm6	6.38	5.92
1xoq	9.17	8.50
1xoz	8.92	8.14
1y6b	7.42	9.33
1ygc	9.46	5.79
1yqy	7.62	6.45
1ywr	7.49	8.01
1z95	7.12	8.41
2bm2	7.82	4.76
2br1	5.14	6.22
2bsm	5.82	7.77
