PDB	Labels	Predictions
4ypw	5.50	4.68
4ypx	4.60	3.67
4ypy	3.80	3.83
4ypz	3.50	3.85
4yq0	4.40	5.43
4yq1	8.30	6.96
4yq2	8.30	6.66
4yq3	6.80	7.02
4yq4	5.70	5.31
4yq5	5.40	5.75
4yq6	6.10	5.18
4yq7	5.20	5.71
4yq8	5.10	2.72
4yq9	6.70	4.79
4yqa	6.30	4.68
4yqb	5.90	4.82
4yqc	6.70	4.61
4yqd	5.10	5.54
4yqg	5.70	3.92
4yqi	4.80	5.47
4yqj	6.20	5.71
4yqk	4.70	3.15
4yql	4.80	2.93
4yqn	5.80	4.20
4yqo	6.30	4.90
4yqp	5.70	5.99
4yqq	6.10	5.61
4yqr	4.00	3.88
4yqs	5.60	4.66
4yqt	6.10	4.44
4yjo	7.90	7.11
4yjp	8.46	7.15
4yjq	7.95	6.95
4yjr	7.69	7.19
4yjs	9.39	7.61
4yjt	8.79	6.90
4yju	7.94	7.88
4yjv	8.55	6.84
4ykr	7.53	5.98
4ykq	7.61	5.98
4ykt	8.28	6.15
4ykw	7.02	7.15
4ykx	5.56	5.94
4ykz	5.06	5.28
4yky	4.30	6.05
4yku	5.12	5.50
