PDB	Labels	Predictions
10gs	6.40	3.96
1bcu	3.28	2.94
1e66	9.89	8.20
1f8b	5.40	5.48
1f8c	7.40	5.90
1f8d	3.40	5.78
1gpk	5.37	5.18
1h23	8.35	8.80
1hfs	8.70	11.17
1hnn	6.24	5.92
1lbk	3.18	4.45
1lol	6.39	3.00
1loq	3.70	3.22
1lor	11.06	10.27
1mq6	11.15	8.66
1n1m	5.70	4.45
1n2v	4.08	4.39
1nvq	8.25	8.74
1o3f	7.96	5.47
1o5b	5.77	6.41
1os0	6.03	5.89
1oyt	7.24	7.17
1p1q	4.89	5.79
1ps3	2.28	3.78
1r5y	6.46	5.00
1sqa	9.21	7.70
1u1b	7.80	5.81
1u33	4.60	6.43
1uto	2.27	2.10
1vso	4.72	5.90
1w4o	5.22	4.49
1xd0	7.12	8.30
1yc1	6.17	6.05
1z95	7.12	8.15
2brb	4.86	5.52
2cbj	8.27	6.06
2cet	8.02	7.93
2d1o	7.70	6.91
2fvd	8.52	6.77
2g70	7.77	6.09
2hb1	3.80	6.00
2iwx	6.68	6.39
2j62	11.34	10.13
2j78	6.42	6.19
2jdm	5.40	5.24
2jdu	6.72	4.60
2jdy	4.37	5.49
2obf	8.85	7.55
2ole	7.25	7.78
2p4y	9.00	8.22
2pq9	8.11	7.99
2qbp	8.40	6.99
2qbr	6.33	5.90
2qft	5.26	4.37
2v00	3.66	4.28
2v7a	8.30	7.35
2vl4	6.01	6.33
2vo5	4.89	5.35
2vot	7.14	7.88
2vvn	7.30	7.52
2vw5	8.52	5.37
2w66	4.05	6.53
2wbg	4.45	4.83
2wca	5.60	6.41
2weg	6.50	6.26
2wtv	8.74	8.88
2x00	11.33	8.36
2x0y	4.60	4.33
2x8z	7.96	9.43
2x97	5.66	7.35
2xb8	7.59	8.39
2xbv	8.43	8.68
2xdl	3.10	4.09
2xhm	6.80	6.66
2xnb	6.83	6.63
2xy9	9.19	7.18
2xys	7.42	7.42
2y5h	5.79	8.06
2yfe	6.63	5.44
2yge	5.06	4.97
2yki	9.46	6.29
2ymd	3.16	5.42
2zcq	8.82	6.36
2zcr	6.87	7.18
2zjw	7.70	6.06
2zwz	7.79	8.57
2zx6	10.60	9.76
2zxd	5.22	6.67
3acw	4.76	5.28
3ag9	8.05	6.83
3ao4	2.07	3.69
3b68	8.40	8.36
3bfu	6.27	5.85
3bkk	6.08	7.95
3cft	4.19	3.78
3coy	6.02	5.51
3cyx	8.00	7.88
3d4z	4.89	3.79
3dd0	9.00	8.24
3dxg	2.40	3.02
3e93	8.85	8.07
3ebp	5.91	6.36
3ehy	5.85	6.99
3ejr	8.57	8.98
3f17	8.63	8.32
3f3c	6.02	6.90
3f80	4.22	3.50
3fcq	2.77	4.72
3fk1	2.62	4.33
3fv1	9.30	8.93
3g0w	9.52	9.68
3g2n	4.09	4.03
3g2z	2.36	2.96
3gbb	6.90	6.76
3gcs	7.25	6.14
3ge7	8.70	7.78
3gy4	5.10	4.24
3huc	5.99	6.26
3i3b	2.23	3.79
3imc	2.96	2.93
3ivg	4.30	4.91
3jvs	6.54	5.18
3k5v	6.30	8.39
3kgp	2.57	2.83
3kv2	7.32	4.54
3kwa	4.08	4.19
3l3n	8.18	5.93
3l7b	2.40	3.92
3lka	2.82	5.96
3mfv	2.52	5.18
3mss	4.66	3.15
3muz	3.46	2.11
3myg	10.70	9.25
3n7a	3.70	4.03
3n86	5.64	6.93
3nox	8.66	7.16
3nq3	3.78	6.73
3nw9	9.00	7.67
3oe5	6.88	8.81
3owj	6.07	5.43
3ozt	4.13	7.51
3pe2	9.76	7.38
3pww	7.32	7.61
3pxf	4.43	3.42
3u9q	4.38	6.29
3udh	2.85	4.51
3ueu	5.24	6.27
3uex	6.92	7.86
3uo4	6.52	7.17
3utu	10.92	11.53
3vd4	4.82	3.38
3vh9	6.24	4.50
3zso	5.12	5.23
3zsx	3.28	3.61
4de1	5.96	5.35
4de2	4.12	4.65
4des	5.85	5.70
4dew	7.00	8.30
4djr	11.52	8.72
4djv	6.72	5.72
4g8m	7.89	6.83
4gid	10.77	8.66
4gqq	2.89	3.86
4tmn	10.17	7.86
