PDB	Labels	Predictions
1gm8	4.80	5.99
1gpk	5.37	5.85
1hnn	6.24	6.01
1hp0	6.70	5.63
1hq2	6.77	4.88
1hvy	6.17	6.54
1hwi	7.55	6.34
1hww	7.70	5.32
1ia1	7.47	6.02
1j3j	8.01	5.83
1jd0	8.24	7.48
1jje	8.43	5.64
1ke5	6.25	6.86
1kzk	10.40	9.10
1l2s	4.59	5.56
1l7f	9.10	8.53
1lpz	7.60	7.37
1lrh	6.82	5.12
1m2z	7.22	7.97
1mmv	7.24	4.87
1n1m	5.70	4.72
1n2v	4.08	4.46
1n46	10.52	7.19
1nav	7.60	7.33
1of1	4.82	6.50
1of6	6.05	6.17
1opk	9.82	7.71
1oq5	7.68	7.65
1owe	6.20	6.28
1oyt	7.24	6.49
1p2y	5.00	4.10
1p62	4.66	5.53
1pmn	8.15	7.77
1q1g	8.57	7.29
1q41	7.66	7.28
1q4g	6.89	5.46
1r1h	8.92	6.95
1r55	6.80	5.60
1r58	6.96	7.11
1r9o	5.02	5.41
1s19	9.51	8.68
1s3v	7.42	7.69
1sg0	7.47	5.25
1sj0	9.10	8.65
1sq5	4.39	4.75
1sqn	9.40	8.26
1t40	7.96	7.32
1t46	6.38	7.67
1t9b	6.90	6.25
1tow	6.24	5.92
1tt1	7.19	7.35
1u1c	5.37	5.92
1uml	7.52	7.89
1unl	6.70	7.63
1uou	7.70	5.56
1v0p	6.89	7.36
1v48	8.16	6.05
1v4s	6.44	7.56
1vcj	4.59	6.63
1w1p	2.30	4.45
1w2g	4.57	5.21
1xm6	6.38	6.01
1xoq	9.17	8.68
1xoz	8.92	7.33
1y6b	7.42	7.82
1ygc	9.46	7.63
1yqy	7.62	6.19
1ywr	7.49	7.42
1z95	7.12	7.89
2bm2	7.82	6.47
2br1	5.14	6.77
2bsm	5.82	7.06
