PDB	Labels	Predictions
10gs	6.40	5.98
1bcu	3.28	4.70
1e66	9.89	6.62
1f8b	5.40	5.04
1f8c	7.40	5.96
1f8d	3.40	5.55
1gpk	5.37	5.68
1h23	8.35	7.94
1hfs	8.70	8.55
1hnn	6.24	6.12
1lbk	3.18	4.88
1lol	6.39	4.76
1loq	3.70	4.72
1lor	11.06	8.00
1mq6	11.15	8.08
1n1m	5.70	5.02
1n2v	4.08	4.40
1nvq	8.25	7.92
1o3f	7.96	6.22
1o5b	5.77	5.40
1os0	6.03	7.10
1oyt	7.24	7.47
1p1q	4.89	6.22
1ps3	2.28	5.24
1r5y	6.46	5.05
1sqa	9.21	7.37
1u1b	7.80	4.96
1u33	4.60	5.59
1uto	2.27	2.32
1vso	4.72	4.96
1w4o	5.22	4.53
1xd0	7.12	7.08
1yc1	6.17	6.43
1z95	7.12	7.41
2brb	4.86	6.63
2cbj	8.27	6.28
2cet	8.02	7.44
2d1o	7.70	7.61
2fvd	8.52	7.16
2g70	7.77	5.52
2hb1	3.80	4.78
2iwx	6.68	6.00
2j62	11.34	8.16
2j78	6.42	5.70
2jdm	5.40	4.44
2jdu	6.72	4.34
2jdy	4.37	4.30
2obf	8.85	7.22
2ole	7.25	7.70
2p4y	9.00	7.62
2pq9	8.11	6.71
2qbp	8.40	6.53
2qbr	6.33	6.14
2qft	5.26	4.26
2v00	3.66	4.09
2v7a	8.30	7.53
2vl4	6.01	5.68
2vo5	4.89	6.73
2vot	7.14	7.36
2vvn	7.30	7.34
2vw5	8.52	6.22
2w66	4.05	5.11
2wbg	4.45	6.55
2wca	5.60	5.72
2weg	6.50	6.66
2wtv	8.74	8.00
2x00	11.33	7.62
2x0y	4.60	5.63
2x8z	7.96	5.17
2x97	5.66	6.51
2xb8	7.59	6.37
2xbv	8.43	8.48
2xdl	3.10	5.80
2xhm	6.80	6.88
2xnb	6.83	7.67
2xy9	9.19	7.54
2xys	7.42	6.59
2y5h	5.79	7.40
2yfe	6.63	6.40
2yge	5.06	5.32
2yki	9.46	6.58
2ymd	3.16	5.53
2zcq	8.82	6.60
2zcr	6.87	7.09
2zjw	7.70	5.91
2zwz	7.79	6.74
2zx6	10.60	8.91
2zxd	5.22	5.44
3acw	4.76	6.39
3ag9	8.05	6.31
3ao4	2.07	4.87
3b68	8.40	7.10
3bfu	6.27	6.75
3bkk	6.08	6.75
3cft	4.19	5.04
3coy	6.02	6.50
3cyx	8.00	8.55
3d4z	4.89	5.11
3dd0	9.00	8.58
3dxg	2.40	3.63
3e93	8.85	7.88
3ebp	5.91	5.57
3ehy	5.85	6.34
3ejr	8.57	7.57
3f17	8.63	7.34
3f3c	6.02	6.17
3f80	4.22	5.60
3fcq	2.77	4.43
3fk1	2.62	4.54
3fv1	9.30	8.32
3g0w	9.52	7.66
3g2n	4.09	5.09
3g2z	2.36	3.40
3gbb	6.90	7.26
3gcs	7.25	7.74
3ge7	8.70	7.31
3gy4	5.10	4.31
3huc	5.99	6.73
3i3b	2.23	3.84
3imc	2.96	3.79
3ivg	4.30	6.24
3jvs	6.54	5.85
3k5v	6.30	6.95
3kgp	2.57	3.00
3kv2	7.32	5.77
3kwa	4.08	4.79
3l3n	8.18	7.14
3l7b	2.40	3.74
3lka	2.82	4.64
3mfv	2.52	4.87
3mss	4.66	5.34
3muz	3.46	3.88
3myg	10.70	7.42
3n7a	3.70	3.97
3n86	5.64	6.19
3nox	8.66	7.89
3nq3	3.78	5.36
3nw9	9.00	7.56
3oe5	6.88	6.12
3owj	6.07	6.57
3ozt	4.13	6.15
3pe2	9.76	8.13
3pww	7.32	6.95
3pxf	4.43	5.08
3u9q	4.38	5.49
3udh	2.85	3.78
3ueu	5.24	5.48
3uex	6.92	6.46
3uo4	6.52	7.33
3utu	10.92	8.55
3vd4	4.82	3.76
3vh9	6.24	4.41
3zso	5.12	5.47
3zsx	3.28	4.14
4de1	5.96	5.34
4de2	4.12	5.50
4des	5.85	6.11
4dew	7.00	5.62
4djr	11.52	9.04
4djv	6.72	6.59
4g8m	7.89	6.49
4gid	10.77	8.14
4gqq	2.89	4.33
4tmn	10.17	7.15
