PDB	Labels	Predictions
4fud	6.35	4.54
4fue	7.23	6.75
4fu7	6.20	5.12
4fu8	5.23	4.50
4fu9	6.20	6.74
4fub	6.21	6.19
4fuc	7.40	7.05
4fsm	7.62	6.69
4fsw	4.76	5.10
4ft5	7.56	7.85
4fsn	7.70	7.28
4fsz	6.97	5.46
4ft7	8.87	8.06
4ft0	7.11	6.80
4ft9	7.69	8.27
4fta	7.39	7.86
4ftc	7.63	7.87
4fsq	8.80	7.61
4fsr	7.94	7.44
4fst	8.28	6.99
4fw3	7.23	7.71
4fw4	8.08	8.06
4fw5	7.48	7.84
4fw6	7.70	8.23
4fw7	7.13	7.94
4fux	6.00	6.92
4fuy	6.09	6.48
4fv0	5.59	6.49
4fv1	7.08	8.26
4fv2	7.68	8.01
4fv3	7.74	8.27
4ev4	7.40	6.55
4fv5	7.70	8.03
4fv7	7.57	8.12
4fv8	7.82	7.93
4fv9	6.72	7.47
4fx3	8.07	6.66
4ek4	4.48	4.72
4ek5	6.09	6.16
4fkg	4.67	5.99
4fki	4.23	6.42
4ek6	6.04	6.76
4fjk	6.55	4.81
4ek8	7.11	7.47
3sw4	6.02	7.37
3sw7	6.64	7.36
4fko	6.11	7.15
4fkp	6.54	7.19
4fkq	6.28	7.01
4fkr	6.64	7.17
4fks	6.28	7.73
4fkt	5.97	7.12
4fku	7.01	4.79
4fkv	6.60	7.44
4fkw	7.33	6.90
