PDB	Labels	Predictions
1a8i	5.52	4.84
1a99	5.70	5.05
1ax0	3.13	4.19
1b6l	8.30	8.00
1b6m	8.40	8.31
1duv	11.80	6.33
1dy4	4.36	6.47
1e2k	4.94	6.00
1fcx	7.12	7.93
1g2k	7.96	8.61
1gj8	6.96	5.50
1gjd	5.22	4.85
1gpk	5.37	6.17
1gyy	3.64	4.64
1h22	9.10	7.68
1h23	8.35	7.89
1h46	3.57	5.88
1hnn	6.24	6.17
1iy7	6.19	6.19
1kzk	10.39	8.88
1lrh	6.82	5.83
1nc1	6.12	7.66
1nc3	5.00	6.61
1nli	3.59	5.25
1nw5	5.21	5.59
1ow4	5.68	6.78
1p1n	6.80	6.44
1p1o	5.76	6.63
1ps3	2.28	5.28
1pxp	6.66	7.33
1r5y	6.46	5.14
1s38	5.15	5.13
1s39	7.70	4.89
1sr7	10.10	7.86
1sw1	7.30	5.07
1syh	6.41	6.98
1syi	5.48	7.00
1toj	3.39	4.41
1tok	2.47	3.82
1u1w	5.85	5.95
1ua4	4.22	5.28
1ui0	7.06	4.60
1utm	3.01	2.54
1uwu	5.98	5.94
1uz1	6.89	6.31
1uz4	3.40	5.34
1v1j	4.82	4.22
1w2g	4.57	4.96
1x8d	2.21	5.34
1xge	4.68	4.52
1y1m	1.82	5.29
1y1z	3.08	5.79
1y20	5.32	5.83
1yc1	6.17	6.40
1ydk	5.89	5.40
1z95	7.12	7.39
2aac	2.22	4.82
2afx	5.15	5.23
2ayr	9.29	7.94
2azr	3.64	5.18
2b07	6.43	6.59
2boh	8.52	7.13
2boj	5.77	4.12
2brb	4.86	6.77
2bvd	6.00	5.68
2byr	8.55	7.47
2cji	8.22	6.38
2fai	6.24	6.84
2fdp	7.59	8.27
2ff1	8.21	6.94
2fpz	3.96	3.26
2fqt	6.14	6.19
2fqw	6.68	6.07
2fqx	7.15	6.26
2fqy	6.57	5.99
2fvd	8.52	7.18
2fw6	2.92	3.45
2fxu	8.15	7.40
2h6b	5.39	5.14
2hb1	3.80	4.81
2hdq	1.40	4.11
2hdr	1.72	3.76
2i0a	11.40	9.83
2i0d	12.10	10.68
2il2	7.10	8.07
2iwx	6.68	5.92
2j2u	7.05	6.80
2j34	7.82	6.30
2j4i	9.00	7.14
2j78	6.42	5.72
1bcj	3.70	5.28
1bky	3.84	4.21
1d4i	8.85	8.38
1d4j	8.36	8.24
1eby	9.70	8.33
1ebz	9.40	8.35
1ec0	8.49	8.35
1ec1	8.92	8.48
1ec2	10.00	8.36
1enu	5.08	4.60
1f74	3.05	5.31
1gi9	5.96	4.87
1gww	4.28	5.35
1gx0	4.28	5.47
1o5a	6.42	5.51
1o5r	8.12	8.00
1q4w	6.46	4.92
1qkt	9.04	8.18
1qxl	7.96	8.03
1rdi	2.06	2.92
1rdn	1.84	4.49
1tr7	6.82	5.08
2a3c	4.37	5.84
2fv5	10.52	8.37
2h21	6.54	6.17
2hd6	7.80	6.95
1xl5	7.35	8.28
1y93	2.10	4.25
4ubp	5.59	4.70
1lhw	8.16	7.59
1s9t	6.60	6.18
1tt1	7.19	6.51
1uzv	5.18	4.13
2dm5	2.99	5.51
1xw6	5.62	5.23
2qrk	4.26	4.01
2nn1	5.82	6.58
2pou	7.42	6.65
3cd0	7.57	7.76
3cda	7.58	7.94
