PDB	Labels	Predictions
1gm8	4.80	6.14
1gpk	5.37	6.11
1hnn	6.24	6.36
1hp0	6.70	5.82
1hq2	6.77	5.62
1hvy	6.17	6.28
1hwi	7.55	6.50
1hww	7.70	5.71
1ia1	7.47	6.15
1j3j	8.01	5.93
1jd0	8.24	6.30
1jje	8.43	6.46
1ke5	6.25	6.43
1kzk	10.40	8.13
1l2s	4.59	5.65
1l7f	9.10	6.70
1lpz	7.60	6.81
1lrh	6.82	5.77
1m2z	7.22	7.46
1mmv	7.24	5.40
1n1m	5.70	5.73
1n2v	4.08	6.27
1n46	10.52	7.17
1nav	7.60	6.82
1of1	4.82	6.28
1of6	6.05	5.65
1opk	9.82	7.98
1oq5	7.68	7.21
1owe	6.20	5.58
1oyt	7.24	6.67
1p2y	5.00	5.45
1p62	4.66	6.39
1pmn	8.15	7.59
1q1g	8.57	6.37
1q41	7.66	6.53
1q4g	6.89	5.55
1r1h	8.92	6.47
1r55	6.80	5.98
1r58	6.96	6.29
1r9o	5.02	5.56
1s19	9.51	7.33
1s3v	7.42	6.56
1sg0	7.47	5.48
1sj0	9.10	7.49
1sq5	4.39	5.39
1sqn	9.40	6.98
1t40	7.96	6.72
1t46	6.38	7.57
1t9b	6.90	6.00
1tow	6.24	6.01
1tt1	7.19	5.68
1u1c	5.37	6.07
1uml	7.52	6.96
1unl	6.70	7.09
1uou	7.70	6.04
1v0p	6.89	7.36
1v48	8.16	6.14
1v4s	6.44	6.88
1vcj	4.59	6.99
1w1p	2.30	5.72
1w2g	4.57	6.00
1xm6	6.38	5.84
1xoq	9.17	6.62
1xoz	8.92	6.41
1y6b	7.42	7.32
1ygc	9.46	7.08
1yqy	7.62	6.15
1ywr	7.49	7.79
1z95	7.12	7.40
2bm2	7.82	6.20
2br1	5.14	6.58
2bsm	5.82	6.68
