PDB	Labels	Predictions
3sw4	6.02	6.88
3sw7	6.64	6.85
4ek4	4.48	5.71
4ek5	6.09	5.80
4ek6	6.04	6.46
4ek8	7.11	7.29
4ev4	7.40	5.65
4fjk	6.55	5.39
4fkg	4.67	5.84
4fki	4.23	6.02
4fko	6.11	7.03
4fkp	6.54	6.46
4fkq	6.28	6.86
4fkr	6.64	7.46
4fks	6.28	7.20
4fkt	5.97	6.87
4fku	7.01	4.48
4fkv	6.60	7.76
4fkw	7.33	6.90
4fsm	7.62	6.76
4fsn	7.70	7.10
4fsq	8.80	7.21
4fsr	7.94	7.04
4fst	8.28	6.68
4fsw	4.76	5.78
4fsz	6.97	5.89
4ft0	7.11	6.10
4ft5	7.56	6.96
4ft7	8.87	7.10
4ft9	7.69	6.21
4fta	7.39	6.31
4ftc	7.63	6.09
4fu7	6.20	5.84
4fu8	5.23	5.40
4fu9	6.20	5.76
4fub	6.21	5.80
4fuc	7.40	5.79
4fud	6.35	5.50
4fue	7.23	5.79
4fux	6.00	6.90
4fuy	6.09	6.69
4fv0	5.59	6.47
4fv1	7.08	7.82
4fv2	7.68	7.26
4fv3	7.74	8.01
4fv5	7.70	6.85
4fv7	7.57	8.39
4fv8	7.82	7.80
4fv9	6.72	7.25
4fw3	7.23	6.61
4fw4	8.08	6.22
4fw5	7.48	6.29
4fw6	7.70	5.93
4fw7	7.13	5.94
4fx3	8.07	6.52
