PDB	Labels	Predictions
10gs	6.40	6.60
1bcu	3.28	5.06
1e66	9.89	7.15
1f8b	5.40	5.56
1f8c	7.40	5.61
1f8d	3.40	5.61
1gpk	5.37	6.48
1h23	8.35	7.40
1hfs	8.70	8.66
1hnn	6.24	6.78
1lbk	3.18	5.07
1lol	6.39	4.93
1loq	3.70	5.48
1lor	11.06	6.39
1mq6	11.15	7.77
1n1m	5.70	5.47
1n2v	4.08	5.32
1nvq	8.25	8.34
1o3f	7.96	6.71
1o5b	5.77	5.90
1os0	6.03	7.61
1oyt	7.24	7.44
1p1q	4.89	4.92
1ps3	2.28	6.18
1r5y	6.46	4.76
1sqa	9.21	6.77
1u1b	7.80	5.99
1u33	4.60	6.36
1uto	2.27	4.40
1vso	4.72	5.04
1w4o	5.22	4.53
1xd0	7.12	7.59
1yc1	6.17	7.31
1z95	7.12	8.12
2brb	4.86	6.70
2cbj	8.27	6.36
2cet	8.02	7.87
2d1o	7.70	7.66
2fvd	8.52	7.49
2g70	7.77	5.94
2hb1	3.80	5.23
2iwx	6.68	6.59
2j62	11.34	7.70
2j78	6.42	5.46
2jdm	5.40	4.30
2jdu	6.72	4.23
2jdy	4.37	4.16
2obf	8.85	7.56
2ole	7.25	6.95
2p4y	9.00	8.11
2pq9	8.11	5.87
2qbp	8.40	7.42
2qbr	6.33	7.27
2qft	5.26	4.86
2v00	3.66	5.03
2v7a	8.30	8.10
2vl4	6.01	5.10
2vo5	4.89	6.91
2vot	7.14	7.82
2vvn	7.30	6.49
2vw5	8.52	7.95
2w66	4.05	6.17
2wbg	4.45	6.29
2wca	5.60	6.51
2weg	6.50	7.14
2wtv	8.74	8.26
2x00	11.33	7.99
2x0y	4.60	6.40
2x8z	7.96	5.39
2x97	5.66	6.97
2xb8	7.59	6.99
2xbv	8.43	7.95
2xdl	3.10	5.40
2xhm	6.80	7.46
2xnb	6.83	8.16
2xy9	9.19	8.07
2xys	7.42	6.27
2y5h	5.79	7.88
2yfe	6.63	6.46
2yge	5.06	7.59
2yki	9.46	7.85
2ymd	3.16	5.94
2zcq	8.82	6.67
2zcr	6.87	6.95
2zjw	7.70	6.13
2zwz	7.79	5.27
2zx6	10.60	6.88
2zxd	5.22	4.98
3acw	4.76	6.81
3ag9	8.05	6.84
3ao4	2.07	5.98
3b68	8.40	8.26
3bfu	6.27	4.98
3bkk	6.08	7.78
3cft	4.19	4.89
3coy	6.02	7.48
3cyx	8.00	8.55
3d4z	4.89	5.98
3dd0	9.00	7.69
3dxg	2.40	4.46
3e93	8.85	8.29
3ebp	5.91	6.07
3ehy	5.85	5.88
3ejr	8.57	6.77
3f17	8.63	7.62
3f3c	6.02	6.07
3f80	4.22	6.75
3fcq	2.77	5.08
3fk1	2.62	4.76
3fv1	9.30	6.55
3g0w	9.52	8.00
3g2n	4.09	5.83
3g2z	2.36	4.40
3gbb	6.90	5.83
3gcs	7.25	7.52
3ge7	8.70	7.47
3gy4	5.10	4.51
3huc	5.99	7.17
3i3b	2.23	4.99
3imc	2.96	4.39
3ivg	4.30	6.03
3jvs	6.54	6.16
3k5v	6.30	7.80
3kgp	2.57	4.77
3kv2	7.32	5.43
3kwa	4.08	7.15
3l3n	8.18	8.05
3l7b	2.40	5.50
3lka	2.82	5.76
3mfv	2.52	5.59
3mss	4.66	5.36
3muz	3.46	5.71
3myg	10.70	7.39
3n7a	3.70	5.14
3n86	5.64	6.62
3nox	8.66	7.15
3nq3	3.78	5.72
3nw9	9.00	7.30
3oe5	6.88	6.71
3owj	6.07	6.35
3ozt	4.13	7.18
3pe2	9.76	7.64
3pww	7.32	8.08
3pxf	4.43	5.25
3u9q	4.38	5.67
3udh	2.85	4.72
3ueu	5.24	6.35
3uex	6.92	6.62
3uo4	6.52	7.85
3utu	10.92	7.87
3vd4	4.82	6.02
3vh9	6.24	5.51
3zso	5.12	7.60
3zsx	3.28	6.97
4de1	5.96	6.65
4de2	4.12	6.37
4des	5.85	6.27
4dew	7.00	5.90
4djr	11.52	8.61
4djv	6.72	7.27
4g8m	7.89	4.76
4gid	10.77	8.23
4gqq	2.89	4.63
4tmn	10.17	7.35
