PDB	Labels	Predictions
1a8i	5.52	5.38
1a99	5.70	5.47
1ax0	3.13	5.20
1b6l	8.30	7.89
1b6m	8.40	7.97
1bcj	3.70	4.97
1bky	3.84	5.11
1d4i	8.85	8.04
1d4j	8.36	7.98
1duv	11.80	5.84
1dy4	4.36	5.71
1e2k	4.94	6.35
1eby	9.70	7.77
1ebz	9.40	7.75
1ec0	8.49	8.14
1ec1	8.92	8.08
1ec2	10.00	8.11
1enu	5.08	5.67
1f74	3.05	5.49
1fcx	7.12	7.63
1g2k	7.96	8.12
1gi9	5.96	5.95
1gj8	6.96	6.17
1gjd	5.22	6.14
1gpk	5.37	5.97
1gww	4.28	5.47
1gx0	4.28	5.51
1gyy	3.64	5.55
1h22	9.10	6.74
1h23	8.35	6.78
1h46	3.57	5.63
1hnn	6.24	6.33
1iy7	6.19	5.89
1kzk	10.39	8.35
1lhw	8.16	6.12
1lrh	6.82	5.60
1nc1	6.12	7.19
1nc3	5.00	6.08
1nli	3.59	5.55
1nw5	5.21	6.09
1o5a	6.42	6.39
1o5r	8.12	7.14
1ow4	5.68	6.26
1p1n	6.80	5.61
1p1o	5.76	5.54
1ps3	2.28	5.53
1pxp	6.66	7.14
1q4w	6.46	5.63
1qkt	9.04	6.72
1qxl	7.96	7.50
1r5y	6.46	5.70
1rdi	2.06	4.16
1rdn	1.84	4.27
1s38	5.15	5.82
1s39	7.70	5.58
1s9t	6.60	5.50
1sr7	10.10	7.92
1sw1	7.30	5.64
1syh	6.41	5.69
1syi	5.48	5.90
1toj	3.39	5.43
1tok	2.47	5.35
1tr7	6.82	5.32
1tt1	7.19	5.63
1u1w	5.85	5.68
1ua4	4.22	5.84
1ui0	7.06	5.47
1utm	3.01	5.16
1uwu	5.98	5.55
1uz1	6.89	5.54
1uz4	3.40	5.61
1uzv	5.18	4.83
1v1j	4.82	5.50
1w2g	4.57	6.01
1x8d	2.21	5.44
1xge	4.68	5.44
1xl5	7.35	8.03
1xw6	5.62	5.46
1y1m	1.82	5.49
1y1z	3.08	5.66
1y20	5.32	5.53
1y93	2.10	5.17
1yc1	6.17	6.62
1ydk	5.89	5.67
1z95	7.12	7.44
2a3c	4.37	6.12
2aac	2.22	5.49
2afx	5.15	5.70
2ayr	9.29	8.02
2azr	3.64	5.71
2b07	6.43	6.89
2boh	8.52	6.72
2boj	5.77	4.62
2brb	4.86	6.41
2bvd	6.00	5.71
2byr	8.55	6.77
2cji	8.22	6.63
2dm5	2.99	5.55
2fai	6.24	6.60
2fdp	7.59	7.65
2ff1	8.21	5.89
2fpz	3.96	5.54
2fqt	6.14	5.64
2fqw	6.68	5.66
2fqx	7.15	5.69
2fqy	6.57	5.95
2fv5	10.52	6.96
2fvd	8.52	7.08
2fw6	2.92	5.55
2fxu	8.15	6.93
2h21	6.54	6.63
2h6b	5.39	5.45
2hb1	3.80	5.58
2hd6	7.80	6.37
2hdq	1.40	5.29
2hdr	1.72	5.02
2i0a	11.40	8.24
2i0d	12.10	8.21
2il2	7.10	7.56
2iwx	6.68	6.16
2j2u	7.05	6.40
2j34	7.82	6.40
2j4i	9.00	6.80
2j78	6.42	5.57
2nn1	5.82	6.10
2pou	7.42	6.95
2qrk	4.26	5.23
3cd0	7.57	6.88
3cda	7.58	7.24
4ubp	5.59	5.34
