PDB	Labels	Predictions
13gs	4.62	5.68
188l	3.33	5.21
1a28	8.29	7.74
1a42	9.89	7.61
1a46	5.70	7.56
1a4r	6.66	5.38
1a52	9.86	6.48
1a5h	6.30	6.79
1a85	4.52	7.39
1a86	4.00	7.00
1a8t	5.80	7.45
1a94	7.85	8.17
1a9u	7.32	6.65
1aaq	8.40	7.63
1acj	8.09	5.74
1ad8	6.60	7.80
1add	6.74	6.87
1adl	5.36	6.29
1af2	3.10	6.46
1afl	6.28	5.54
1ag9	9.00	6.33
1ai5	3.72	5.42
1ai6	3.97	5.01
1ai7	4.09	4.10
1aj6	5.92	6.59
1amn	13.82	6.08
1ao0	4.96	5.66
1ao8	8.22	6.60
1aqi	5.62	5.79
1aqj	6.47	6.05
1au0	7.66	7.11
1au2	7.89	6.88
1auj	8.25	7.22
1avd	15.00	7.06
1avn	3.90	3.69
1aw1	1.05	4.13
1awh	6.08	7.16
1ayu	9.15	6.68
1ayv	8.00	7.22
1azm	6.10	6.13
1b42	4.01	4.08
1b4d	4.81	5.38
1b55	7.40	4.35
1b57	8.00	5.07
1b5g	8.00	7.60
1b74	1.30	3.94
1b8y	7.85	7.76
1b9v	3.65	6.54
1bb0	8.36	7.31
1bcd	8.70	6.42
1bdl	5.85	6.88
1bdr	6.68	7.91
1bgo	8.46	6.75
1bio	5.54	3.94
1biw	6.98	6.70
1bl7	7.72	7.10
1bm7	7.52	6.25
1bma	4.59	7.36
1bmm	7.10	7.18
1bmn	8.44	6.91
1bmq	7.42	7.07
1bo5	3.60	3.68
1bp0	5.40	5.40
1bqm	7.35	6.92
1bsk	4.12	7.08
1bug	4.37	6.31
1bxr	3.40	5.90
1c2t	6.59	6.58
1c3b	7.57	4.45
1c3r	6.40	6.33
1c4y	7.92	7.11
1c5p	4.68	4.13
1c5x	6.68	5.57
1c83	4.85	6.11
1c85	4.64	5.34
1ca8	9.49	7.34
1cbr	9.40	6.55
1cbx	6.35	5.83
1cea	4.96	4.30
1cj1	8.80	6.48
1cny	7.85	5.55
1cp6	5.00	4.40
1cps	6.66	6.59
1cqp	5.62	6.57
1cr6	8.51	6.47
1ctr	6.00	6.16
1d6n	4.50	4.22
1d7j	3.30	3.74
1d8f	7.74	6.88
1d8m	8.51	6.86
1db5	6.82	7.19
1di9	5.30	5.93
1dmp	9.55	8.19
1doj	8.96	8.08
1dth	8.22	7.77
1dtq	8.22	7.72
1dtt	8.30	7.57
1dub	5.80	7.65
1dud	4.82	5.22
1dwc	7.41	6.80
1dzj	5.89	6.88
1e00	6.10	5.46
1e02	6.15	6.06
1e06	5.60	5.52
1e34	2.88	5.71
1e37	3.70	6.19
1e4h	8.41	5.54
1e72	3.22	5.17
1e8h	5.68	5.63
1eas	7.74	7.11
1eat	7.82	7.16
1eed	4.79	7.33
1eei	3.15	4.63
1efi	1.92	4.41
1ek1	7.77	6.08
1eld	6.70	7.06
1els	10.82	4.53
1epo	7.96	7.65
1epp	7.16	7.54
1erq	7.89	5.75
1err	8.11	7.53
1ett	5.89	7.12
1ew8	2.26	4.50
1ew9	3.22	3.90
1exw	3.90	5.78
1f0q	6.00	6.32
1f0r	7.66	6.94
