PDB	Labels	Predictions
1gm8	4.80	5.59
1gpk	5.37	6.29
1hnn	6.24	5.85
1hp0	6.70	6.39
1hq2	6.77	5.22
1hvy	6.17	7.29
1hwi	7.55	7.41
1hww	7.70	5.30
1ia1	7.47	6.78
1j3j	8.01	6.91
1jd0	8.24	5.51
1jje	8.43	5.68
1ke5	6.25	6.78
1kzk	10.40	6.70
1l2s	4.59	5.80
1l7f	9.10	6.68
1lpz	7.60	6.99
1lrh	6.82	5.97
1m2z	7.22	6.75
1mmv	7.24	5.69
1n1m	5.70	5.38
1n2v	4.08	6.17
1n46	10.52	7.60
1nav	7.60	6.98
1of1	4.82	6.31
1of6	6.05	5.62
1opk	9.82	7.65
1oq5	7.68	6.55
1owe	6.20	6.70
1oyt	7.24	7.58
1p2y	5.00	5.19
1p62	4.66	6.02
1pmn	8.15	8.16
1q1g	8.57	6.80
1q41	7.66	6.22
1q4g	6.89	6.00
1r1h	8.92	6.31
1r55	6.80	5.92
1r58	6.96	6.58
1r9o	5.02	6.34
1s19	9.51	7.99
1s3v	7.42	7.04
1sg0	7.47	5.38
1sj0	9.10	6.94
1sq5	4.39	5.58
1sqn	9.40	6.95
1t40	7.96	6.62
1t46	6.38	7.77
1t9b	6.90	6.29
1tow	6.24	5.99
1tt1	7.19	5.96
1u1c	5.37	6.73
1uml	7.52	7.35
1unl	6.70	6.23
1uou	7.70	6.15
1v0p	6.89	6.82
1v48	8.16	6.01
1v4s	6.44	6.31
1vcj	4.59	6.21
1w1p	2.30	4.70
1w2g	4.57	5.64
1xm6	6.38	6.53
1xoq	9.17	7.65
1xoz	8.92	7.29
1y6b	7.42	7.62
1ygc	9.46	7.00
1yqy	7.62	6.43
1ywr	7.49	7.35
1z95	7.12	6.88
2bm2	7.82	6.96
2br1	5.14	6.86
2bsm	5.82	6.89
