PDB	Labels	Predictions
3m1k	5.39	4.78
6pgb	4.60	5.95
6fnt	4.68	5.55
5ap7	6.29	7.00
4alx	7.28	6.49
4jg7	6.92	6.79
5tuy	6.35	7.07
4u6r	7.85	7.70
6hky	9.34	6.26
1moq	3.46	5.48
3bkl	6.17	6.45
1uyg	4.27	5.98
4qyy	7.30	7.65
2rcw	8.10	7.61
5alg	7.52	7.40
5k0f	6.07	6.47
4x8v	6.89	7.50
2ei6	7.39	7.49
5j9f	7.23	6.82
6s9x	6.42	7.14
3sfh	7.05	6.52
1ett	5.89	7.07
3wym	9.52	8.24
4leq	6.54	6.50
2p8n	3.15	4.41
5aae	7.46	7.69
5teh	7.55	7.15
4mmm	3.82	4.46
3gt9	3.96	5.32
6ouv	5.55	5.86
6knh	3.55	4.78
3hwx	7.86	6.53
4w9x	7.40	7.21
4d8s	6.49	6.48
4p02	6.40	6.28
2ghg	8.82	7.85
5a3s	8.68	6.46
5ccl	4.77	6.04
4cwo	5.21	6.59
4ec0	6.07	6.78
6abk	1.95	5.52
6myn	7.85	8.17
5wr7	8.96	7.38
1o4d	3.52	3.75
3khv	1.85	4.10
3aas	4.51	5.12
6mjf	5.16	6.03
2j7e	7.32	6.77
5x73	6.74	6.25
6mmo	3.35	4.99
4g0z	2.21	4.35
1ai7	4.09	4.43
4fcb	8.54	8.23
1qj1	8.05	6.87
4u70	5.02	5.81
2p2h	7.17	7.21
4qpd	7.82	7.13
6fs1	7.01	7.25
3fhe	8.60	7.67
4hai	8.10	7.33
5jv0	5.96	6.69
6gcw	8.64	7.68
3f19	7.19	6.34
6q37	6.36	6.22
4hdc	8.92	7.41
5aia	5.20	6.10
5j20	9.14	7.84
5jfp	9.32	9.18
4bhi	7.05	6.00
3n3g	7.24	6.35
4klv	3.78	5.37
2r38	7.44	7.66
4l6s	8.52	7.51
1hk1	5.64	6.33
4zw7	4.72	6.38
2ha6	4.32	5.92
3s56	9.62	8.70
5i9x	7.52	7.80
2bxt	8.52	7.85
6pgx	9.21	6.68
5yea	8.30	7.22
3e6v	6.83	5.90
5oh3	3.87	5.22
4jnm	8.52	7.54
4w4y	6.46	7.02
6fba	4.70	4.82
5zfi	5.92	6.76
1o0o	5.10	5.38
5q0p	7.41	7.22
5xfj	8.22	7.23
6aej	6.15	6.15
5lvr	3.60	5.18
1hk3	6.59	6.76
5y0x	5.11	6.19
4p74	5.00	6.37
3hmm	7.60	6.83
1b74	1.30	4.44
3mj1	7.82	7.14
2c02	4.04	4.97
6fa5	6.75	5.62
5za2	5.77	6.23
6jz0	7.82	7.41
5j7q	4.58	5.12
3v4j	5.04	4.86
5o5a	4.77	5.93
5mxf	3.59	4.97
4gg5	9.03	8.11
5wf3	5.85	6.93
4kiq	7.64	7.24
4pin	5.40	5.81
4ei4	8.74	7.58
2nt7	6.52	7.15
5l6p	7.26	7.43
3oaw	8.15	7.22
4o55	5.30	6.14
2viz	6.22	7.39
5alu	7.66	7.09
1bm7	7.52	6.49
6dvm	8.52	7.50
3sb0	5.26	6.17
4ijq	7.52	5.71
4a4f	2.88	3.58
4hbv	4.64	4.98
3oy1	7.80	7.43
4xkb	6.10	5.89
3pd8	6.46	6.06
5kks	8.70	7.40
1ung	6.80	6.82
2o8h	7.60	7.16
4hxl	5.66	5.87
2cex	4.70	5.73
3vi5	5.68	5.96
3mrx	3.39	5.10
3mzc	6.65	7.27
4qtl	6.92	7.69
4di2	8.26	8.03
5nxw	7.24	7.68
5hzx	8.55	6.92
4ie5	4.82	5.31
4q7v	3.59	5.29
2q6c	7.78	7.82
6bhv	5.23	6.18
2ckm	8.82	8.29
4mk0	5.20	7.08
4r5t	6.10	6.66
1y2e	6.80	6.88
3iaf	2.92	5.68
6g2r	9.46	7.62
4zei	5.88	5.51
5h1t	3.80	5.24
4ona	8.15	7.61
5umy	6.97	6.79
5uga	6.79	7.21
2aod	5.66	7.10
5nuu	8.20	7.79
1lhg	7.10	7.14
3iod	4.10	5.76
5eak	9.30	8.24
2yex	10.00	6.80
6q54	6.49	6.32
5w6e	8.04	7.21
6i63	7.01	6.35
5f2k	6.16	5.54
2qcg	4.00	5.87
6fu5	7.50	7.80
4iif	5.18	5.94
4z0q	8.17	7.60
4x3u	5.09	5.71
6c8c	6.38	6.83
5u69	6.22	6.47
6c3u	5.40	6.39
3tzm	7.77	7.28
2ww2	4.85	5.20
4x0f	7.00	7.03
2xru	7.51	7.68
