PDB	Labels	Predictions
4fud	6.35	5.39
4fue	7.23	6.89
4fu7	6.20	5.84
4fu8	5.23	5.12
4fu9	6.20	6.12
4fub	6.21	6.49
4fuc	7.40	6.64
4fsm	7.62	6.53
4fsw	4.76	5.92
4ft5	7.56	7.72
4fsn	7.70	7.27
4fsz	6.97	6.28
4ft7	8.87	7.55
4ft0	7.11	6.89
4ft9	7.69	6.98
4fta	7.39	7.18
4ftc	7.63	6.59
4fsq	8.80	7.52
4fsr	7.94	7.64
4fst	8.28	7.75
4fw3	7.23	7.07
4fw4	8.08	6.52
4fw5	7.48	7.31
4fw6	7.70	7.23
4fw7	7.13	6.96
4fux	6.00	7.06
4fuy	6.09	7.31
4fv0	5.59	7.12
4fv1	7.08	7.75
4fv2	7.68	7.88
4fv3	7.74	7.57
4ev4	7.40	6.73
4fv5	7.70	7.98
4fv7	7.57	8.45
4fv8	7.82	7.72
4fv9	6.72	7.33
4fx3	8.07	6.57
4ek4	4.48	5.65
4ek5	6.09	5.83
4fkg	4.67	6.03
4fki	4.23	6.17
4ek6	6.04	6.76
4fjk	6.55	6.47
4ek8	7.11	6.61
3sw4	6.02	6.59
3sw7	6.64	7.11
4fko	6.11	6.97
4fkp	6.54	6.85
4fkq	6.28	6.62
4fkr	6.64	7.05
4fks	6.28	6.71
4fkt	5.97	7.09
4fku	7.01	5.81
4fkv	6.60	7.07
4fkw	7.33	7.16
