PDB	Labels	Predictions
10gs	6.40	6.55
1bcu	3.28	5.54
1e66	9.89	6.45
1f8b	5.40	6.09
1f8c	7.40	6.42
1f8d	3.40	6.06
1gpk	5.37	6.54
1h23	8.35	7.61
1hfs	8.70	7.86
1hnn	6.24	6.37
1lbk	3.18	5.32
1lol	6.39	5.20
1loq	3.70	5.30
1lor	11.06	5.64
1mq6	11.15	7.43
1n1m	5.70	5.98
1n2v	4.08	6.36
1nvq	8.25	7.45
1o3f	7.96	6.05
1o5b	5.77	5.83
1os0	6.03	7.13
1oyt	7.24	7.40
1p1q	4.89	5.87
1ps3	2.28	5.32
1r5y	6.46	5.79
1sqa	9.21	6.84
1u1b	7.80	4.45
1u33	4.60	5.08
1uto	2.27	3.68
1vso	4.72	5.48
1w4o	5.22	4.51
1xd0	7.12	5.70
1yc1	6.17	6.55
1z95	7.12	7.33
2brb	4.86	6.61
2cbj	8.27	6.00
2cet	8.02	7.04
2d1o	7.70	7.65
2fvd	8.52	7.64
2g70	7.77	6.30
2hb1	3.80	5.52
2iwx	6.68	6.52
2j62	11.34	6.60
2j78	6.42	5.78
2jdm	5.40	4.64
2jdu	6.72	4.71
2jdy	4.37	5.20
2obf	8.85	7.58
2ole	7.25	8.00
2p4y	9.00	7.13
2pq9	8.11	6.48
2qbp	8.40	7.11
2qbr	6.33	6.70
2qft	5.26	5.05
2v00	3.66	6.13
2v7a	8.30	7.49
2vl4	6.01	5.47
2vo5	4.89	6.26
2vot	7.14	6.41
2vvn	7.30	6.47
2vw5	8.52	6.69
2w66	4.05	5.27
2wbg	4.45	6.42
2wca	5.60	6.68
2weg	6.50	7.16
2wtv	8.74	8.14
2x00	11.33	7.47
2x0y	4.60	5.45
2x8z	7.96	6.53
2x97	5.66	6.88
2xb8	7.59	6.87
2xbv	8.43	7.52
2xdl	3.10	5.80
2xhm	6.80	6.98
2xnb	6.83	7.91
2xy9	9.19	7.77
2xys	7.42	6.78
2y5h	5.79	7.47
2yfe	6.63	6.33
2yge	5.06	6.41
2yki	9.46	6.62
2ymd	3.16	6.11
2zcq	8.82	6.76
2zcr	6.87	6.97
2zjw	7.70	5.98
2zwz	7.79	5.73
2zx6	10.60	7.03
2zxd	5.22	5.79
3acw	4.76	6.21
3ag9	8.05	6.40
3ao4	2.07	5.81
3b68	8.40	6.84
3bfu	6.27	5.62
3bkk	6.08	6.78
3cft	4.19	5.72
3coy	6.02	6.89
3cyx	8.00	7.83
3d4z	4.89	5.83
3dd0	9.00	7.42
3dxg	2.40	4.93
3e93	8.85	7.87
3ebp	5.91	6.87
3ehy	5.85	6.70
3ejr	8.57	6.46
3f17	8.63	6.61
3f3c	6.02	5.98
3f80	4.22	5.27
3fcq	2.77	4.84
3fk1	2.62	5.35
3fv1	9.30	7.28
3g0w	9.52	7.12
3g2n	4.09	5.26
3g2z	2.36	5.04
3gbb	6.90	7.14
3gcs	7.25	7.96
3ge7	8.70	6.81
3gy4	5.10	4.23
3huc	5.99	6.88
3i3b	2.23	5.08
3imc	2.96	4.39
3ivg	4.30	5.95
3jvs	6.54	6.47
3k5v	6.30	6.03
3kgp	2.57	4.25
3kv2	7.32	5.67
3kwa	4.08	5.49
3l3n	8.18	6.72
3l7b	2.40	5.48
3lka	2.82	5.05
3mfv	2.52	5.33
3mss	4.66	5.36
3muz	3.46	5.81
3myg	10.70	7.29
3n7a	3.70	5.24
3n86	5.64	6.66
3nox	8.66	7.66
3nq3	3.78	5.62
3nw9	9.00	7.07
3oe5	6.88	6.29
3owj	6.07	6.31
3ozt	4.13	5.94
3pe2	9.76	7.43
3pww	7.32	7.22
3pxf	4.43	5.41
3u9q	4.38	5.77
3udh	2.85	4.00
3ueu	5.24	5.96
3uex	6.92	6.52
3uo4	6.52	7.20
3utu	10.92	7.62
3vd4	4.82	5.13
3vh9	6.24	5.01
3zso	5.12	6.26
3zsx	3.28	4.98
4de1	5.96	5.68
4de2	4.12	6.47
4des	5.85	6.39
4dew	7.00	6.99
4djr	11.52	9.11
4djv	6.72	6.27
4g8m	7.89	6.12
4gid	10.77	7.69
4gqq	2.89	5.10
4tmn	10.17	6.86
