PDB	Labels	Predictions
1a8i	5.52	4.90
1a99	5.70	4.77
1ax0	3.13	5.52
1b6l	8.30	7.57
1b6m	8.40	7.80
1duv	11.80	6.13
1dy4	4.36	6.38
1e2k	4.94	6.62
1fcx	7.12	8.38
1g2k	7.96	8.07
1gj8	6.96	7.06
1gjd	5.22	6.98
1gpk	5.37	5.99
1gyy	3.64	4.51
1h22	9.10	7.68
1h23	8.35	7.56
1h46	3.57	6.16
1hnn	6.24	6.40
1iy7	6.19	7.57
1kzk	10.39	8.39
1lrh	6.82	5.65
1nc1	6.12	7.08
1nc3	5.00	5.76
1nli	3.59	4.30
1nw5	5.21	5.66
1ow4	5.68	6.40
1p1n	6.80	6.19
1p1o	5.76	5.27
1ps3	2.28	5.69
1pxp	6.66	7.01
1r5y	6.46	5.36
1s38	5.15	5.53
1s39	7.70	5.99
1sr7	10.10	7.87
1sw1	7.30	5.31
1syh	6.41	6.44
1syi	5.48	6.28
1toj	3.39	4.60
1tok	2.47	4.04
1u1w	5.85	4.68
1ua4	4.22	5.11
1ui0	7.06	4.08
1utm	3.01	3.82
1uwu	5.98	5.77
1uz1	6.89	5.86
1uz4	3.40	5.62
1v1j	4.82	5.78
1w2g	4.57	5.29
1x8d	2.21	4.76
1xge	4.68	4.75
1y1m	1.82	5.32
1y1z	3.08	4.96
1y20	5.32	4.89
1yc1	6.17	6.25
1ydk	5.89	6.12
1z95	7.12	7.09
2aac	2.22	4.62
2afx	5.15	5.05
2ayr	9.29	7.79
2azr	3.64	5.54
2b07	6.43	6.95
2boh	8.52	7.50
2boj	5.77	4.74
2brb	4.86	6.53
2bvd	6.00	6.05
2byr	8.55	7.63
2cji	8.22	7.38
2fai	6.24	7.33
2fdp	7.59	7.55
2ff1	8.21	6.00
2fpz	3.96	4.23
2fqt	6.14	5.60
2fqw	6.68	6.29
2fqx	7.15	6.08
2fqy	6.57	6.50
2fvd	8.52	7.41
2fw6	2.92	4.76
2fxu	8.15	7.02
2h6b	5.39	5.22
2hb1	3.80	5.04
2hdq	1.40	4.10
2hdr	1.72	5.42
2i0a	11.40	10.34
2i0d	12.10	10.03
2il2	7.10	7.68
2iwx	6.68	6.84
2j2u	7.05	7.24
2j34	7.82	7.46
2j4i	9.00	7.35
2j78	6.42	5.74
1bcj	3.70	4.22
1bky	3.84	4.71
1d4i	8.85	9.17
1d4j	8.36	8.62
1eby	9.70	8.50
1ebz	9.40	8.88
1ec0	8.49	8.92
1ec1	8.92	8.99
1ec2	10.00	8.04
1enu	5.08	5.38
1f74	3.05	5.39
1gi9	5.96	5.73
1gww	4.28	4.73
1gx0	4.28	5.41
1o5a	6.42	6.87
1o5r	8.12	6.97
1q4w	6.46	5.84
1qkt	9.04	7.83
1qxl	7.96	7.01
1rdi	2.06	3.80
1rdn	1.84	4.12
1tr7	6.82	5.42
2a3c	4.37	6.48
2fv5	10.52	7.62
2h21	6.54	6.63
2hd6	7.80	7.81
1xl5	7.35	8.33
1y93	2.10	4.20
4ubp	5.59	4.77
1lhw	8.16	7.66
1s9t	6.60	5.35
1tt1	7.19	6.43
1uzv	5.18	4.75
2dm5	2.99	5.64
1xw6	5.62	5.23
2qrk	4.26	5.47
2nn1	5.82	7.15
2pou	7.42	7.79
3cd0	7.57	7.68
3cda	7.58	7.80
