PDB	Labels	Predictions
1gm8	4.80	6.10
1gpk	5.37	6.33
1hnn	6.24	6.47
1hp0	6.70	6.12
1hq2	6.77	5.15
1hvy	6.17	6.67
1hwi	7.55	6.65
1hww	7.70	4.90
1ia1	7.47	6.12
1j3j	8.01	5.97
1jd0	8.24	7.21
1jje	8.43	5.92
1ke5	6.25	6.28
1kzk	10.40	8.18
1l2s	4.59	6.11
1l7f	9.10	7.31
1lpz	7.60	7.37
1lrh	6.82	4.95
1m2z	7.22	7.46
1mmv	7.24	4.69
1n1m	5.70	4.58
1n2v	4.08	4.75
1n46	10.52	7.20
1nav	7.60	7.49
1of1	4.82	6.40
1of6	6.05	5.19
1opk	9.82	7.74
1oq5	7.68	7.12
1owe	6.20	7.04
1oyt	7.24	7.32
1p2y	5.00	4.31
1p62	4.66	5.63
1pmn	8.15	8.16
1q1g	8.57	6.94
1q41	7.66	6.85
1q4g	6.89	5.81
1r1h	8.92	7.16
1r55	6.80	5.37
1r58	6.96	6.68
1r9o	5.02	5.14
1s19	9.51	7.21
1s3v	7.42	7.33
1sg0	7.47	5.19
1sj0	9.10	7.99
1sq5	4.39	4.98
1sqn	9.40	7.47
1t40	7.96	6.98
1t46	6.38	7.64
1t9b	6.90	6.28
1tow	6.24	5.90
1tt1	7.19	6.10
1u1c	5.37	6.10
1uml	7.52	7.58
1unl	6.70	7.28
1uou	7.70	5.75
1v0p	6.89	7.29
1v48	8.16	5.55
1v4s	6.44	6.68
1vcj	4.59	6.38
1w1p	2.30	4.27
1w2g	4.57	5.49
1xm6	6.38	5.79
1xoq	9.17	8.02
1xoz	8.92	6.86
1y6b	7.42	7.31
1ygc	9.46	7.64
1yqy	7.62	5.95
1ywr	7.49	7.32
1z95	7.12	7.43
2bm2	7.82	6.55
2br1	5.14	6.47
2bsm	5.82	6.93
