PDB	Labels	Predictions
1bcu	3.28	5.26
1bzc	4.92	6.35
1c5z	4.01	4.33
1e66	9.89	6.74
1eby	9.70	8.35
1g2k	7.96	9.15
1gpk	5.37	6.51
1gpn	6.48	6.60
1h22	9.10	7.46
1h23	8.35	7.61
1k1i	6.58	6.58
1lpg	7.09	7.71
1mq6	11.15	7.63
1nc1	6.12	6.87
1nc3	5.00	5.73
1nvq	8.25	7.65
1o0h	5.92	5.49
1o3f	7.96	6.36
1o5b	5.77	5.29
1owh	7.40	6.73
1oyt	7.24	7.51
1p1n	6.80	5.98
1p1q	4.89	5.90
1ps3	2.28	5.68
1pxn	7.15	7.24
1qf1	7.32	6.73
1qkt	9.04	7.49
1r5y	6.46	4.80
1s38	5.15	5.15
1sqa	9.21	7.15
1syi	5.44	6.58
1u1b	7.80	6.08
1uto	2.27	2.98
1vso	4.72	5.51
1w4o	5.22	4.53
1y6r	10.11	7.42
1yc1	6.17	6.41
1z6e	9.72	8.04
1z95	7.12	7.50
1z9g	5.64	5.93
2al5	8.40	6.62
2br1	5.14	6.52
2brb	4.86	6.23
2cbv	5.48	5.85
2cet	8.02	7.20
2fvd	8.52	7.32
2fxs	6.06	5.84
2hb1	3.80	5.13
2iwx	6.68	6.00
2j78	6.42	5.91
2j7h	7.19	5.72
2p15	10.30	7.83
2p4y	9.00	7.63
2pog	9.54	8.18
2qbp	8.40	6.44
2qbq	7.44	6.00
2qbr	6.33	5.90
2qe4	7.96	7.53
2qnq	6.11	6.93
2r9w	5.10	5.69
2v00	3.66	4.83
2v7a	8.30	7.78
2vkm	8.74	8.18
2vvn	7.30	6.91
2vw5	8.52	6.36
2w4x	4.85	4.83
2w66	4.05	5.65
2wbg	4.45	6.38
2wca	5.60	5.59
2weg	6.50	6.24
2wer	7.05	6.19
2wn9	8.52	5.82
2wnc	6.32	5.80
2wtv	8.74	8.11
2wvt	6.12	5.40
2x00	11.33	7.26
2xb8	7.59	6.13
2xbv	8.43	8.25
2xdl	3.10	5.55
2xii	7.20	7.04
2xj7	6.66	5.84
2xnb	6.83	7.65
2xys	7.42	6.92
2y5h	5.79	7.22
2yfe	6.63	6.87
2yge	5.06	6.11
2yki	9.46	7.16
2ymd	3.16	5.27
2zb1	6.32	7.06
2zcq	8.82	6.40
2zcr	6.87	6.78
2zda	8.40	7.36
2zy1	7.40	6.53
3acw	4.76	6.87
3ag9	8.05	6.80
3ao4	2.07	5.01
3arp	7.15	6.66
3arq	6.40	6.22
3aru	3.22	5.06
3arv	5.64	5.52
3ary	6.00	4.89
3b1m	8.48	7.35
3b27	5.16	5.50
3b5r	8.77	7.66
