PDB	Labels	Predictions
1a8i	5.52	5.22
1a99	5.70	5.20
1ax0	3.13	4.46
1b6l	8.30	7.51
1b6m	8.40	7.83
1duv	11.80	6.17
1dy4	4.36	6.44
1e2k	4.94	6.32
1fcx	7.12	7.77
1g2k	7.96	9.10
1gj8	6.96	6.83
1gjd	5.22	6.50
1gpk	5.37	6.51
1gyy	3.64	4.31
1h22	9.10	7.53
1h23	8.35	7.61
1h46	3.57	5.96
1hnn	6.24	6.49
1iy7	6.19	6.69
1kzk	10.39	8.03
1lrh	6.82	4.81
1nc1	6.12	6.87
1nc3	5.00	5.73
1nli	3.59	4.30
1nw5	5.21	5.57
1ow4	5.68	6.39
1p1n	6.80	5.98
1p1o	5.76	6.09
1ps3	2.28	5.68
1pxp	6.66	7.25
1r5y	6.46	5.10
1s38	5.15	5.16
1s39	7.70	4.94
1sr7	10.10	8.19
1sw1	7.30	5.18
1syh	6.41	6.39
1syi	5.48	6.58
1toj	3.39	4.28
1tok	2.47	3.59
1u1w	5.85	5.26
1ua4	4.22	5.62
1ui0	7.06	5.06
1utm	3.01	3.12
1uwu	5.98	5.81
1uz1	6.89	6.00
1uz4	3.40	5.38
1v1j	4.82	4.40
1w2g	4.57	5.57
1x8d	2.21	4.45
1xge	4.68	4.46
1y1m	1.82	5.24
1y1z	3.08	5.82
1y20	5.32	5.65
1yc1	6.17	6.41
1ydk	5.89	5.70
1z95	7.12	7.50
2aac	2.22	4.38
2afx	5.15	4.37
2ayr	9.29	8.06
2azr	3.64	5.37
2b07	6.43	6.58
2boh	8.52	8.00
2boj	5.77	3.52
2brb	4.86	6.25
2bvd	6.00	5.62
2byr	8.55	7.48
2cji	8.22	7.03
2fai	6.24	7.33
2fdp	7.59	7.72
2ff1	8.21	6.78
2fpz	3.96	4.35
2fqt	6.14	6.02
2fqw	6.68	6.56
2fqx	7.15	6.59
2fqy	6.57	6.29
2fvd	8.52	7.32
2fw6	2.92	4.29
2fxu	8.15	7.27
2h6b	5.39	5.00
2hb1	3.80	5.13
2hdq	1.40	4.18
2hdr	1.72	4.06
2i0a	11.40	10.28
2i0d	12.10	10.34
2il2	7.10	7.78
2iwx	6.68	6.00
2j2u	7.05	7.10
2j34	7.82	7.43
2j4i	9.00	7.69
2j78	6.42	5.84
1bcj	3.70	3.95
1bky	3.84	4.19
1d4i	8.85	8.31
1d4j	8.36	8.31
1eby	9.70	8.25
1ebz	9.40	8.22
1ec0	8.49	8.46
1ec1	8.92	8.14
1ec2	10.00	8.07
1enu	5.08	4.59
1f74	3.05	5.46
1gi9	5.96	5.90
1gww	4.28	5.26
1gx0	4.28	5.28
1o5a	6.42	6.35
1o5r	8.12	8.23
1q4w	6.46	4.41
1qkt	9.04	7.49
1qxl	7.96	7.74
1rdi	2.06	3.50
1rdn	1.84	3.41
1tr7	6.82	5.12
2a3c	4.37	5.98
2fv5	10.52	7.41
2h21	6.54	5.42
2hd6	7.80	7.61
1xl5	7.35	8.21
1y93	2.10	4.39
4ubp	5.59	4.78
1lhw	8.16	6.98
1s9t	6.60	6.19
1tt1	7.19	6.90
1uzv	5.18	3.85
2dm5	2.99	4.81
1xw6	5.62	5.67
2qrk	4.26	4.91
2nn1	5.82	6.59
2pou	7.42	7.71
3cd0	7.57	7.73
3cda	7.58	7.59
