PDB	Labels	Predictions
4fud	6.35	5.35
4fue	7.23	6.52
4fu7	6.20	6.01
4fu8	5.23	5.18
4fu9	6.20	6.75
4fub	6.21	6.16
4fuc	7.40	7.05
4fsm	7.62	6.63
4fsw	4.76	4.99
4ft5	7.56	6.95
4fsn	7.70	7.02
4fsz	6.97	5.43
4ft7	8.87	7.42
4ft0	7.11	6.51
4ft9	7.69	6.65
4fta	7.39	6.78
4ftc	7.63	6.52
4fsq	8.80	7.04
4fsr	7.94	7.31
4fst	8.28	6.93
4fw3	7.23	6.80
4fw4	8.08	6.65
4fw5	7.48	6.95
4fw6	7.70	6.90
4fw7	7.13	6.90
4fux	6.00	6.94
4fuy	6.09	7.13
4fv0	5.59	6.79
4fv1	7.08	7.82
4fv2	7.68	7.41
4fv3	7.74	7.81
4ev4	7.40	6.30
4fv5	7.70	7.74
4fv7	7.57	7.70
4fv8	7.82	8.20
4fv9	6.72	7.23
4fx3	8.07	6.36
4ek4	4.48	5.44
4ek5	6.09	6.49
4fkg	4.67	6.22
4fki	4.23	6.50
4ek6	6.04	6.64
4fjk	6.55	5.01
4ek8	7.11	6.91
3sw4	6.02	6.98
3sw7	6.64	6.97
4fko	6.11	6.91
4fkp	6.54	6.68
4fkq	6.28	6.69
4fkr	6.64	7.19
4fks	6.28	7.47
4fkt	5.97	6.77
4fku	7.01	4.56
4fkv	6.60	7.72
4fkw	7.33	7.00
