PDB	Labels	Predictions
6pgb	4.60	5.15
3rz1	8.74	8.59
6fnt	4.68	4.77
4ww8	10.17	9.03
5u6d	8.59	7.90
5ap7	6.29	6.71
4alx	7.28	6.80
4jg7	6.92	7.10
6hky	9.34	8.31
1moq	3.46	4.59
1uyg	4.27	5.54
4qyy	7.30	7.63
2rcw	8.10	7.44
5k0f	6.07	6.16
4x8v	6.89	7.07
5wev	6.82	6.84
2ei6	7.39	7.29
2xkd	5.64	6.22
6s9x	6.42	7.10
6nlj	4.82	4.64
6ugq	7.55	7.00
3hvk	8.52	8.26
3wym	9.52	8.63
4leq	6.54	6.77
3iej	6.66	7.05
2k0g	6.97	6.42
5teh	7.55	7.45
5xij	7.30	6.83
4mmm	3.82	4.16
6knh	3.55	3.60
3hwx	7.86	7.01
4w9x	7.40	7.24
2wkt	4.31	4.77
4uv8	6.47	6.07
4d8s	6.49	6.12
4p02	6.40	6.32
2ghg	8.82	8.11
3udd	7.10	7.06
5ccl	4.77	5.21
4cwo	5.21	6.06
4i7l	3.99	4.26
4ec0	6.07	6.45
6myn	7.85	7.93
5wr7	8.96	8.51
1o4d	3.52	3.86
3khv	1.85	2.72
1pf8	7.51	7.05
2j7e	7.32	6.72
5x73	6.74	6.78
5wip	4.71	4.74
6mmo	3.35	4.37
4g0z	2.21	3.10
2kaw	4.97	5.01
6nfg	4.11	4.88
1ai7	4.09	4.34
6skd	5.80	6.07
1qj1	8.05	7.90
1qhr	6.89	6.47
4u70	5.02	5.14
2p83	7.96	8.02
2p2h	7.17	7.52
4qpd	7.82	7.12
6fs1	7.01	7.17
5eob	9.62	8.84
4hai	8.10	7.63
6gjl	3.86	4.44
6gcw	8.64	8.42
3f19	7.19	6.95
6q37	6.36	6.08
4hdc	8.92	8.28
5aia	5.20	5.39
5j20	9.14	8.29
5ny1	6.44	7.27
5jfp	9.32	9.62
3n3g	7.24	6.37
5swh	7.59	7.45
4tpm	8.62	8.16
1xbc	7.92	7.93
2r38	7.44	7.09
4l6s	8.52	7.81
3r0y	4.84	5.55
1hk1	5.64	6.44
4zw7	4.72	5.85
3dkj	5.70	5.77
2ha6	4.32	4.88
3s56	9.62	8.87
5i9x	7.52	7.66
2bxt	8.52	8.47
3e6v	6.83	6.06
6ey7	4.30	4.31
6g3c	6.91	7.30
5oh3	3.87	4.21
4jnm	8.52	8.08
6fba	4.70	4.78
5zfi	5.92	6.78
1o0o	5.10	4.89
2xp5	3.44	4.02
6cvf	6.35	5.88
5xfj	8.22	7.86
6aej	6.15	6.41
5lvr	3.60	3.94
4ded	7.42	7.14
4p74	5.00	5.71
1b74	1.30	3.25
4ruz	7.64	7.28
4tpw	4.69	4.82
2c02	4.04	4.33
5za2	5.77	6.13
5tol	7.48	7.37
6jz0	7.82	7.78
5j7q	4.58	4.99
5mxf	3.59	3.67
2brg	5.21	5.85
4gg5	9.03	8.64
5wf3	5.85	6.19
3mhl	7.25	7.07
4kiq	7.64	7.53
4pin	5.40	5.22
3zxh	8.52	7.61
2nt7	6.52	7.00
5l6p	7.26	7.15
4uiu	7.90	7.36
3oaw	8.15	7.56
3dnt	4.74	4.87
4o55	5.30	5.88
1bm7	7.52	6.66
6dvm	8.52	7.68
3ihz	6.80	7.26
4hbv	4.64	4.44
3oy1	7.80	7.64
5jcj	4.42	4.92
5kks	8.70	8.34
1ung	6.80	6.48
2o8h	7.60	7.35
2cex	4.70	4.96
3vi5	5.68	6.07
4r92	7.41	7.23
3mrx	3.39	4.40
3mzc	6.65	7.12
4di2	8.26	8.11
5nxw	7.24	7.56
4ie5	4.82	5.07
4q7v	3.59	3.68
6bhv	5.23	5.35
4mk0	5.20	6.13
4r5t	6.10	6.41
3iaf	2.92	4.55
6g2r	9.46	8.37
4d83	7.26	7.33
4zei	5.88	5.61
5h1t	3.80	3.88
5q0u	6.76	7.46
2gh6	4.95	5.20
4ona	8.15	7.86
5umy	6.97	7.02
5uga	6.79	7.39
2aod	5.66	6.00
5nuu	8.20	7.69
6dgo	5.47	6.15
1lhg	7.10	7.18
3iod	4.10	5.56
2yex	10.00	8.28
6q54	6.49	6.11
5w6e	8.04	7.70
6i63	7.01	6.71
5f2k	6.16	5.76
2qcg	4.00	4.37
6fu5	7.50	7.45
4o3f	5.56	5.84
5khi	6.77	6.14
3kqy	4.82	4.72
4z0q	8.17	8.03
6c8c	6.38	7.05
5u69	6.22	6.37
6c3u	5.40	5.52
2cmc	5.76	6.06
2ww2	4.85	4.94
4x0f	7.00	6.68
2xru	7.51	7.59
6gnr	5.44	5.33
4cc6	6.64	6.83
3uvq	7.77	7.77
5zo8	8.20	7.87
5am4	6.95	6.93
5mi9	8.35	6.92
6j06	6.59	6.11
6rfi	7.43	7.50
3f3u	4.74	6.21
2fwy	6.70	6.99
3ipb	6.70	7.24
6fe0	6.48	6.80
5kh3	4.22	4.18
1w1d	6.52	6.26
2xgo	3.00	4.22
3n0n	7.30	7.38
5ak4	4.23	4.38
6f6s	2.89	3.64
5tq4	8.38	7.10
4tmr	7.22	7.50
4o05	7.43	7.42
2qi7	10.21	9.41
6mmc	3.61	4.80
3d4q	10.52	9.06
4xx4	7.36	7.43
5fqv	6.21	6.84
6fsy	6.61	6.38
1v2l	4.29	4.15
2oz6	5.26	5.10
4hyh	9.00	8.43
2x52	4.24	5.01
2w7x	7.62	7.88
5t19	4.49	5.39
5buj	8.30	7.84
4pb2	4.80	4.70
3qd3	8.00	8.04
1w1y	2.62	4.56
6n0j	5.37	6.21
4cwf	4.49	4.83
4nh8	8.52	7.96
5n53	2.55	3.46
5q0q	6.11	6.87
4rfd	8.05	7.80
2wi6	6.64	6.81
6cpw	8.25	8.20
2x2l	5.28	5.60
5alw	5.15	5.79
5du6	5.02	5.91
4pid	4.62	4.74
2ou7	3.81	4.04
2w97	0.96	2.41
1f5l	5.28	5.27
3vru	10.00	9.07
5toz	9.46	8.10
5tg4	3.32	4.27
3f8w	4.08	4.88
3fuh	2.70	3.44
4qyg	8.39	7.83
5h9r	6.08	5.94
2f81	10.52	9.75
5yfs	4.86	5.22
2zm3	6.21	6.41
5tob	8.82	8.39
4l0s	6.84	6.79
3pb9	6.58	5.25
5ckr	7.76	7.49
3lbj	4.96	6.05
4i6f	8.30	7.97
6j8r	6.12	5.37
4a4l	7.82	7.99
5ct1	1.52	2.94
4lbu	6.56	6.92
5kls	6.71	6.25
4dbn	8.15	7.98
4k7o	4.30	4.52
5khx	7.85	6.97
4wp7	6.10	6.93
6o5u	4.38	4.79
5ei8	8.10	8.16
3btc	5.75	6.10
5sz9	4.42	5.50
4n7j	5.47	5.12
5g5f	5.28	5.54
1qj7	8.10	7.95
1r5n	5.42	5.71
3eax	4.92	5.43
2fr3	8.70	7.45
3sk2	3.61	4.64
6udt	10.00	9.18
5hk2	8.59	7.97
5uqx	6.21	6.63
2qch	3.60	4.30
3dcv	8.52	7.40
4jz1	6.70	7.34
4w9e	5.15	5.45
4cpt	7.70	7.76
6p3v	7.02	6.86
6eq8	8.00	6.99
2ie4	10.00	8.65
3ehx	7.60	7.06
2j87	4.85	5.13
2i47	8.66	7.52
2ybt	4.70	5.77
4g3e	8.38	8.23
4n7m	5.47	5.17
4bcb	8.52	8.13
6d1m	8.20	8.04
1v2q	4.13	4.59
6hcu	7.82	7.23
5sz4	9.70	8.70
4db7	6.56	5.78
4nb6	7.22	7.12
4hwo	8.54	8.25
3zmh	5.28	5.70
5j71	6.96	6.76
5jal	2.47	3.17
5moo	1.31	1.78
3q77	8.22	7.71
4nue	6.82	6.29
5op6	4.68	5.58
2wzs	3.85	4.49
3cjf	8.20	7.49
4fpf	4.41	4.78
5dri	7.70	6.90
5zdg	5.42	5.58
6ela	7.59	7.10
5e2m	7.23	7.43
3el1	9.64	9.04
6hkn	7.29	7.51
6ovz	3.85	4.25
2os9	2.24	2.58
2on6	6.76	6.94
5vfn	3.52	4.08
2pe0	7.10	6.55
3txo	8.05	7.66
6fmn	5.95	6.26
5e8r	8.70	7.47
4na7	9.70	8.92
2glp	5.01	5.61
2i4p	5.70	6.07
3k5f	5.43	6.44
3g2l	3.87	5.05
2oax	8.65	7.97
4yl0	8.22	7.00
5ehp	4.92	5.92
3n2v	7.51	7.17
2pym	6.82	7.53
5ekm	6.32	6.89
1uwf	6.82	6.57
3qqu	8.62	8.16
5mwp	7.50	7.64
3bjc	6.96	6.69
5nud	7.49	6.67
6hzu	8.26	8.28
2vk6	5.30	5.40
4xtm	4.57	4.91
2qmf	8.52	8.25
5am1	8.52	7.93
4xct	8.17	7.42
1utj	3.84	3.40
1usn	7.74	7.17
5uuu	7.74	7.69
5lz4	5.70	6.06
3ucj	6.00	6.26
3as3	3.80	4.02
1ylv	2.70	3.85
1yc4	6.55	6.58
4xya	5.86	5.73
1ym1	6.24	6.69
6e6v	7.77	6.22
4hww	6.65	6.42
5llp	9.24	8.56
4eh2	3.16	4.00
6ft3	6.42	5.83
3arr	5.40	5.22
5llc	9.52	8.46
3qvu	3.55	3.87
4btm	5.39	5.96
2aia	5.41	5.80
4joo	4.43	4.91
4yas	3.41	4.27
1z71	9.18	8.81
3ti6	9.27	8.52
4ayv	9.17	8.78
2onc	7.89	7.64
4qsw	1.68	3.09
6o9x	6.05	6.19
6p8z	4.70	5.98
3f39	1.78	2.59
3h3c	6.85	7.17
6c0r	7.51	7.66
