PDB	Labels	Predictions
1gm8	4.80	6.27
1gpk	5.37	6.48
1hnn	6.24	5.07
1hp0	6.70	5.38
1hq2	6.77	5.25
1hvy	6.17	7.17
1hwi	7.55	6.12
1hww	7.70	4.81
1ia1	7.47	6.39
1j3j	8.01	5.85
1jd0	8.24	5.22
1jje	8.43	6.19
1ke5	6.25	6.62
1kzk	10.40	8.16
1l2s	4.59	4.70
1l7f	9.10	5.97
1lpz	7.60	7.22
1lrh	6.82	5.35
1m2z	7.22	7.11
1mmv	7.24	4.96
1n1m	5.70	4.29
1n2v	4.08	5.36
1n46	10.52	7.14
1nav	7.60	6.38
1of1	4.82	5.46
1of6	6.05	4.87
1opk	9.82	7.35
1oq5	7.68	6.27
1owe	6.20	6.67
1oyt	7.24	7.09
1p2y	5.00	5.52
1p62	4.66	4.98
1pmn	8.15	7.45
1q1g	8.57	6.28
1q41	7.66	7.35
1q4g	6.89	5.65
1r1h	8.92	6.62
1r55	6.80	5.83
1r58	6.96	6.32
1r9o	5.02	6.08
1s19	9.51	7.41
1s3v	7.42	6.82
1sg0	7.47	5.85
1sj0	9.10	7.61
1sq5	4.39	5.07
1sqn	9.40	7.27
1t40	7.96	6.90
1t46	6.38	7.87
1t9b	6.90	5.34
1tow	6.24	6.07
1tt1	7.19	5.01
1u1c	5.37	5.66
1uml	7.52	7.42
1unl	6.70	6.87
1uou	7.70	4.96
1v0p	6.89	7.05
1v48	8.16	5.21
1v4s	6.44	5.49
1vcj	4.59	6.60
1w1p	2.30	4.95
1w2g	4.57	5.04
1xm6	6.38	5.33
1xoq	9.17	7.49
1xoz	8.92	7.46
1y6b	7.42	7.07
1ygc	9.46	6.82
1yqy	7.62	6.50
1ywr	7.49	8.07
1z95	7.12	6.60
2bm2	7.82	6.71
2br1	5.14	6.55
2bsm	5.82	6.90
