PDB	Labels	Predictions
3m1k	5.39	4.73
6pgb	4.60	5.29
6fnt	4.68	4.86
5ap7	6.29	6.56
4alx	7.28	6.93
4jg7	6.92	6.77
5tuy	6.35	6.60
4u6r	7.85	7.68
6hky	9.34	8.71
1moq	3.46	4.01
3bkl	6.17	6.58
1uyg	4.27	4.88
4qyy	7.30	7.44
2rcw	8.10	7.87
5alg	7.52	7.34
5k0f	6.07	6.22
4x8v	6.89	7.21
2ei6	7.39	7.62
5j9f	7.23	7.35
6s9x	6.42	6.77
3sfh	7.05	6.74
1ett	5.89	6.11
3wym	9.52	9.03
4leq	6.54	6.60
2p8n	3.15	3.53
5aae	7.46	7.48
5teh	7.55	7.54
4mmm	3.82	4.21
3gt9	3.96	4.80
6ouv	5.55	6.50
6knh	3.55	3.80
3hwx	7.86	7.14
4w9x	7.40	7.42
4d8s	6.49	6.16
4p02	6.40	6.09
2ghg	8.82	8.17
5a3s	8.68	7.97
5ccl	4.77	5.29
4cwo	5.21	5.64
4ec0	6.07	6.33
6abk	1.95	2.64
6myn	7.85	7.65
5wr7	8.96	8.37
1o4d	3.52	3.77
3khv	1.85	2.50
3aas	4.51	4.70
6mjf	5.16	5.39
2j7e	7.32	6.91
5x73	6.74	6.86
6mmo	3.35	3.77
4g0z	2.21	3.61
1ai7	4.09	3.84
4fcb	8.54	8.42
1qj1	8.05	7.66
4u70	5.02	5.05
2p2h	7.17	7.44
4qpd	7.82	7.63
6fs1	7.01	7.15
3fhe	8.60	7.79
4hai	8.10	7.79
5jv0	5.96	6.01
6gcw	8.64	8.51
3f19	7.19	7.20
6q37	6.36	6.11
4hdc	8.92	8.88
5aia	5.20	5.44
5j20	9.14	8.65
5jfp	9.32	9.58
4bhi	7.05	6.05
3n3g	7.24	7.12
4klv	3.78	3.92
2r38	7.44	7.16
4l6s	8.52	7.80
1hk1	5.64	6.34
4zw7	4.72	5.33
2ha6	4.32	4.38
3s56	9.62	9.32
5i9x	7.52	7.77
2bxt	8.52	8.19
6pgx	9.21	8.28
5yea	8.30	7.78
3e6v	6.83	6.60
5oh3	3.87	4.00
4jnm	8.52	7.96
4w4y	6.46	6.75
6fba	4.70	4.64
5zfi	5.92	6.43
1o0o	5.10	4.66
5q0p	7.41	7.24
5xfj	8.22	8.18
6aej	6.15	6.06
5lvr	3.60	4.07
1hk3	6.59	6.34
5y0x	5.11	5.57
4p74	5.00	5.15
3hmm	7.60	7.59
1b74	1.30	2.17
3mj1	7.82	7.63
2c02	4.04	4.49
6fa5	6.75	6.25
5za2	5.77	5.94
6jz0	7.82	7.77
5j7q	4.58	4.71
3v4j	5.04	4.91
5o5a	4.77	5.81
5mxf	3.59	3.51
4gg5	9.03	8.61
5wf3	5.85	6.08
4kiq	7.64	7.71
4pin	5.40	5.17
4ei4	8.74	8.33
2nt7	6.52	6.84
5l6p	7.26	7.13
3oaw	8.15	7.53
4o55	5.30	5.77
2viz	6.22	6.81
5alu	7.66	7.61
1bm7	7.52	6.86
6dvm	8.52	8.06
3sb0	5.26	5.30
4ijq	7.52	7.14
4a4f	2.88	3.01
4hbv	4.64	4.65
3oy1	7.80	7.51
4xkb	6.10	6.64
3pd8	6.46	6.28
5kks	8.70	8.25
1ung	6.80	6.53
2o8h	7.60	7.53
4hxl	5.66	6.02
2cex	4.70	4.73
3vi5	5.68	5.99
3mrx	3.39	3.89
3mzc	6.65	6.94
4qtl	6.92	7.19
4di2	8.26	7.97
5nxw	7.24	7.16
5hzx	8.55	8.10
4ie5	4.82	4.88
4q7v	3.59	3.74
2q6c	7.78	7.74
6bhv	5.23	5.41
2ckm	8.82	8.32
4mk0	5.20	5.81
4r5t	6.10	6.02
1y2e	6.80	6.74
3iaf	2.92	4.15
6g2r	9.46	8.75
4zei	5.88	5.58
5h1t	3.80	4.15
4ona	8.15	8.04
5umy	6.97	6.76
5uga	6.79	7.14
2aod	5.66	6.17
5nuu	8.20	7.91
1lhg	7.10	7.53
3iod	4.10	4.77
5eak	9.30	8.84
2yex	10.00	9.17
6q54	6.49	6.18
5w6e	8.04	7.63
6i63	7.01	6.97
5f2k	6.16	5.87
2qcg	4.00	3.97
6fu5	7.50	7.62
4iif	5.18	5.11
4z0q	8.17	7.91
4x3u	5.09	5.38
6c8c	6.38	6.77
5u69	6.22	6.55
6c3u	5.40	5.66
3tzm	7.77	7.38
2ww2	4.85	4.77
4x0f	7.00	6.84
2xru	7.51	7.52
3abu	5.62	5.61
6gnr	5.44	5.76
4n00	8.02	7.83
4cc6	6.64	6.73
3uvq	7.77	7.53
5zo8	8.20	8.01
2v12	9.05	8.57
5am4	6.95	6.80
6j06	6.59	6.14
6rfi	7.43	7.68
4yne	8.52	8.11
5fck	8.22	7.83
5fut	6.45	6.66
4bb4	6.72	6.88
3ipb	6.70	6.64
1w1d	6.52	6.35
2xgo	3.00	3.64
5ak4	4.23	4.50
3q3t	7.43	7.54
6pid	4.54	5.10
1j37	8.96	7.74
6f6s	2.89	3.97
5tq4	8.38	7.53
5ehv	3.08	4.16
4tmr	7.22	7.03
2qi7	10.21	10.17
6mmc	3.61	4.00
4cix	4.47	4.72
5aqt	3.51	4.22
6fsy	6.61	6.39
3t6y	5.52	5.83
1v2l	4.29	4.26
4hyh	9.00	8.39
2x52	4.24	4.94
6m8a	5.26	5.22
2w7x	7.62	8.01
5buj	8.30	8.09
4pb2	4.80	4.60
3qd3	8.00	7.89
1w1y	2.62	3.90
5mys	4.30	4.85
6n0j	5.37	6.05
4nh8	8.52	8.01
5n53	2.55	3.22
4rfd	8.05	7.82
1aw1	1.05	2.32
4e3d	2.30	3.41
4eqc	8.10	7.92
6gcr	8.33	8.27
6cpw	8.25	8.06
2x2l	5.28	5.73
3c4h	5.70	5.66
5du6	5.02	5.78
4pid	4.62	4.64
4djq	10.32	10.02
3ljg	7.73	7.67
6iez	6.52	6.41
2w97	0.96	2.01
3djq	2.98	4.04
1f5l	5.28	5.28
3vru	10.00	9.60
5toz	9.46	8.54
5tg4	3.32	3.85
3fuh	2.70	2.88
4r5v	6.15	6.06
5l8c	7.00	6.97
5h9r	6.08	5.65
2f81	10.52	10.37
2xyd	6.82	6.87
4l0s	6.84	6.73
3vbq	9.33	8.69
5ckr	7.76	7.13
4euv	6.30	5.74
3lbj	4.96	5.77
6j8r	6.12	5.77
4mwc	5.87	6.11
3e6k	5.15	5.59
2g9q	6.40	5.68
5ct1	1.52	3.08
4lbu	6.56	6.63
4nah	6.31	6.43
5kls	6.71	6.48
4bt3	3.12	3.27
1g9s	3.61	3.97
1o46	8.00	8.01
4k7o	4.30	4.33
6o5u	4.38	4.75
6gjw	4.96	5.62
5dx4	6.86	6.66
4mp2	5.45	5.71
4yih	4.66	5.36
3f36	2.89	3.28
5ei8	8.10	7.92
6nzh	8.80	8.57
3btc	5.75	5.78
5qas	3.72	4.45
5g5f	5.28	4.95
3omm	7.43	7.51
1r5n	5.42	5.44
3eax	4.92	5.65
2fr3	8.70	8.32
4py2	6.57	6.50
3sk2	3.61	4.61
3eor	1.40	2.71
5hk2	8.59	7.89
5uqx	6.21	6.41
3dcv	8.52	7.74
4h3a	6.29	6.18
3py0	6.89	6.84
4l7d	6.12	6.37
4jz1	6.70	6.94
4w9e	5.15	5.34
3fi3	7.92	7.80
2y2k	5.16	5.01
4cpt	7.70	7.87
6p3v	7.02	6.67
6aa4	6.33	6.39
6eq8	8.00	6.98
1y2f	4.92	5.80
4lkt	5.90	6.03
5dh4	7.24	6.73
1bnm	10.00	9.13
6hqy	6.44	6.41
2i47	8.66	8.24
4w9o	7.77	7.56
4g3e	8.38	7.94
4n7m	5.47	5.52
4bcb	8.52	8.10
6d1m	8.20	7.95
1v2q	4.13	4.60
6hcu	7.82	7.62
3bl1	5.60	6.40
4hwo	8.54	8.12
2xfj	7.89	7.64
5jal	2.47	3.05
5moo	1.31	1.72
5op6	4.68	5.42
2wzs	3.85	4.92
3cjf	8.20	7.84
5tys	10.72	10.09
5zdg	5.42	5.40
6ela	7.59	7.14
5e2m	7.23	7.16
2on6	6.76	7.21
3txo	8.05	8.06
6fmn	5.95	6.06
4na7	9.70	8.96
2glp	5.01	5.05
2i4p	5.70	5.95
3k5f	5.43	5.82
3g2l	3.87	4.39
5he3	6.55	7.01
4muf	6.34	6.30
2oax	8.65	8.30
4yl0	8.22	7.57
2pym	6.82	7.49
4l2l	5.70	5.63
5ekm	6.32	6.64
1uwf	6.82	6.51
3qqu	8.62	8.30
5mwp	7.50	7.75
3bjc	6.96	7.20
5clm	7.36	7.26
5nud	7.49	6.65
6hzu	8.26	8.09
2vk6	5.30	5.12
4xtm	4.57	5.38
2qmf	8.52	8.24
5am1	8.52	8.03
4xct	8.17	7.80
1utj	3.84	3.83
1usn	7.74	7.20
5uuu	7.74	7.73
5lz4	5.70	6.02
4avu	7.85	7.42
3ucj	6.00	5.83
4pkr	4.82	5.23
6bfe	5.85	6.10
1ylv	2.70	3.16
1yc4	6.55	6.53
4xya	5.86	5.95
1ym1	6.24	7.65
6e6v	7.77	6.61
5llp	9.24	8.86
4awq	6.32	6.71
5inh	6.00	5.91
6h4s	7.42	7.27
6ft3	6.42	6.31
3arr	5.40	5.09
5llc	9.52	8.84
3qvu	3.55	3.86
2v10	9.40	8.83
6dh7	9.88	10.20
3frg	8.40	8.06
4btm	5.39	5.57
4joo	4.43	5.04
1err	8.11	8.34
1z71	9.18	8.92
3ti6	9.27	8.36
5nwh	7.54	7.19
6npv	6.80	6.87
4ui7	7.36	7.23
4ayv	9.17	8.66
2onc	7.89	7.72
6p8z	4.70	5.71
2jh0	8.70	8.26
3f39	1.78	2.42
3h3c	6.85	7.06
5mnb	2.48	2.56
6c0r	7.51	7.66
1w12	7.85	7.75
3g08	8.16	7.73
5nw7	5.77	5.49
4qip	5.15	5.35
4jq7	6.41	6.72
3s8x	7.30	7.22
6g4n	5.64	6.13
2o64	6.47	6.18
4o0z	7.24	7.32
6e6j	8.10	7.84
3pwd	6.66	6.41
5dhu	6.30	6.09
4xv9	6.72	6.92
2b8v	7.01	7.08
6mo8	5.84	6.11
6ckr	7.30	7.15
5gn6	6.92	6.30
6jdl	4.89	5.03
6q60	5.71	5.63
2wjg	7.10	6.55
2ha4	2.70	3.01
5zdb	5.75	5.57
1xn0	6.24	6.48
3h2f	4.06	4.40
3a2c	6.90	6.75
5ehe	8.32	8.15
4erw	8.15	8.10
6j3p	6.98	7.06
5nwz	9.10	8.57
1rri	5.82	5.66
6cjh	5.42	5.84
5y8w	6.64	6.69
6eks	3.84	5.98
1uyk	4.77	5.12
3drp	9.70	9.16
3t4h	5.28	5.42
3t60	6.70	6.80
3l6h	5.40	5.29
3ahn	7.05	7.14
4w9g	5.26	5.46
4jsc	7.13	7.18
4ura	5.50	5.05
5qad	3.77	3.78
3mz3	7.83	6.97
5kbq	7.00	7.39
2uxx	3.30	4.14
2ihq	8.49	7.85
5tfx	7.22	7.07
1wxz	8.07	7.85
5d24	5.24	5.66
4qge	9.30	8.82
2wsx	2.41	3.39
5knt	4.43	5.07
1zoe	7.40	7.13
3qi1	7.66	7.63
5d26	6.09	6.17
2oht	5.04	5.24
2pfy	6.52	5.84
1pmu	6.23	6.43
6b3v	9.69	8.77
5o4z	6.07	6.07
4ipj	4.87	4.73
