PDB	Labels	Predictions
4ypw	5.50	5.47
4ypx	4.60	4.01
4ypy	3.80	4.40
4ypz	3.50	4.25
4yq0	4.40	4.65
4yq1	8.30	6.94
4yq2	8.30	7.03
4yq3	6.80	6.92
4yq4	5.70	5.44
4yq5	5.40	5.88
4yq6	6.10	5.49
4yq7	5.20	5.77
4yq8	5.10	4.74
4yq9	6.70	4.86
4yqa	6.30	4.90
4yqb	5.90	5.60
4yqc	6.70	4.88
4yqd	5.10	6.99
4yqg	5.70	4.35
4yqi	4.80	5.51
4yqj	6.20	4.80
4yqk	4.70	5.21
4yql	4.80	5.74
4yqn	5.80	5.03
4yqo	6.30	6.39
4yqp	5.70	6.87
4yqq	6.10	6.71
4yqr	4.00	5.43
4yqs	5.60	4.50
4yqt	6.10	4.73
4yjo	7.90	6.88
4yjp	8.46	6.85
4yjq	7.95	7.71
4yjr	7.69	7.92
4yjs	9.39	6.85
4yjt	8.79	7.52
4yju	7.94	7.39
4yjv	8.55	8.06
4ykr	7.53	6.65
4ykq	7.61	6.47
4ykt	8.28	6.66
4ykw	7.02	5.90
4ykx	5.56	5.65
4ykz	5.06	6.01
4yky	4.30	5.77
4yku	5.12	4.91
