PDB	Labels	Predictions
10gs	6.40	7.09
1bcu	3.28	6.18
1e66	9.89	6.69
1f8b	5.40	4.72
1f8c	7.40	5.95
1f8d	3.40	4.87
1gpk	5.37	6.13
1h23	8.35	7.02
1hfs	8.70	7.92
1hnn	6.24	6.58
1lbk	3.18	4.62
1lol	6.39	4.93
1loq	3.70	3.61
1lor	11.06	8.66
1mq6	11.15	7.37
1n1m	5.70	4.98
1n2v	4.08	4.80
1nvq	8.25	7.81
1o3f	7.96	5.76
1o5b	5.77	5.46
1os0	6.03	7.19
1oyt	7.24	7.14
1p1q	4.89	5.77
1ps3	2.28	4.47
1r5y	6.46	5.06
1sqa	9.21	7.38
1u1b	7.80	5.82
1u33	4.60	5.78
1uto	2.27	3.14
1vso	4.72	5.86
1w4o	5.22	4.41
1xd0	7.12	6.08
1yc1	6.17	5.85
1z95	7.12	7.94
2brb	4.86	6.11
2cbj	8.27	6.73
2cet	8.02	6.49
2d1o	7.70	7.56
2fvd	8.52	7.12
2g70	7.77	4.61
2hb1	3.80	4.83
2iwx	6.68	6.18
2j62	11.34	8.00
2j78	6.42	5.00
2jdm	5.40	4.44
2jdu	6.72	4.00
2jdy	4.37	4.00
2obf	8.85	7.20
2ole	7.25	6.89
2p4y	9.00	6.12
2pq9	8.11	6.17
2qbp	8.40	6.30
2qbr	6.33	6.39
2qft	5.26	5.25
2v00	3.66	5.23
2v7a	8.30	7.67
2vl4	6.01	6.45
2vo5	4.89	5.85
2vot	7.14	6.95
2vvn	7.30	7.00
2vw5	8.52	6.49
2w66	4.05	5.90
2wbg	4.45	5.72
2wca	5.60	6.18
2weg	6.50	6.54
2wtv	8.74	8.05
2x00	11.33	7.26
2x0y	4.60	4.75
2x8z	7.96	7.05
2x97	5.66	7.39
2xb8	7.59	6.34
2xbv	8.43	7.77
2xdl	3.10	5.09
2xhm	6.80	6.31
2xnb	6.83	7.16
2xy9	9.19	6.94
2xys	7.42	7.13
2y5h	5.79	7.67
2yfe	6.63	6.48
2yge	5.06	6.07
2yki	9.46	6.89
2ymd	3.16	4.72
2zcq	8.82	6.55
2zcr	6.87	6.43
2zjw	7.70	5.68
2zwz	7.79	5.19
2zx6	10.60	8.10
2zxd	5.22	5.61
3acw	4.76	6.71
3ag9	8.05	7.20
3ao4	2.07	3.74
3b68	8.40	7.70
3bfu	6.27	6.01
3bkk	6.08	6.85
3cft	4.19	5.31
3coy	6.02	7.05
3cyx	8.00	8.26
3d4z	4.89	4.47
3dd0	9.00	8.42
3dxg	2.40	3.85
3e93	8.85	7.92
3ebp	5.91	5.72
3ehy	5.85	6.38
3ejr	8.57	7.42
3f17	8.63	6.84
3f3c	6.02	4.35
3f80	4.22	4.01
3fcq	2.77	4.17
3fk1	2.62	5.24
3fv1	9.30	7.83
3g0w	9.52	7.49
3g2n	4.09	4.80
3g2z	2.36	4.48
3gbb	6.90	6.36
3gcs	7.25	7.36
3ge7	8.70	7.64
3gy4	5.10	3.86
3huc	5.99	7.22
3i3b	2.23	3.06
3imc	2.96	3.54
3ivg	4.30	5.93
3jvs	6.54	6.33
3k5v	6.30	7.36
3kgp	2.57	4.00
3kv2	7.32	5.40
3kwa	4.08	5.90
3l3n	8.18	6.08
3l7b	2.40	4.74
3lka	2.82	6.25
3mfv	2.52	4.30
3mss	4.66	6.35
3muz	3.46	3.68
3myg	10.70	6.99
3n7a	3.70	3.84
3n86	5.64	6.00
3nox	8.66	7.41
3nq3	3.78	5.93
3nw9	9.00	7.15
3oe5	6.88	6.72
3owj	6.07	6.66
3ozt	4.13	6.32
3pe2	9.76	7.13
3pww	7.32	8.01
3pxf	4.43	5.33
3u9q	4.38	5.71
3udh	2.85	4.63
3ueu	5.24	5.57
3uex	6.92	6.39
3uo4	6.52	7.44
3utu	10.92	8.05
3vd4	4.82	4.44
3vh9	6.24	4.13
3zso	5.12	5.35
3zsx	3.28	4.53
4de1	5.96	6.08
4de2	4.12	6.48
4des	5.85	6.15
4dew	7.00	6.03
4djr	11.52	9.47
4djv	6.72	6.59
4g8m	7.89	5.44
4gid	10.77	7.82
4gqq	2.89	4.43
4tmn	10.17	6.66
