PDB	Labels	Predictions
2are	3.28	4.26
2oag	8.47	7.82
2jbj	9.70	6.49
2pwd	4.40	5.30
2pwg	4.82	4.91
2oym	5.00	6.09
2hzy	7.39	5.15
2ihj	4.59	5.54
2ojg	5.64	7.06
2hzl	6.57	3.85
2ovv	7.92	7.37
2nta	4.80	6.57
2qu6	8.52	7.26
2pog	9.54	7.17
2o4j	10.10	8.45
3b92	8.00	4.76
2p98	6.19	5.51
2z4b	9.36	8.74
2jj3	9.55	8.16
2h15	5.67	7.15
2pov	7.12	6.05
2pow	7.20	6.53
2nmx	5.57	6.72
1vso	4.72	5.70
2p95	9.37	7.24
2p16	10.10	7.84
2flr	6.10	6.74
2pgz	5.74	6.48
2bys	9.52	7.11
2gkl	5.35	4.93
2nsl	4.68	5.18
2nsj	4.79	5.21
2c92	5.68	5.95
2c94	6.82	6.08
2nnq	8.70	6.65
2psv	7.24	8.05
2cem	7.92	8.68
2cen	8.30	8.50
2q54	9.01	8.26
2b3f	6.03	4.86
2bbf	5.10	6.40
2e2r	8.26	7.05
2gz2	5.22	4.76
2hr6	4.92	4.90
2idz	9.40	5.15
2ihk	4.16	5.44
2jff	3.62	5.71
2oiq	4.94	7.69
2otz	3.63	4.56
2ou0	3.23	4.34
2pjo	0.05	3.96
2pzv	3.87	3.91
2q88	5.80	4.73
2q89	6.30	5.21
2qeh	8.62	4.40
2qvu	6.44	4.93
2r3d	-0.15	3.93
2r5p	8.48	8.84
2rde	7.01	6.04
2v8q	4.61	4.76
3b50	7.55	5.84
3bgq	7.96	7.45
3bgz	6.26	6.86
2v8y	5.71	5.64
2jgb	5.61	5.73
1gja	5.42	6.13
1swk	12.00	8.84
1toi	4.05	5.20
1iup	2.54	3.90
1tog	3.22	5.17
1uto	2.27	3.14
1ukb	3.19	3.71
2cjp	3.10	5.75
1vot	6.60	6.35
2fx6	3.70	3.84
2c1q	13.00	10.26
2e2p	4.74	4.81
2epn	7.22	6.36
2i2c	4.70	6.51
2j4k	4.85	4.62
2jdu	6.72	3.74
2jdy	4.37	3.73
2jke	4.23	4.84
2p3t	11.30	7.42
2p4y	9.00	7.07
2p7g	6.53	6.99
2pqc	5.74	5.90
2q6m	6.29	6.77
2q8z	5.68	4.92
2qbq	7.44	6.46
2qbr	6.33	6.31
2qdt	5.19	4.35
2qhy	7.48	7.97
2qhz	7.28	7.07
2qi1	7.30	6.74
2qi3	10.20	9.32
2qi4	10.44	8.84
2qi5	10.85	9.59
2qi6	10.57	8.75
2qmg	9.15	7.82
2qnq	6.11	6.45
2qrl	4.00	4.76
2qry	8.64	6.45
2r6w	9.36	8.42
2r75	6.15	6.22
2reg	5.57	4.22
2rkd	2.72	4.90
2uwl	8.40	6.73
2uwp	6.81	7.16
2uy4	4.68	6.63
2v2c	3.41	4.01
2v77	5.06	6.25
2v7t	7.48	5.47
2v7u	5.90	5.55
2v7v	6.66	5.01
2vhw	5.09	4.86
2vkm	8.74	7.34
2vmd	3.02	3.67
2vpn	6.72	5.09
2vuk	3.82	5.37
2vw5	8.52	6.51
2w26	9.40	7.11
2zmm	7.60	6.69
2zn7	7.89	6.38
3b3c	3.98	4.30
3b7r	7.70	7.24
3bex	5.57	5.35
3bl0	6.92	5.33
3brn	8.70	4.92
3bu1	8.15	4.37
3bxe	5.48	4.16
3c2f	2.00	4.71
3c2o	3.35	4.39
3c2r	3.11	4.24
3c7i	5.64	6.45
3ccw	7.87	7.45
3ccz	7.29	7.65
3cd7	7.84	7.58
3czv	7.80	5.86
3d2r	5.48	5.22
3d51	4.15	4.41
3d83	8.36	7.68
3ddg	6.00	5.23
3dp4	7.37	5.64
3e92	8.00	6.93
3eko	6.70	4.76
3ekr	5.55	6.92
3ene	6.24	6.79
3eqr	8.70	7.88
3f8c	7.68	7.56
3fat	7.64	5.77
