PDB	Labels	Predictions
1gm8	4.80	6.20
1gpk	5.37	6.95
1hnn	6.24	6.73
1hp0	6.70	3.60
1hq2	6.77	5.41
1hvy	6.17	7.43
1hwi	7.55	7.86
1hww	7.70	4.21
1ia1	7.47	5.09
1j3j	8.01	3.35
1jd0	8.24	7.28
1jje	8.43	5.11
1ke5	6.25	6.50
1kzk	10.40	8.85
1l2s	4.59	5.16
1l7f	9.10	5.59
1lpz	7.60	8.39
1lrh	6.82	4.40
1m2z	7.22	8.15
1mmv	7.24	4.80
1n1m	5.70	6.54
1n2v	4.08	5.44
1n46	10.52	8.69
1nav	7.60	7.77
1of1	4.82	5.35
1of6	6.05	4.17
1opk	9.82	7.53
1oq5	7.68	8.43
1owe	6.20	5.34
1oyt	7.24	6.19
1p2y	5.00	5.86
1p62	4.66	4.75
1pmn	8.15	7.69
1q1g	8.57	6.81
1q41	7.66	7.25
1q4g	6.89	6.43
1r1h	8.92	7.15
1r55	6.80	5.88
1r58	6.96	6.94
1r9o	5.02	6.71
1s19	9.51	8.29
1s3v	7.42	7.21
1sg0	7.47	5.06
1sj0	9.10	8.43
1sq5	4.39	3.94
1sqn	9.40	8.30
1t40	7.96	7.27
1t46	6.38	6.07
1t9b	6.90	7.01
1tow	6.24	5.05
1tt1	7.19	7.57
1u1c	5.37	5.99
1uml	7.52	8.16
1unl	6.70	7.00
1uou	7.70	4.93
1v0p	6.89	6.26
1v48	8.16	7.39
1v4s	6.44	6.61
1vcj	4.59	4.54
1w1p	2.30	2.20
1w2g	4.57	3.42
1xm6	6.38	6.71
1xoq	9.17	7.74
1xoz	8.92	7.96
1y6b	7.42	8.53
1ygc	9.46	7.65
1yqy	7.62	6.12
1ywr	7.49	6.90
1z95	7.12	8.64
2bm2	7.82	7.00
2br1	5.14	6.86
2bsm	5.82	8.06
