PDB	Labels	Predictions
10gs	6.40	6.70
1bcu	3.28	6.76
1e66	9.89	7.23
1f8b	5.40	5.80
1f8c	7.40	6.43
1f8d	3.40	5.89
1gpk	5.37	6.74
1h23	8.35	7.11
1hfs	8.70	8.39
1hnn	6.24	6.78
1lbk	3.18	4.57
1lol	6.39	4.33
1loq	3.70	3.95
1lor	11.06	4.37
1mq6	11.15	8.71
1n1m	5.70	5.74
1n2v	4.08	4.80
1nvq	8.25	7.96
1o3f	7.96	5.05
1o5b	5.77	4.18
1os0	6.03	6.93
1oyt	7.24	8.02
1p1q	4.89	4.62
1ps3	2.28	5.25
1r5y	6.46	6.12
1sqa	9.21	6.91
1u1b	7.80	5.38
1u33	4.60	5.08
1uto	2.27	3.52
1vso	4.72	7.32
1w4o	5.22	5.04
1xd0	7.12	4.53
1yc1	6.17	6.51
1z95	7.12	8.30
2brb	4.86	5.48
2cbj	8.27	7.62
2cet	8.02	7.52
2d1o	7.70	7.59
2fvd	8.52	7.71
2g70	7.77	5.90
2hb1	3.80	4.04
2iwx	6.68	6.57
2j62	11.34	8.54
2j78	6.42	5.47
2jdm	5.40	5.19
2jdu	6.72	5.19
2jdy	4.37	4.77
2obf	8.85	7.08
2ole	7.25	8.05
2p4y	9.00	7.65
2pq9	8.11	6.14
2qbp	8.40	6.74
2qbr	6.33	5.56
2qft	5.26	3.41
2v00	3.66	3.17
2v7a	8.30	7.90
2vl4	6.01	5.69
2vo5	4.89	6.68
2vot	7.14	7.54
2vvn	7.30	6.97
2vw5	8.52	5.56
2w66	4.05	5.76
2wbg	4.45	6.14
2wca	5.60	7.11
2weg	6.50	6.65
2wtv	8.74	8.15
2x00	11.33	7.52
2x0y	4.60	6.06
2x8z	7.96	3.90
2x97	5.66	6.21
2xb8	7.59	5.24
2xbv	8.43	9.17
2xdl	3.10	5.70
2xhm	6.80	5.73
2xnb	6.83	6.55
2xy9	9.19	8.35
2xys	7.42	6.93
2y5h	5.79	8.06
2yfe	6.63	6.08
2yge	5.06	6.06
2yki	9.46	7.68
2ymd	3.16	5.58
2zcq	8.82	6.42
2zcr	6.87	7.28
2zjw	7.70	6.49
2zwz	7.79	6.81
2zx6	10.60	8.10
2zxd	5.22	7.32
3acw	4.76	6.82
3ag9	8.05	8.01
3ao4	2.07	2.63
3b68	8.40	7.38
3bfu	6.27	5.39
3bkk	6.08	7.95
3cft	4.19	5.46
3coy	6.02	5.64
3cyx	8.00	7.77
3d4z	4.89	6.41
3dd0	9.00	8.39
3dxg	2.40	4.94
3e93	8.85	7.36
3ebp	5.91	5.96
3ehy	5.85	7.29
3ejr	8.57	8.28
3f17	8.63	7.60
3f3c	6.02	3.62
3f80	4.22	3.75
3fcq	2.77	4.22
3fk1	2.62	3.66
3fv1	9.30	7.43
3g0w	9.52	8.57
3g2n	4.09	4.48
3g2z	2.36	3.25
3gbb	6.90	6.45
3gcs	7.25	7.08
3ge7	8.70	7.20
3gy4	5.10	3.40
3huc	5.99	7.72
3i3b	2.23	3.23
3imc	2.96	2.34
3ivg	4.30	6.17
3jvs	6.54	7.14
3k5v	6.30	7.35
3kgp	2.57	3.06
3kv2	7.32	4.21
3kwa	4.08	4.70
3l3n	8.18	7.91
3l7b	2.40	3.95
3lka	2.82	7.42
3mfv	2.52	4.27
3mss	4.66	5.31
3muz	3.46	3.22
3myg	10.70	8.35
3n7a	3.70	4.18
3n86	5.64	6.19
3nox	8.66	8.35
3nq3	3.78	4.66
3nw9	9.00	7.56
3oe5	6.88	5.67
3owj	6.07	6.50
3ozt	4.13	6.57
3pe2	9.76	7.72
3pww	7.32	6.37
3pxf	4.43	5.40
3u9q	4.38	5.27
3udh	2.85	3.29
3ueu	5.24	4.91
3uex	6.92	5.40
3uo4	6.52	7.53
3utu	10.92	8.45
3vd4	4.82	3.22
3vh9	6.24	3.76
3zso	5.12	6.88
3zsx	3.28	4.17
4de1	5.96	6.41
4de2	4.12	6.46
4des	5.85	5.86
4dew	7.00	6.11
4djr	11.52	10.27
4djv	6.72	6.76
4g8m	7.89	6.11
4gid	10.77	8.28
4gqq	2.89	3.78
4tmn	10.17	6.65
