PDB	Labels	Predictions
4fud	6.35	3.29
4fue	7.23	7.10
4fu7	6.20	6.32
4fu8	5.23	3.76
4fu9	6.20	6.44
4fub	6.21	6.40
4fuc	7.40	6.64
4fsm	7.62	7.14
4fsw	4.76	4.63
4ft5	7.56	7.88
4fsn	7.70	7.78
4fsz	6.97	6.63
4ft7	8.87	8.18
4ft0	7.11	7.24
4ft9	7.69	7.18
4fta	7.39	7.55
4ftc	7.63	8.29
4fsq	8.80	6.22
4fsr	7.94	8.16
4fst	8.28	7.71
4fw3	7.23	9.72
4fw4	8.08	9.75
4fw5	7.48	8.17
4fw6	7.70	8.76
4fw7	7.13	8.18
4fux	6.00	8.36
4fuy	6.09	8.07
4fv0	5.59	8.30
4fv1	7.08	8.25
4fv2	7.68	7.85
4fv3	7.74	8.53
4ev4	7.40	7.30
4fv5	7.70	8.36
4fv7	7.57	8.93
4fv8	7.82	8.91
4fv9	6.72	7.28
4fx3	8.07	6.87
4ek4	4.48	5.27
4ek5	6.09	7.37
4fkg	4.67	7.31
4fki	4.23	7.75
4ek6	6.04	7.41
4fjk	6.55	4.54
4ek8	7.11	6.94
3sw4	6.02	6.58
3sw7	6.64	6.88
4fko	6.11	6.54
4fkp	6.54	7.10
4fkq	6.28	7.07
4fkr	6.64	7.25
4fks	6.28	7.43
4fkt	5.97	6.96
4fku	7.01	6.87
4fkv	6.60	7.45
4fkw	7.33	6.47
