PDB	Labels	Predictions
2are	3.28	4.37
2oag	8.47	8.96
2jbj	9.70	8.05
2pwd	4.40	4.88
2pwg	4.82	4.68
2oym	5.00	6.40
2hzy	7.39	5.08
2ihj	4.59	5.66
2ojg	5.64	7.45
2hzl	6.57	4.24
2ovv	7.92	8.65
2nta	4.80	6.41
2qu6	8.52	7.79
2pog	9.54	7.81
2o4j	10.10	8.54
3b92	8.00	7.29
2p98	6.19	5.93
2z4b	9.36	9.67
2jj3	9.55	8.84
2h15	5.67	7.81
2pov	7.12	7.38
2pow	7.20	7.24
2nmx	5.57	6.54
1vso	4.72	7.20
2p95	9.37	7.91
2p16	10.10	8.20
2flr	6.10	7.41
2pgz	5.74	6.60
2bys	9.52	7.62
2gkl	5.35	5.13
2nsl	4.68	4.28
2nsj	4.79	4.28
2c92	5.68	5.89
2c94	6.82	5.99
2nnq	8.70	6.89
2psv	7.24	8.37
2cem	7.92	9.37
2cen	8.30	9.28
2q54	9.01	9.19
2b3f	6.03	5.03
2bbf	5.10	5.57
2e2r	8.26	6.87
2gz2	5.22	6.09
2hr6	4.92	4.80
2idz	9.40	4.44
2ihk	4.16	5.66
2jff	3.62	3.40
2oiq	4.94	5.98
2otz	3.63	4.17
2ou0	3.23	4.13
2pjo	0.05	2.72
2pzv	3.87	4.39
2q88	5.80	3.47
2q89	6.30	4.04
2qeh	8.62	5.03
2qvu	6.44	5.53
2r3d	-0.15	2.58
2r5p	8.48	9.60
2rde	7.01	7.28
2v8q	4.61	5.17
3b50	7.55	6.54
3bgq	7.96	8.35
3bgz	6.26	5.70
2v8y	5.71	5.83
2jgb	5.61	5.86
1gja	5.42	5.47
1swk	12.00	10.23
1toi	4.05	4.13
1iup	2.54	4.10
1tog	3.22	4.13
1uto	2.27	3.85
1ukb	3.19	3.82
2cjp	3.10	4.87
1vot	6.60	6.61
2fx6	3.70	3.22
2c1q	13.00	8.90
2e2p	4.74	5.64
2epn	7.22	6.98
2i2c	4.70	5.27
2j4k	4.85	5.18
2jdu	6.72	5.19
2jdy	4.37	4.58
2jke	4.23	4.80
2p3t	11.30	8.23
2p4y	9.00	7.72
2p7g	6.53	6.87
2pqc	5.74	6.25
2q6m	6.29	6.84
2q8z	5.68	5.74
2qbq	7.44	6.29
2qbr	6.33	5.70
2qdt	5.19	4.61
2qhy	7.48	8.48
2qhz	7.28	8.88
2qi1	7.30	8.41
2qi3	10.20	9.17
2qi4	10.44	8.73
2qi5	10.85	9.18
2qi6	10.57	8.74
2qmg	9.15	8.10
2qnq	6.11	7.67
2qrl	4.00	4.94
2qry	8.64	5.39
2r6w	9.36	8.21
2r75	6.15	6.90
2reg	5.57	3.93
2rkd	2.72	3.19
2uwl	8.40	7.77
2uwp	6.81	7.96
2uy4	4.68	6.90
2v2c	3.41	2.94
2v77	5.06	5.91
2v7t	7.48	4.20
2v7u	5.90	4.08
2v7v	6.66	2.98
2vhw	5.09	5.06
2vkm	8.74	8.22
2vmd	3.02	3.76
2vpn	6.72	4.94
2vuk	3.82	3.38
2vw5	8.52	7.36
2w26	9.40	7.65
2zmm	7.60	6.12
2zn7	7.89	6.42
3b3c	3.98	5.46
3b7r	7.70	7.87
3bex	5.57	3.64
3bl0	6.92	6.86
3brn	8.70	4.36
3bu1	8.15	3.25
3bxe	5.48	4.23
3c2f	2.00	5.46
3c2o	3.35	4.25
3c2r	3.11	5.01
3c7i	5.64	7.49
3ccw	7.87	8.50
3ccz	7.29	8.70
3cd7	7.84	8.58
3czv	7.80	8.17
3d2r	5.48	4.22
3d51	4.15	3.87
3d83	8.36	8.26
3ddg	6.00	5.07
3dp4	7.37	4.94
3e92	8.00	8.06
3eko	6.70	4.73
3ekr	5.55	7.26
3ene	6.24	7.13
3eqr	8.70	8.57
3f8c	7.68	6.22
3fat	7.64	4.91
