PDB	Labels	Predictions
3m1k	5.39	4.32
6pgb	4.60	5.16
3rz1	8.74	8.29
6fnt	4.68	4.76
4ww8	10.17	7.60
5ap7	6.29	7.80
4alx	7.28	6.79
5tuy	6.35	6.49
4u6r	7.85	8.10
1moq	3.46	3.90
1uyg	4.27	4.77
4qyy	7.30	7.41
5alg	7.52	7.85
5k0f	6.07	6.80
4x8v	6.89	7.97
2ei6	7.39	8.19
2xkd	5.64	5.76
5j9f	7.23	6.91
6nlj	4.82	4.71
3sfh	7.05	6.75
1ett	5.89	7.25
6ugq	7.55	7.01
3hvk	8.52	7.49
2p8n	3.15	2.66
3iej	6.66	7.74
2k0g	6.97	5.38
5teh	7.55	7.79
3gt9	3.96	5.76
6knh	3.55	3.63
3hwx	7.86	7.52
4w9x	7.40	7.83
2wkt	4.31	4.70
4uv8	6.47	6.22
4d8s	6.49	7.67
4p02	6.40	6.43
3udd	7.10	7.94
5a3s	8.68	8.10
5ccl	4.77	6.70
4i7l	3.99	4.10
4ec0	6.07	6.48
6abk	1.95	2.42
6myn	7.85	8.45
6hys	5.59	5.28
1o4d	3.52	3.09
3khv	1.85	2.96
1pf8	7.51	6.80
6mjf	5.16	5.31
5y6k	6.07	6.56
5wip	4.71	4.99
6mmo	3.35	4.35
4g0z	2.21	2.96
2kaw	4.97	4.83
1ai7	4.09	3.85
6skd	5.80	6.89
4fcb	8.54	8.42
1qj1	8.05	7.90
1qhr	6.89	6.87
4u70	5.02	5.33
2p83	7.96	7.93
2p2h	7.17	7.60
4qpd	7.82	7.07
3b3x	3.60	3.84
6fs1	7.01	7.43
4hai	8.10	7.58
6gjl	3.86	3.28
6gcw	8.64	8.60
3f19	7.19	6.82
6q37	6.36	6.83
5j20	9.14	7.68
5ny1	6.44	7.25
4bhi	7.05	5.51
5swh	7.59	7.31
1xbc	7.92	7.98
4l6s	8.52	7.35
3r0y	4.84	6.79
3dkj	5.70	5.93
3s56	9.62	8.84
5i9x	7.52	7.96
3e6v	6.83	6.82
6ey7	4.30	4.29
4w4y	6.46	7.08
6fba	4.70	4.02
5q0p	7.41	7.33
6cvf	6.35	5.20
5xfj	8.22	8.24
4qsx	1.74	2.86
5lvr	3.60	4.61
4ded	7.42	8.05
5y0x	5.11	6.53
3hmm	7.60	7.38
1b74	1.30	2.49
3mj1	7.82	8.34
4tpw	4.69	5.51
2c02	4.04	4.44
6fa5	6.75	6.93
5za2	5.77	7.11
5tol	7.48	7.50
6jz0	7.82	7.63
5j7q	4.58	5.01
5o5a	4.77	5.05
5mxf	3.59	4.41
2brg	5.21	4.94
5wf3	5.85	6.43
4amy	10.82	10.01
3mhl	7.25	6.61
3zxh	8.52	7.98
4ei4	8.74	8.62
4uiu	7.90	7.58
3dnt	4.74	4.66
4o55	5.30	7.60
2viz	6.22	6.96
5alu	7.66	8.23
3oqf	7.04	6.91
1bm7	7.52	6.52
6dvm	8.52	8.55
3sb0	5.26	5.98
4ijq	7.52	7.00
4a4f	2.88	3.35
3oy1	7.80	8.12
5jcj	4.42	5.15
3pd8	6.46	5.75
5kks	8.70	8.11
1ung	6.80	6.95
4hxl	5.66	6.39
2cex	4.70	6.95
3vi5	5.68	7.03
4r92	7.41	7.46
4di2	8.26	8.19
5nxw	7.24	7.31
5hzx	8.55	7.96
4ie5	4.82	4.26
4q7v	3.59	3.73
2q6c	7.78	8.33
6bhv	5.23	6.58
2ckm	8.82	8.93
4mk0	5.20	6.10
4r5t	6.10	6.49
1y2e	6.80	6.41
6g2r	9.46	8.93
4d83	7.26	7.85
4fli	5.44	4.76
5q0u	6.76	7.32
4ona	8.15	8.42
6dgo	5.47	6.32
3iod	4.10	3.88
5eak	9.30	8.75
2yex	10.00	7.90
2i4u	11.57	11.21
6i63	7.01	6.87
2qcg	4.00	4.57
6fu5	7.50	7.64
4o3f	5.56	5.51
5khi	6.77	5.90
4iif	5.18	5.53
3kqy	4.82	5.22
4k6i	6.20	5.97
4x3u	5.09	4.39
4mma	6.04	4.65
5u69	6.22	6.66
3tzm	7.77	8.35
2cmc	5.76	6.10
2ww2	4.85	5.12
4x0f	7.00	6.68
2xru	7.51	7.94
3abu	5.62	5.47
6gnr	5.44	6.19
4n00	8.02	7.64
4cc6	6.64	6.46
3uvq	7.77	8.22
2v12	9.05	7.63
5am4	6.95	7.14
6rfi	7.43	7.61
5fck	8.22	6.74
5fut	6.45	7.35
5ywg	8.34	7.77
3f3u	4.74	5.22
4bb4	6.72	6.30
2fwy	6.70	6.85
3ipb	6.70	8.01
6fe0	6.48	6.55
5kh3	4.22	4.08
1w1d	6.52	6.07
3n0n	7.30	7.75
1j37	8.96	6.69
5tq4	8.38	7.35
4tmr	7.22	7.69
1bl7	7.72	7.14
3d4q	10.52	8.84
4cix	4.47	5.18
4xx4	7.36	7.49
5aqt	3.51	3.83
5fqv	6.21	7.95
1v2l	4.29	3.71
2oz6	5.26	4.92
4hyh	9.00	8.52
1ca8	9.49	8.69
6m8a	5.26	5.40
5sym	6.55	6.29
2w7x	7.62	7.97
5t19	4.49	5.40
5buj	8.30	7.85
1w1y	2.62	3.24
6n0j	5.37	5.56
4cwf	4.49	4.90
4nh8	8.52	7.30
5n53	2.55	2.68
5q0q	6.11	6.05
1aw1	1.05	2.98
2wi6	6.64	7.00
4e3d	2.30	3.37
4eqc	8.10	8.20
6gcr	8.33	8.51
2x2l	5.28	6.39
3c4h	5.70	5.18
5du6	5.02	5.33
4pid	4.62	5.39
2ou7	3.81	3.98
4djq	10.32	10.50
3ljg	7.73	7.27
6iez	6.52	6.44
2w97	0.96	2.86
5toz	9.46	7.77
3f8w	4.08	4.64
5l8c	7.00	6.94
4qyg	8.39	8.14
2wuf	4.29	3.90
2f81	10.52	9.56
2xyd	6.82	8.35
5yfs	4.86	4.97
5tkd	8.15	8.71
2zm3	6.21	6.08
5tob	8.82	8.33
4l0s	6.84	6.73
3vbq	9.33	8.58
4euv	6.30	6.20
3lbj	4.96	5.36
4i6f	8.30	7.96
4mwc	5.87	7.79
4a4l	7.82	8.14
3e6k	5.15	6.82
2g9q	6.40	5.08
5ct1	1.52	2.32
3mrv	3.74	4.36
4nah	6.31	6.38
5kls	6.71	6.18
4bt3	3.12	3.52
1o46	8.00	7.01
