PDB	Labels	Predictions
3m1k	5.39	4.89
3rz1	8.74	8.52
5u6d	8.59	7.71
5tuy	6.35	7.00
4u6r	7.85	7.80
6hky	9.34	8.40
3bkl	6.17	5.83
2rcw	8.10	7.33
5alg	7.52	7.53
5k0f	6.07	6.49
4x8v	6.89	7.09
5wev	6.82	7.88
2ei6	7.39	8.16
2xkd	5.64	6.13
5j9f	7.23	7.09
6s9x	6.42	7.18
6nlj	4.82	4.90
1ett	5.89	5.57
6ugq	7.55	5.93
3hvk	8.52	7.53
3wym	9.52	8.39
4leq	6.54	6.34
2p8n	3.15	2.76
3iej	6.66	6.72
5aae	7.46	7.65
5teh	7.55	8.57
5xij	7.30	7.26
3gt9	3.96	5.74
6ouv	5.55	6.28
6knh	3.55	3.51
4w9x	7.40	7.64
2wkt	4.31	4.02
4uv8	6.47	6.06
4p02	6.40	6.29
2ghg	8.82	8.86
5a3s	8.68	8.33
4cwo	5.21	5.54
4i7l	3.99	3.66
6abk	1.95	2.27
6myn	7.85	8.03
5wr7	8.96	8.69
6hys	5.59	5.43
1o4d	3.52	2.85
3aas	4.51	4.77
1pf8	7.51	6.67
6mjf	5.16	5.32
2j7e	7.32	6.83
5x73	6.74	6.30
6mmo	3.35	3.90
6nfg	4.11	4.60
1ai7	4.09	4.10
4fcb	8.54	8.15
1qj1	8.05	7.83
1qhr	6.89	6.48
4u70	5.02	5.22
2p83	7.96	7.73
2p2h	7.17	7.67
4qpd	7.82	7.45
3b3x	3.60	3.74
5eob	9.62	8.29
3fhe	8.60	7.64
4hai	8.10	8.04
6gjl	3.86	4.11
5jv0	5.96	5.92
6gcw	8.64	8.37
4hdc	8.92	7.40
5aia	5.20	5.94
4bhi	7.05	5.97
3n3g	7.24	6.36
5swh	7.59	7.15
4tpm	8.62	8.44
4klv	3.78	4.41
1xbc	7.92	7.83
1hk1	5.64	6.61
3dkj	5.70	4.89
2bxt	8.52	8.72
6pgx	9.21	8.28
3e6v	6.83	6.35
6ey7	4.30	4.81
6g3c	6.91	7.80
4jnm	8.52	7.07
5zfi	5.92	6.18
1o0o	5.10	5.43
5q0p	7.41	7.01
6cvf	6.35	5.39
4qsx	1.74	2.74
6aej	6.15	5.77
5lvr	3.60	3.94
1hk3	6.59	6.61
4ded	7.42	7.72
5y0x	5.11	6.06
3mj1	7.82	8.23
4tpw	4.69	5.16
6fa5	6.75	6.34
5za2	5.77	6.14
5kr1	9.49	9.14
5tol	7.48	7.81
5j7q	4.58	6.42
3v4j	5.04	5.14
5o5a	4.77	5.49
2brg	5.21	5.74
4gg5	9.03	8.02
4amy	10.82	9.87
3mhl	7.25	7.05
4kiq	7.64	8.52
4pin	5.40	6.39
4ei4	8.74	8.95
2nt7	6.52	5.99
5l6p	7.26	7.63
4uiu	7.90	7.04
3dnt	4.74	4.95
2viz	6.22	7.86
3oqf	7.04	7.18
6dvm	8.52	8.21
3ihz	6.80	6.28
3sb0	5.26	5.92
4a4f	2.88	3.30
4hbv	4.64	5.02
4xkb	6.10	6.22
5jcj	4.42	5.00
3pd8	6.46	6.00
5kks	8.70	8.18
1ung	6.80	6.51
2o8h	7.60	7.70
4hxl	5.66	6.21
3vi5	5.68	6.89
4r92	7.41	6.81
3mzc	6.65	8.02
4qtl	6.92	8.25
4di2	8.26	7.98
5hzx	8.55	7.99
4q7v	3.59	4.00
6bhv	5.23	5.37
2ckm	8.82	7.03
4mk0	5.20	6.62
4r5t	6.10	6.17
1y2e	6.80	6.63
3iaf	2.92	3.40
4fli	5.44	5.21
4zei	5.88	5.32
5h1t	3.80	3.66
2gh6	4.95	5.19
4ona	8.15	8.47
5umy	6.97	7.03
5uga	6.79	7.48
5nuu	8.20	6.85
1lhg	7.10	8.67
3iod	4.10	4.60
5eak	9.30	9.05
6q54	6.49	5.93
5w6e	8.04	7.94
2i4u	11.57	9.13
2qcg	4.00	5.21
4o3f	5.56	5.59
5khi	6.77	5.60
4iif	5.18	4.02
3kqy	4.82	4.56
4k6i	6.20	5.83
4z0q	8.17	8.09
4x3u	5.09	4.30
4mma	6.04	5.10
6c8c	6.38	6.23
6c3u	5.40	6.11
3tzm	7.77	8.05
2ww2	4.85	4.94
2xru	7.51	7.01
3abu	5.62	5.61
4n00	8.02	8.09
4cc6	6.64	6.91
5zo8	8.20	7.00
2v12	9.05	8.26
6j06	6.59	6.27
4yne	8.52	8.02
5fck	8.22	7.51
5fut	6.45	6.49
3f3u	4.74	5.99
4bb4	6.72	6.96
2fwy	6.70	6.26
6fe0	6.48	7.41
1w1d	6.52	5.37
2xgo	3.00	2.71
5ak4	4.23	4.19
6pid	4.54	4.10
6f6s	2.89	3.24
5ehv	3.08	3.14
4tmr	7.22	7.59
1bl7	7.72	7.42
4o05	7.43	7.18
2qi7	10.21	11.18
6mmc	3.61	4.11
3d4q	10.52	8.22
4cix	4.47	4.71
4xx4	7.36	6.97
5aqt	3.51	3.57
5fqv	6.21	7.85
6fsy	6.61	6.14
3t6y	5.52	6.15
1v2l	4.29	4.72
2oz6	5.26	5.33
1ca8	9.49	8.39
6m8a	5.26	5.22
5sym	6.55	6.70
5t19	4.49	5.24
4pb2	4.80	4.63
3qd3	8.00	8.17
1w1y	2.62	2.65
5mys	4.30	4.14
4cwf	4.49	4.83
4nh8	8.52	7.61
5q0q	6.11	5.58
1aw1	1.05	0.22
2wi6	6.64	6.95
4e3d	2.30	3.28
4eqc	8.10	7.66
6gcr	8.33	8.34
6cpw	8.25	8.25
5alw	5.15	6.28
3c4h	5.70	6.26
4pid	4.62	5.12
2ou7	3.81	4.11
4djq	10.32	10.85
3ljg	7.73	7.82
6iez	6.52	6.34
2w97	0.96	1.00
3djq	2.98	4.57
1f5l	5.28	5.11
5toz	9.46	8.46
3f8w	4.08	4.54
3fuh	2.70	3.23
4r5v	6.15	6.15
5l8c	7.00	6.57
4qyg	8.39	8.30
5h9r	6.08	7.17
2f81	10.52	8.88
2xyd	6.82	7.89
5yfs	4.86	5.20
5tkd	8.15	8.01
