PDB	Labels	Predictions
1gm8	4.80	7.25
1gpk	5.37	8.18
1hnn	6.24	7.51
1hp0	6.70	2.63
1hq2	6.77	5.76
1hvy	6.17	5.98
1hwi	7.55	7.22
1hww	7.70	5.20
1ia1	7.47	6.53
1j3j	8.01	4.94
1jd0	8.24	7.31
1jje	8.43	7.36
1ke5	6.25	5.94
1kzk	10.40	10.31
1l2s	4.59	5.90
1l7f	9.10	7.33
1lpz	7.60	8.59
1lrh	6.82	4.43
1m2z	7.22	7.59
1mmv	7.24	4.47
1n1m	5.70	7.00
1n2v	4.08	4.85
1n46	10.52	9.85
1nav	7.60	6.46
1of1	4.82	7.48
1of6	6.05	4.34
1opk	9.82	8.07
1oq5	7.68	8.67
1owe	6.20	6.78
1oyt	7.24	7.24
1p2y	5.00	4.73
1p62	4.66	6.20
1pmn	8.15	7.46
1q1g	8.57	8.33
1q41	7.66	7.61
1q4g	6.89	5.05
1r1h	8.92	8.55
1r55	6.80	8.27
1r58	6.96	8.12
1r9o	5.02	4.94
1s19	9.51	8.50
1s3v	7.42	8.26
1sg0	7.47	4.15
1sj0	9.10	8.87
1sq5	4.39	4.14
1sqn	9.40	7.91
1t40	7.96	7.48
1t46	6.38	7.75
1t9b	6.90	7.35
1tow	6.24	6.36
1tt1	7.19	7.11
1u1c	5.37	7.22
1uml	7.52	7.84
1unl	6.70	5.64
1uou	7.70	5.79
1v0p	6.89	7.92
1v48	8.16	5.96
1v4s	6.44	6.86
1vcj	4.59	3.48
1w1p	2.30	3.00
1w2g	4.57	4.35
1xm6	6.38	7.04
1xoq	9.17	9.83
1xoz	8.92	9.35
1y6b	7.42	8.42
1ygc	9.46	7.78
1yqy	7.62	7.50
1ywr	7.49	8.41
1z95	7.12	8.88
2bm2	7.82	9.25
2br1	5.14	7.80
2bsm	5.82	7.50
