PDB	Labels	Predictions
1bcu	3.28	4.65
1bzc	4.92	7.98
1c5z	4.01	4.17
1e66	9.89	7.75
1eby	9.70	8.44
1g2k	7.96	8.42
1gpk	5.37	8.18
1gpn	6.48	8.34
1h22	9.10	7.67
1h23	8.35	7.67
1k1i	6.58	8.04
1lpg	7.09	8.45
1mq6	11.15	8.39
1nc1	6.12	5.28
1nc3	5.00	5.63
1nvq	8.25	8.87
1o0h	5.92	4.43
1o3f	7.96	6.68
1o5b	5.77	5.87
1owh	7.40	7.05
1oyt	7.24	7.24
1p1n	6.80	6.00
1p1q	4.89	6.55
1ps3	2.28	7.19
1pxn	7.15	6.85
1qf1	7.32	7.80
1qkt	9.04	8.45
1r5y	6.46	5.43
1s38	5.15	5.94
1sqa	9.21	7.39
1syi	5.44	6.50
1u1b	7.80	4.05
1uto	2.27	2.70
1vso	4.72	4.08
1w4o	5.22	3.71
1y6r	10.11	8.85
1yc1	6.17	7.23
1z6e	9.72	8.45
1z95	7.12	8.88
1z9g	5.64	5.52
2al5	8.40	5.93
2br1	5.14	7.80
2brb	4.86	7.18
2cbv	5.48	6.35
2cet	8.02	7.50
2fvd	8.52	7.45
2fxs	6.06	5.10
2hb1	3.80	4.57
2iwx	6.68	5.32
2j78	6.42	5.88
2j7h	7.19	6.82
2p15	10.30	8.79
2p4y	9.00	7.66
2pog	9.54	8.11
2qbp	8.40	6.71
2qbq	7.44	6.74
2qbr	6.33	6.45
2qe4	7.96	8.48
2qnq	6.11	7.06
2r9w	5.10	5.46
2v00	3.66	3.93
2v7a	8.30	8.24
2vkm	8.74	8.02
2vvn	7.30	6.92
2vw5	8.52	6.37
2w4x	4.85	5.18
2w66	4.05	5.14
2wbg	4.45	7.49
2wca	5.60	7.66
2weg	6.50	7.81
2wer	7.05	4.73
2wn9	8.52	7.15
2wnc	6.32	7.39
2wtv	8.74	8.28
2wvt	6.12	6.90
2x00	11.33	9.10
2xb8	7.59	7.65
2xbv	8.43	7.99
2xdl	3.10	4.32
2xii	7.20	6.06
2xj7	6.66	4.93
2xnb	6.83	7.91
2xys	7.42	8.31
2y5h	5.79	7.58
2yfe	6.63	5.96
2yge	5.06	5.63
2yki	9.46	7.03
2ymd	3.16	6.20
2zb1	6.32	7.55
2zcq	8.82	6.68
2zcr	6.87	7.97
2zda	8.40	6.67
2zy1	7.40	7.17
3acw	4.76	7.58
3ag9	8.05	6.57
3ao4	2.07	3.82
3arp	7.15	5.18
3arq	6.40	4.88
3aru	3.22	4.02
3arv	5.64	5.03
3ary	6.00	5.24
3b1m	8.48	7.19
3b27	5.16	4.57
3b5r	8.77	8.72
3b65	9.27	8.69
3b68	8.40	8.17
3bgz	6.26	6.67
3coy	6.02	7.37
3coz	5.57	6.68
3d4z	4.89	6.54
3d6q	3.76	3.75
3dd0	9.00	8.85
3dx1	3.58	6.53
3dx2	6.82	6.83
3dxg	2.40	3.75
3e5a	8.23	8.19
3e92	8.00	8.36
3e93	8.85	8.00
3ebp	5.91	6.27
3ehy	5.85	6.96
3ejr	8.57	8.04
3f3c	6.02	4.70
3fcq	2.77	4.72
3fur	8.00	7.53
3fv1	9.30	8.66
3fv2	8.11	8.23
3g0w	9.52	9.21
3g2n	4.09	4.55
3g2z	2.36	2.72
3g31	2.89	3.64
3gbb	6.90	8.11
3gc5	7.26	6.36
3ge7	8.70	6.48
3gr2	2.52	2.25
3gv9	2.12	2.84
3gy4	5.10	4.95
3ivg	4.30	6.24
3jvr	5.72	6.09
3jvs	6.54	6.93
3jya	6.89	8.00
3k5v	6.30	7.56
3kgp	2.57	2.91
3kr8	8.10	6.98
3kwa	4.08	4.47
3l7b	2.40	4.20
3lka	2.82	8.05
3mss	4.66	7.10
3myg	10.70	8.01
