PDB	Labels	Predictions
4ypw	5.50	5.98
4ypx	4.60	3.82
4ypy	3.80	2.37
4ypz	3.50	2.34
4yq0	4.40	5.66
4yq1	8.30	6.77
4yq2	8.30	6.88
4yq3	6.80	6.89
4yq4	5.70	5.98
4yq5	5.40	6.21
4yq6	6.10	5.99
4yq7	5.20	6.55
4yq8	5.10	7.29
4yq9	6.70	6.55
4yqa	6.30	6.60
4yqb	5.90	6.07
4yqc	6.70	7.92
4yqd	5.10	6.68
4yqg	5.70	6.24
4yqi	4.80	5.91
4yqj	6.20	6.77
4yqk	4.70	5.67
4yql	4.80	6.77
4yqn	5.80	7.79
4yqo	6.30	6.79
4yqp	5.70	5.42
4yqq	6.10	5.37
4yqr	4.00	5.23
4yqs	5.60	4.92
4yqt	6.10	4.36
4yjo	7.90	7.56
4yjp	8.46	7.10
4yjq	7.95	6.70
4yjr	7.69	7.04
4yjs	9.39	7.33
4yjt	8.79	7.59
4yju	7.94	7.72
4yjv	8.55	7.84
4ykr	7.53	7.03
4ykq	7.61	6.59
4ykt	8.28	6.30
4ykw	7.02	4.64
4ykx	5.56	6.68
4ykz	5.06	6.38
4yky	4.30	6.63
4yku	5.12	4.58
