PDB	Labels	Predictions
1a8i	5.52	5.15
1a99	5.70	3.42
1ax0	3.13	3.55
1b6l	8.30	8.14
1b6m	8.40	8.00
1duv	11.80	4.68
1dy4	4.36	3.71
1e2k	4.94	4.74
1fcx	7.12	6.09
1g2k	7.96	8.28
1gj8	6.96	6.19
1gjd	5.22	7.01
1gpk	5.37	8.48
1gyy	3.64	1.78
1h22	9.10	7.62
1h23	8.35	7.54
1h46	3.57	5.56
1hnn	6.24	7.13
1iy7	6.19	8.29
1kzk	10.39	8.23
1lrh	6.82	2.75
1nc1	6.12	3.68
1nc3	5.00	3.78
1nli	3.59	4.06
1nw5	5.21	6.20
1ow4	5.68	4.86
1p1n	6.80	5.81
1p1o	5.76	4.90
1ps3	2.28	3.03
1pxp	6.66	7.67
1r5y	6.46	4.09
1s38	5.15	4.89
1s39	7.70	4.65
1sr7	10.10	8.12
1sw1	7.30	5.27
1syh	6.41	6.75
1syi	5.48	6.75
1toj	3.39	3.98
1tok	2.47	4.09
1u1w	5.85	4.43
1ua4	4.22	6.37
1ui0	7.06	2.61
1utm	3.01	2.60
1uwu	5.98	5.77
1uz1	6.89	6.65
1uz4	3.40	7.01
1v1j	4.82	4.87
1w2g	4.57	4.28
1x8d	2.21	3.88
1xge	4.68	5.54
1y1m	1.82	6.63
1y1z	3.08	6.75
1y20	5.32	7.05
1yc1	6.17	5.22
1ydk	5.89	2.29
1z95	7.12	8.81
2aac	2.22	3.91
2afx	5.15	3.83
2ayr	9.29	8.11
2azr	3.64	4.99
2b07	6.43	6.23
2boh	8.52	8.95
2boj	5.77	4.53
2brb	4.86	4.67
2bvd	6.00	5.79
2byr	8.55	8.43
2cji	8.22	8.57
2fai	6.24	6.29
2fdp	7.59	6.85
2ff1	8.21	6.64
2fpz	3.96	4.31
2fqt	6.14	6.77
2fqw	6.68	2.56
2fqx	7.15	3.15
2fqy	6.57	2.35
2fvd	8.52	7.23
2fw6	2.92	4.23
2fxu	8.15	8.68
2h6b	5.39	3.55
2hb1	3.80	4.60
2hdq	1.40	2.85
2hdr	1.72	3.09
2i0a	11.40	7.71
2i0d	12.10	7.70
2il2	7.10	7.07
2iwx	6.68	5.47
2j2u	7.05	8.31
2j34	7.82	8.56
2j4i	9.00	8.64
2j78	6.42	6.24
1bcj	3.70	4.50
1bky	3.84	3.00
1d4i	8.85	8.55
1d4j	8.36	7.83
1eby	9.70	7.86
1ebz	9.40	8.87
1ec0	8.49	8.41
1ec1	8.92	9.10
1ec2	10.00	9.15
1enu	5.08	4.67
1f74	3.05	4.36
1gi9	5.96	6.44
1gww	4.28	3.83
1gx0	4.28	3.83
1o5a	6.42	6.39
1o5r	8.12	7.04
1q4w	6.46	4.09
1qkt	9.04	9.02
1qxl	7.96	7.43
1rdi	2.06	2.91
1rdn	1.84	3.13
1tr7	6.82	5.56
2a3c	4.37	5.15
2fv5	10.52	6.50
2h21	6.54	4.44
2hd6	7.80	7.14
1xl5	7.35	7.78
1y93	2.10	3.22
4ubp	5.59	3.67
1lhw	8.16	8.34
1s9t	6.60	5.88
1tt1	7.19	8.54
1uzv	5.18	3.64
2dm5	2.99	5.41
1xw6	5.62	3.82
2qrk	4.26	5.42
2nn1	5.82	6.34
2pou	7.42	7.49
3cd0	7.57	8.45
3cda	7.58	7.92
