PDB	Labels	Predictions
1gm8	4.80	5.14
1gpk	5.37	5.55
1hnn	6.24	7.31
1hp0	6.70	4.28
1hq2	6.77	4.68
1hvy	6.17	7.38
1hwi	7.55	8.21
1hww	7.70	4.23
1ia1	7.47	5.90
1j3j	8.01	5.36
1jd0	8.24	6.52
1jje	8.43	4.10
1ke5	6.25	6.87
1kzk	10.40	8.44
1l2s	4.59	4.00
1l7f	9.10	7.25
1lpz	7.60	7.85
1lrh	6.82	4.86
1m2z	7.22	7.08
1mmv	7.24	3.26
1n1m	5.70	5.36
1n2v	4.08	6.49
1n46	10.52	7.85
1nav	7.60	6.51
1of1	4.82	4.93
1of6	6.05	5.41
1opk	9.82	6.43
1oq5	7.68	7.16
1owe	6.20	6.88
1oyt	7.24	7.09
1p2y	5.00	6.36
1p62	4.66	4.05
1pmn	8.15	8.73
1q1g	8.57	7.96
1q41	7.66	8.09
1q4g	6.89	5.46
1r1h	8.92	6.80
1r55	6.80	6.83
1r58	6.96	6.49
1r9o	5.02	5.62
1s19	9.51	7.56
1s3v	7.42	7.18
1sg0	7.47	4.81
1sj0	9.10	7.77
1sq5	4.39	5.23
1sqn	9.40	6.90
1t40	7.96	7.31
1t46	6.38	6.69
1t9b	6.90	5.80
1tow	6.24	5.01
1tt1	7.19	6.76
1u1c	5.37	5.69
1uml	7.52	6.44
1unl	6.70	6.49
1uou	7.70	5.27
1v0p	6.89	6.56
1v48	8.16	6.38
1v4s	6.44	8.34
1vcj	4.59	6.32
1w1p	2.30	3.73
1w2g	4.57	2.58
1xm6	6.38	6.47
1xoq	9.17	8.20
1xoz	8.92	8.95
1y6b	7.42	6.91
1ygc	9.46	7.14
1yqy	7.62	5.53
1ywr	7.49	9.37
1z95	7.12	8.52
2bm2	7.82	7.04
2br1	5.14	6.48
2bsm	5.82	6.54
