PDB	Labels	Predictions
10gs	6.40	5.52
1bcu	3.28	4.03
1e66	9.89	7.31
1f8b	5.40	5.34
1f8c	7.40	5.11
1f8d	3.40	6.09
1gpk	5.37	5.55
1h23	8.35	6.75
1hfs	8.70	8.00
1hnn	6.24	7.31
1lbk	3.18	4.63
1lol	6.39	6.04
1loq	3.70	5.47
1lor	11.06	9.18
1mq6	11.15	8.38
1n1m	5.70	5.36
1n2v	4.08	6.49
1nvq	8.25	8.77
1o3f	7.96	5.60
1o5b	5.77	6.32
1os0	6.03	6.39
1oyt	7.24	7.09
1p1q	4.89	5.83
1ps3	2.28	4.18
1r5y	6.46	4.99
1sqa	9.21	6.95
1u1b	7.80	5.22
1u33	4.60	3.54
1uto	2.27	3.56
1vso	4.72	7.26
1w4o	5.22	4.32
1xd0	7.12	4.87
1yc1	6.17	4.85
1z95	7.12	8.52
2brb	4.86	6.15
2cbj	8.27	8.10
2cet	8.02	6.98
2d1o	7.70	7.29
2fvd	8.52	7.29
2g70	7.77	6.73
2hb1	3.80	4.67
2iwx	6.68	5.76
2j62	11.34	6.80
2j78	6.42	3.82
2jdm	5.40	4.23
2jdu	6.72	4.23
2jdy	4.37	3.55
2obf	8.85	7.06
2ole	7.25	7.44
2p4y	9.00	8.65
2pq9	8.11	6.34
2qbp	8.40	6.03
2qbr	6.33	5.84
2qft	5.26	3.91
2v00	3.66	4.46
2v7a	8.30	7.36
2vl4	6.01	5.92
2vo5	4.89	5.03
2vot	7.14	7.12
2vvn	7.30	7.36
2vw5	8.52	6.27
2w66	4.05	6.37
2wbg	4.45	5.69
2wca	5.60	7.67
2weg	6.50	5.72
2wtv	8.74	8.07
2x00	11.33	6.08
2x0y	4.60	4.86
2x8z	7.96	4.70
2x97	5.66	6.91
2xb8	7.59	5.54
2xbv	8.43	7.93
2xdl	3.10	5.01
2xhm	6.80	4.95
2xnb	6.83	5.90
2xy9	9.19	7.39
2xys	7.42	7.79
2y5h	5.79	7.54
2yfe	6.63	5.86
2yge	5.06	5.29
2yki	9.46	7.10
2ymd	3.16	4.32
2zcq	8.82	5.55
2zcr	6.87	6.95
2zjw	7.70	6.73
2zwz	7.79	7.62
2zx6	10.60	9.36
2zxd	5.22	7.04
3acw	4.76	3.78
3ag9	8.05	6.37
3ao4	2.07	3.42
3b68	8.40	8.63
3bfu	6.27	5.46
3bkk	6.08	5.78
3cft	4.19	4.64
3coy	6.02	5.58
3cyx	8.00	7.77
3d4z	4.89	6.29
3dd0	9.00	8.38
3dxg	2.40	5.28
3e93	8.85	8.85
3ebp	5.91	6.13
3ehy	5.85	6.99
3ejr	8.57	7.41
3f17	8.63	7.10
3f3c	6.02	5.22
3f80	4.22	5.28
3fcq	2.77	3.54
3fk1	2.62	3.92
3fv1	9.30	8.98
3g0w	9.52	9.27
3g2n	4.09	4.64
3g2z	2.36	5.07
3gbb	6.90	7.04
3gcs	7.25	7.90
3ge7	8.70	8.46
3gy4	5.10	4.73
3huc	5.99	7.66
3i3b	2.23	2.97
3imc	2.96	3.26
3ivg	4.30	5.44
3jvs	6.54	8.77
3k5v	6.30	6.03
3kgp	2.57	3.88
3kv2	7.32	4.58
3kwa	4.08	4.93
3l3n	8.18	6.31
3l7b	2.40	3.74
3lka	2.82	7.06
3mfv	2.52	4.77
3mss	4.66	5.60
3muz	3.46	3.31
3myg	10.70	8.57
3n7a	3.70	3.65
3n86	5.64	7.07
3nox	8.66	6.32
3nq3	3.78	5.92
3nw9	9.00	7.52
3oe5	6.88	6.62
3owj	6.07	5.25
3ozt	4.13	5.79
3pe2	9.76	7.36
3pww	7.32	7.35
3pxf	4.43	4.81
3u9q	4.38	5.20
3udh	2.85	4.15
3ueu	5.24	6.00
3uex	6.92	6.14
3uo4	6.52	7.26
3utu	10.92	9.58
3vd4	4.82	3.31
3vh9	6.24	4.87
3zso	5.12	4.88
3zsx	3.28	4.83
4de1	5.96	5.59
4de2	4.12	5.57
4des	5.85	5.75
4dew	7.00	5.86
4djr	11.52	10.31
4djv	6.72	6.46
4g8m	7.89	5.47
4gid	10.77	8.40
4gqq	2.89	4.43
4tmn	10.17	6.44
