PDB	Labels	Predictions
2are	3.28	3.74
2oag	8.47	8.22
2jbj	9.70	8.88
2pwd	4.40	4.36
2pwg	4.82	4.83
2oym	5.00	5.39
2hzy	7.39	6.11
2ihj	4.59	4.90
2ojg	5.64	6.97
2hzl	6.57	2.94
2ovv	7.92	8.60
2nta	4.80	5.69
2qu6	8.52	8.74
2pog	9.54	6.12
2o4j	10.10	9.61
3b92	8.00	6.93
2p98	6.19	6.54
2z4b	9.36	8.13
2jj3	9.55	8.87
2h15	5.67	6.11
2pov	7.12	6.68
2pow	7.20	8.13
2nmx	5.57	6.44
1vso	4.72	7.26
2p95	9.37	7.88
2p16	10.10	8.98
2flr	6.10	5.73
2pgz	5.74	6.17
2bys	9.52	8.96
2gkl	5.35	4.47
2nsl	4.68	4.14
2nsj	4.79	4.14
2c92	5.68	5.78
2c94	6.82	5.95
2nnq	8.70	7.53
2psv	7.24	7.71
2cem	7.92	8.97
2cen	8.30	8.33
2q54	9.01	8.96
2b3f	6.03	3.71
2bbf	5.10	5.52
2e2r	8.26	6.35
2gz2	5.22	4.89
2hr6	4.92	4.84
2idz	9.40	4.48
2ihk	4.16	4.90
2jff	3.62	3.69
2oiq	4.94	6.73
2otz	3.63	4.34
2ou0	3.23	3.12
2pjo	0.05	3.93
2pzv	3.87	5.07
2q88	5.80	4.35
2q89	6.30	5.40
2qeh	8.62	4.23
2qvu	6.44	5.01
2r3d	-0.15	3.55
2r5p	8.48	8.84
2rde	7.01	6.58
2v8q	4.61	4.94
3b50	7.55	4.76
3bgq	7.96	7.79
3bgz	6.26	7.31
2v8y	5.71	5.99
2jgb	5.61	6.44
1gja	5.42	5.91
1swk	12.00	10.68
1toi	4.05	4.26
1iup	2.54	4.85
1tog	3.22	4.26
1uto	2.27	3.56
1ukb	3.19	3.25
2cjp	3.10	4.30
1vot	6.60	5.55
2fx6	3.70	3.63
2c1q	13.00	9.37
2e2p	4.74	5.27
2epn	7.22	5.70
2i2c	4.70	4.20
2j4k	4.85	5.36
2jdu	6.72	4.23
2jdy	4.37	3.55
2jke	4.23	4.44
2p3t	11.30	8.62
2p4y	9.00	8.65
2p7g	6.53	6.35
2pqc	5.74	6.63
2q6m	6.29	7.22
2q8z	5.68	6.59
2qbq	7.44	5.79
2qbr	6.33	5.84
2qdt	5.19	7.50
2qhy	7.48	7.73
2qhz	7.28	6.89
2qi1	7.30	8.80
2qi3	10.20	9.94
2qi4	10.44	9.38
2qi5	10.85	8.70
2qi6	10.57	8.14
2qmg	9.15	8.34
2qnq	6.11	7.21
2qrl	4.00	3.85
2qry	8.64	4.96
2r6w	9.36	8.04
2r75	6.15	8.07
2reg	5.57	3.35
2rkd	2.72	4.13
2uwl	8.40	7.61
2uwp	6.81	8.22
2uy4	4.68	7.14
2v2c	3.41	3.93
2v77	5.06	6.06
2v7t	7.48	4.94
2v7u	5.90	4.39
2v7v	6.66	4.31
2vhw	5.09	4.49
2vkm	8.74	8.18
2vmd	3.02	3.58
2vpn	6.72	4.55
2vuk	3.82	3.54
2vw5	8.52	6.27
2w26	9.40	6.92
2zmm	7.60	6.04
2zn7	7.89	6.14
3b3c	3.98	5.51
3b7r	7.70	6.65
3bex	5.57	5.49
3bl0	6.92	5.17
3brn	8.70	3.81
3bu1	8.15	3.67
3bxe	5.48	4.70
3c2f	2.00	5.47
3c2o	3.35	4.45
3c2r	3.11	3.02
3c7i	5.64	6.71
3ccw	7.87	7.15
3ccz	7.29	7.20
3cd7	7.84	8.07
3czv	7.80	7.43
3d2r	5.48	5.25
3d51	4.15	3.16
3d83	8.36	8.41
3ddg	6.00	5.26
3dp4	7.37	5.53
3e92	8.00	7.75
3eko	6.70	4.02
3ekr	5.55	6.97
3ene	6.24	7.61
3eqr	8.70	7.25
3f8c	7.68	5.82
3fat	7.64	5.50
