PDB	Labels	Predictions
6pgb	4.60	4.73
6fnt	4.68	4.02
5u6d	8.59	8.36
4alx	7.28	7.70
4jg7	6.92	7.32
5tuy	6.35	7.18
4u6r	7.85	8.39
6hky	9.34	9.88
3bkl	6.17	6.30
1uyg	4.27	4.47
4qyy	7.30	7.13
2rcw	8.10	8.14
2xkd	5.64	6.01
5j9f	7.23	7.18
3sfh	7.05	6.70
1ett	5.89	6.22
6ugq	7.55	6.97
3wym	9.52	10.22
4leq	6.54	6.76
2p8n	3.15	4.15
3iej	6.66	6.79
5aae	7.46	8.09
5xij	7.30	7.39
4mmm	3.82	5.19
3gt9	3.96	4.77
6ouv	5.55	5.09
3hwx	7.86	5.95
2wkt	4.31	4.77
4uv8	6.47	6.36
4d8s	6.49	6.23
2ghg	8.82	9.10
5a3s	8.68	9.41
5ccl	4.77	5.41
4cwo	5.21	5.50
4i7l	3.99	5.05
4ec0	6.07	7.13
6hys	5.59	5.54
3khv	1.85	3.62
1pf8	7.51	6.99
6mjf	5.16	5.07
2j7e	7.32	7.13
5x73	6.74	7.03
5y6k	6.07	5.98
4g0z	2.21	4.97
2kaw	4.97	5.43
6skd	5.80	6.73
4fcb	8.54	9.06
1qhr	6.89	6.76
2p83	7.96	8.49
3b3x	3.60	3.82
5eob	9.62	8.69
6gjl	3.86	3.95
5jv0	5.96	5.83
6q37	6.36	6.03
4hdc	8.92	8.71
5j20	9.14	8.82
5ny1	6.44	6.73
5jfp	9.32	8.18
4bhi	7.05	5.71
5swh	7.59	7.74
4klv	3.78	4.35
4l6s	8.52	8.75
3r0y	4.84	5.59
1hk1	5.64	6.43
3dkj	5.70	5.95
2ha6	4.32	3.67
3s56	9.62	8.00
5i9x	7.52	7.09
2bxt	8.52	8.34
6pgx	9.21	8.56
5yea	8.30	7.96
5oh3	3.87	4.09
4jnm	8.52	7.69
4w4y	6.46	6.87
6fba	4.70	4.60
5zfi	5.92	6.09
5q0p	7.41	7.29
2xp5	3.44	3.76
6cvf	6.35	5.31
5xfj	8.22	7.73
4qsx	1.74	2.57
6aej	6.15	6.35
1hk3	6.59	6.43
4ded	7.42	7.58
5y0x	5.11	5.98
4p74	5.00	5.58
3hmm	7.60	7.92
1b74	1.30	3.32
3mj1	7.82	8.24
