PDB	Labels	Predictions
4ypw	5.50	4.97
4ypx	4.60	4.64
4ypy	3.80	4.53
4ypz	3.50	4.37
4yq0	4.40	4.53
4yq1	8.30	5.71
4yq2	8.30	5.32
4yq3	6.80	5.43
4yq4	5.70	5.39
4yq5	5.40	5.72
4yq6	6.10	4.92
4yq7	5.20	5.69
4yq8	5.10	5.96
4yq9	6.70	6.79
4yqa	6.30	6.06
4yqb	5.90	5.46
4yqc	6.70	7.24
4yqd	5.10	7.67
4yqg	5.70	5.21
4yqi	4.80	5.29
4yqj	6.20	6.07
4yqk	4.70	5.59
4yql	4.80	6.95
4yqn	5.80	6.89
4yqo	6.30	6.82
4yqp	5.70	5.39
4yqq	6.10	5.04
4yqr	4.00	4.67
4yqs	5.60	4.99
4yqt	6.10	6.00
4yjo	7.90	6.79
4yjp	8.46	7.97
4yjq	7.95	7.18
4yjr	7.69	7.89
4yjs	9.39	8.21
4yjt	8.79	7.61
4yju	7.94	7.33
4yjv	8.55	8.00
4ykr	7.53	6.43
4ykq	7.61	5.88
4ykt	8.28	6.36
4ykw	7.02	6.22
4ykx	5.56	5.07
4ykz	5.06	5.36
4yky	4.30	5.35
4yku	5.12	5.02
