PDB	Labels	Predictions
2are	3.28	4.79
2oag	8.47	8.38
2jbj	9.70	9.26
2pwd	4.40	5.39
2pwg	4.82	5.81
2oym	5.00	5.99
2hzy	7.39	4.71
2ihj	4.59	6.52
2ojg	5.64	7.36
2hzl	6.57	4.00
2ovv	7.92	7.65
2nta	4.80	6.15
2qu6	8.52	8.90
2pog	9.54	7.70
2o4j	10.10	9.67
3b92	8.00	7.31
2p98	6.19	6.82
2z4b	9.36	9.03
2jj3	9.55	8.34
2h15	5.67	7.77
2pov	7.12	7.49
2pow	7.20	8.78
2nmx	5.57	6.52
1vso	4.72	7.13
2p95	9.37	7.91
2p16	10.10	9.07
2flr	6.10	6.26
2pgz	5.74	7.20
2bys	9.52	7.36
2gkl	5.35	4.35
2nsl	4.68	4.55
2nsj	4.79	4.55
2c92	5.68	7.16
2c94	6.82	7.99
2nnq	8.70	7.11
2psv	7.24	8.53
2cem	7.92	7.90
2cen	8.30	8.20
2q54	9.01	8.01
2b3f	6.03	4.11
2bbf	5.10	5.35
2e2r	8.26	6.08
2gz2	5.22	5.97
2hr6	4.92	5.92
2idz	9.40	5.19
2ihk	4.16	6.52
2jff	3.62	4.52
2oiq	4.94	5.48
2otz	3.63	3.63
2ou0	3.23	3.53
2pjo	0.05	1.65
2pzv	3.87	3.66
2q88	5.80	2.90
2q89	6.30	4.49
2qeh	8.62	7.16
2qvu	6.44	5.55
2r3d	-0.15	1.71
2r5p	8.48	9.04
2rde	7.01	8.07
2v8q	4.61	5.63
3b50	7.55	5.80
3bgq	7.96	9.41
3bgz	6.26	6.81
2v8y	5.71	7.98
2jgb	5.61	5.06
1gja	5.42	5.55
1swk	12.00	13.38
1toi	4.05	3.58
1iup	2.54	3.97
1tog	3.22	3.58
1uto	2.27	2.98
1ukb	3.19	3.62
2cjp	3.10	4.43
1vot	6.60	7.48
2fx6	3.70	4.69
2c1q	13.00	11.55
2e2p	4.74	5.55
2epn	7.22	6.54
2i2c	4.70	5.78
2j4k	4.85	5.64
2jdu	6.72	6.17
2jdy	4.37	6.02
2jke	4.23	4.20
2p3t	11.30	9.25
2p4y	9.00	7.81
2p7g	6.53	6.08
2pqc	5.74	7.16
2q6m	6.29	6.18
2q8z	5.68	5.17
2qbq	7.44	7.65
2qbr	6.33	7.91
2qdt	5.19	5.10
2qhy	7.48	10.44
2qhz	7.28	9.34
2qi1	7.30	7.50
2qi3	10.20	9.07
2qi4	10.44	9.50
2qi5	10.85	9.24
2qi6	10.57	9.30
2qmg	9.15	8.80
2qnq	6.11	7.03
2qrl	4.00	4.38
2qry	8.64	5.65
2r6w	9.36	8.37
2r75	6.15	6.27
2reg	5.57	3.47
2rkd	2.72	3.46
2uwl	8.40	8.09
2uwp	6.81	8.39
2uy4	4.68	4.61
2v2c	3.41	3.42
2v77	5.06	5.36
2v7t	7.48	5.78
2v7u	5.90	5.72
2v7v	6.66	4.83
2vhw	5.09	5.55
2vkm	8.74	8.21
2vmd	3.02	4.63
2vpn	6.72	2.71
2vuk	3.82	4.35
2vw5	8.52	5.63
2w26	9.40	7.12
2zmm	7.60	6.26
2zn7	7.89	7.37
3b3c	3.98	5.78
3b7r	7.70	6.03
3bex	5.57	2.00
3bl0	6.92	7.34
3brn	8.70	4.63
3bu1	8.15	3.11
3bxe	5.48	5.08
3c2f	2.00	5.49
3c2o	3.35	4.52
3c2r	3.11	4.30
3c7i	5.64	7.00
3ccw	7.87	8.56
3ccz	7.29	9.13
3cd7	7.84	8.16
3czv	7.80	8.11
3d2r	5.48	5.32
3d51	4.15	4.89
3d83	8.36	8.65
3ddg	6.00	6.18
3dp4	7.37	4.28
3e92	8.00	7.50
3eko	6.70	5.29
3ekr	5.55	6.43
3ene	6.24	7.26
3eqr	8.70	7.16
3f8c	7.68	5.86
3fat	7.64	3.97
