PDB	Labels	Predictions
10gs	6.40	5.83
1bcu	3.28	5.50
1e66	9.89	8.58
1f8b	5.40	6.03
1f8c	7.40	6.23
1f8d	3.40	6.05
1gpk	5.37	6.90
1h23	8.35	6.86
1hfs	8.70	9.12
1hnn	6.24	7.21
1lbk	3.18	5.02
1lol	6.39	5.19
1loq	3.70	5.25
1lor	11.06	6.44
1mq6	11.15	8.52
1n1m	5.70	5.94
1n2v	4.08	5.57
1nvq	8.25	8.08
1o3f	7.96	6.46
1o5b	5.77	6.21
1os0	6.03	6.73
1oyt	7.24	7.45
1p1q	4.89	5.11
1ps3	2.28	4.95
1r5y	6.46	4.94
1sqa	9.21	7.51
1u1b	7.80	5.38
1u33	4.60	4.30
1uto	2.27	3.81
1vso	4.72	7.45
1w4o	5.22	4.95
1xd0	7.12	4.15
1yc1	6.17	7.22
1z95	7.12	8.61
2brb	4.86	6.48
2cbj	8.27	9.82
2cet	8.02	6.86
2d1o	7.70	7.93
2fvd	8.52	6.90
2g70	7.77	5.80
2hb1	3.80	5.01
2iwx	6.68	6.35
2j62	11.34	9.82
2j78	6.42	5.86
2jdm	5.40	6.16
2jdu	6.72	6.16
2jdy	4.37	6.04
2obf	8.85	6.69
2ole	7.25	7.79
2p4y	9.00	8.57
2pq9	8.11	6.28
2qbp	8.40	6.97
2qbr	6.33	6.58
2qft	5.26	3.95
2v00	3.66	4.01
2v7a	8.30	7.97
2vl4	6.01	5.48
2vo5	4.89	6.83
2vot	7.14	5.90
2vvn	7.30	6.99
2vw5	8.52	6.93
2w66	4.05	6.28
2wbg	4.45	6.27
2wca	5.60	7.01
2weg	6.50	6.66
2wtv	8.74	8.21
2x00	11.33	7.78
2x0y	4.60	8.92
2x8z	7.96	5.20
2x97	5.66	7.13
2xb8	7.59	5.98
2xbv	8.43	9.47
2xdl	3.10	5.11
2xhm	6.80	6.97
2xnb	6.83	7.28
2xy9	9.19	8.34
2xys	7.42	7.16
2y5h	5.79	8.42
2yfe	6.63	6.68
2yge	5.06	5.81
2yki	9.46	7.50
2ymd	3.16	5.02
2zcq	8.82	6.45
2zcr	6.87	6.69
2zjw	7.70	6.42
2zwz	7.79	7.74
2zx6	10.60	9.97
2zxd	5.22	8.19
3acw	4.76	7.57
3ag9	8.05	7.06
3ao4	2.07	4.72
3b68	8.40	7.96
3bfu	6.27	4.59
3bkk	6.08	7.13
3cft	4.19	5.52
3coy	6.02	5.62
3cyx	8.00	7.65
3d4z	4.89	5.50
3dd0	9.00	8.19
3dxg	2.40	4.85
3e93	8.85	7.79
3ebp	5.91	6.08
3ehy	5.85	7.02
3ejr	8.57	7.52
3f17	8.63	7.27
3f3c	6.02	3.24
3f80	4.22	4.55
3fcq	2.77	4.47
3fk1	2.62	4.83
3fv1	9.30	8.87
3g0w	9.52	8.72
3g2n	4.09	4.96
3g2z	2.36	3.96
3gbb	6.90	6.47
3gcs	7.25	7.09
3ge7	8.70	7.45
3gy4	5.10	3.75
3huc	5.99	7.53
3i3b	2.23	3.57
3imc	2.96	3.52
3ivg	4.30	5.51
3jvs	6.54	7.46
3k5v	6.30	7.43
3kgp	2.57	4.25
3kv2	7.32	4.50
3kwa	4.08	5.13
3l3n	8.18	7.12
3l7b	2.40	3.88
3lka	2.82	7.46
3mfv	2.52	5.61
3mss	4.66	5.98
3muz	3.46	4.19
3myg	10.70	8.25
3n7a	3.70	4.45
3n86	5.64	6.01
3nox	8.66	8.74
3nq3	3.78	6.11
3nw9	9.00	7.50
3oe5	6.88	6.12
3owj	6.07	6.26
3ozt	4.13	5.53
3pe2	9.76	7.53
3pww	7.32	5.72
3pxf	4.43	5.80
3u9q	4.38	4.99
3udh	2.85	5.65
3ueu	5.24	6.11
3uex	6.92	6.11
3uo4	6.52	7.01
3utu	10.92	8.44
3vd4	4.82	4.19
3vh9	6.24	4.00
3zso	5.12	5.74
3zsx	3.28	4.64
4de1	5.96	6.09
4de2	4.12	5.45
4des	5.85	6.16
4dew	7.00	6.15
4djr	11.52	10.88
4djv	6.72	7.36
4g8m	7.89	5.84
4gid	10.77	8.48
4gqq	2.89	3.63
4tmn	10.17	6.78
