PDB	Labels	Predictions
1gm8	4.80	5.46
1gpk	5.37	5.95
1hnn	6.24	7.04
1hp0	6.70	4.19
1hq2	6.77	4.90
1hvy	6.17	7.37
1hwi	7.55	6.12
1hww	7.70	4.28
1ia1	7.47	5.02
1j3j	8.01	4.60
1jd0	8.24	6.63
1jje	8.43	4.65
1ke5	6.25	7.37
1kzk	10.40	8.80
1l2s	4.59	4.38
1l7f	9.10	7.01
1lpz	7.60	7.42
1lrh	6.82	3.81
1m2z	7.22	7.11
1mmv	7.24	3.70
1n1m	5.70	5.17
1n2v	4.08	4.34
1n46	10.52	8.50
1nav	7.60	7.93
1of1	4.82	5.00
1of6	6.05	3.67
1opk	9.82	7.25
1oq5	7.68	8.30
1owe	6.20	6.17
1oyt	7.24	6.15
1p2y	5.00	4.45
1p62	4.66	4.37
1pmn	8.15	8.46
1q1g	8.57	6.70
1q41	7.66	7.06
1q4g	6.89	4.97
1r1h	8.92	6.45
1r55	6.80	5.38
1r58	6.96	7.08
1r9o	5.02	4.78
1s19	9.51	6.45
1s3v	7.42	6.50
1sg0	7.47	4.34
1sj0	9.10	7.70
1sq5	4.39	2.92
1sqn	9.40	7.94
1t40	7.96	5.99
1t46	6.38	5.99
1t9b	6.90	5.13
1tow	6.24	4.55
1tt1	7.19	7.06
1u1c	5.37	4.63
1uml	7.52	8.77
1unl	6.70	6.32
1uou	7.70	4.51
1v0p	6.89	6.46
1v48	8.16	7.06
1v4s	6.44	6.33
1vcj	4.59	4.34
1w1p	2.30	2.36
1w2g	4.57	3.81
1xm6	6.38	5.33
1xoq	9.17	8.21
1xoz	8.92	8.06
1y6b	7.42	8.03
1ygc	9.46	7.38
1yqy	7.62	5.98
1ywr	7.49	5.68
1z95	7.12	8.34
2bm2	7.82	6.34
2br1	5.14	5.72
2bsm	5.82	7.41
