PDB	Labels	Predictions
6pgb	4.60	4.64
3rz1	8.74	8.74
6fnt	4.68	4.69
4ww8	10.17	9.46
5u6d	8.59	8.46
5ap7	6.29	6.63
4alx	7.28	6.90
4jg7	6.92	7.17
6hky	9.34	9.45
1moq	3.46	3.36
1uyg	4.27	4.62
4qyy	7.30	7.83
2rcw	8.10	8.30
5k0f	6.07	5.95
4x8v	6.89	7.63
5wev	6.82	6.76
2ei6	7.39	7.57
2xkd	5.64	6.24
6s9x	6.42	6.81
6nlj	4.82	5.37
6ugq	7.55	6.19
3hvk	8.52	7.36
3wym	9.52	9.43
4leq	6.54	6.45
3iej	6.66	7.63
2k0g	6.97	6.88
5teh	7.55	7.61
5xij	7.30	7.27
4mmm	3.82	3.53
6knh	3.55	3.12
3hwx	7.86	7.89
4w9x	7.40	7.62
2wkt	4.31	4.26
4uv8	6.47	6.60
4d8s	6.49	6.10
4p02	6.40	6.79
2ghg	8.82	8.63
3udd	7.10	7.29
5ccl	4.77	6.27
4cwo	5.21	6.15
4i7l	3.99	3.96
4ec0	6.07	6.36
6myn	7.85	8.42
5wr7	8.96	9.00
1o4d	3.52	3.35
3khv	1.85	3.13
1pf8	7.51	7.35
2j7e	7.32	7.23
5x73	6.74	6.54
5wip	4.71	5.09
6mmo	3.35	4.27
4g0z	2.21	3.29
2kaw	4.97	4.77
6nfg	4.11	5.10
1ai7	4.09	3.20
6skd	5.80	6.94
1qj1	8.05	8.08
1qhr	6.89	7.52
4u70	5.02	5.78
2p83	7.96	8.40
2p2h	7.17	7.47
4qpd	7.82	7.93
6fs1	7.01	7.02
5eob	9.62	9.12
4hai	8.10	7.93
6gjl	3.86	3.33
6gcw	8.64	9.29
3f19	7.19	5.66
6q37	6.36	6.59
4hdc	8.92	9.93
5aia	5.20	5.34
5j20	9.14	8.64
5ny1	6.44	6.77
5jfp	9.32	9.82
3n3g	7.24	7.48
5swh	7.59	6.86
4tpm	8.62	8.75
1xbc	7.92	8.23
2r38	7.44	7.08
4l6s	8.52	7.72
3r0y	4.84	6.49
1hk1	5.64	6.06
4zw7	4.72	6.32
3dkj	5.70	6.65
2ha6	4.32	4.35
3s56	9.62	8.30
5i9x	7.52	8.06
2bxt	8.52	8.99
3e6v	6.83	6.51
6ey7	4.30	4.48
6g3c	6.91	7.22
5oh3	3.87	3.82
4jnm	8.52	7.75
6fba	4.70	4.50
5zfi	5.92	6.17
1o0o	5.10	4.56
2xp5	3.44	3.69
6cvf	6.35	4.61
5xfj	8.22	8.37
6aej	6.15	5.91
5lvr	3.60	3.85
4ded	7.42	6.90
4p74	5.00	5.07
1b74	1.30	2.14
4ruz	7.64	7.01
4tpw	4.69	5.22
2c02	4.04	4.30
5za2	5.77	5.80
5tol	7.48	7.77
6jz0	7.82	7.90
5j7q	4.58	4.50
5mxf	3.59	3.68
2brg	5.21	5.68
4gg5	9.03	8.68
5wf3	5.85	6.53
3mhl	7.25	7.24
4kiq	7.64	8.04
4pin	5.40	5.61
3zxh	8.52	8.44
2nt7	6.52	6.98
5l6p	7.26	6.95
4uiu	7.90	8.41
3oaw	8.15	7.50
3dnt	4.74	5.13
4o55	5.30	6.99
1bm7	7.52	7.25
6dvm	8.52	8.66
3ihz	6.80	8.03
4hbv	4.64	4.79
3oy1	7.80	8.01
5jcj	4.42	6.04
5kks	8.70	8.55
1ung	6.80	6.35
2o8h	7.60	8.07
2cex	4.70	6.52
3vi5	5.68	6.89
4r92	7.41	7.65
3mrx	3.39	3.72
3mzc	6.65	7.28
4di2	8.26	9.28
5nxw	7.24	6.85
4ie5	4.82	4.34
4q7v	3.59	3.18
6bhv	5.23	5.99
4mk0	5.20	5.75
4r5t	6.10	6.10
3iaf	2.92	3.48
6g2r	9.46	9.71
4d83	7.26	7.50
4zei	5.88	6.40
5h1t	3.80	3.76
5q0u	6.76	7.31
2gh6	4.95	6.22
4ona	8.15	8.37
5umy	6.97	7.28
5uga	6.79	7.48
2aod	5.66	6.08
5nuu	8.20	7.72
6dgo	5.47	6.15
1lhg	7.10	7.73
3iod	4.10	4.13
2yex	10.00	8.92
6q54	6.49	6.69
5w6e	8.04	8.06
6i63	7.01	6.47
5f2k	6.16	6.26
2qcg	4.00	4.13
6fu5	7.50	7.65
4o3f	5.56	5.59
5khi	6.77	6.60
3kqy	4.82	5.26
4z0q	8.17	8.88
6c8c	6.38	6.48
5u69	6.22	6.22
6c3u	5.40	5.43
2cmc	5.76	6.98
2ww2	4.85	4.92
4x0f	7.00	6.88
2xru	7.51	7.63
6gnr	5.44	5.83
4cc6	6.64	6.56
3uvq	7.77	8.39
5zo8	8.20	8.44
5am4	6.95	6.83
5mi9	8.35	7.75
6j06	6.59	7.12
6rfi	7.43	8.02
3f3u	4.74	6.17
2fwy	6.70	6.63
3ipb	6.70	7.76
6fe0	6.48	6.56
5kh3	4.22	4.41
1w1d	6.52	6.71
2xgo	3.00	2.90
3n0n	7.30	7.15
5ak4	4.23	4.40
6f6s	2.89	3.06
5tq4	8.38	8.41
4tmr	7.22	7.39
4o05	7.43	7.20
2qi7	10.21	9.60
6mmc	3.61	4.20
3d4q	10.52	9.62
4xx4	7.36	7.39
5fqv	6.21	6.71
6fsy	6.61	6.58
1v2l	4.29	4.08
2oz6	5.26	5.63
4hyh	9.00	9.33
2x52	4.24	3.67
2w7x	7.62	8.80
5t19	4.49	4.83
5buj	8.30	8.29
4pb2	4.80	4.68
3qd3	8.00	8.57
1w1y	2.62	3.22
6n0j	5.37	5.44
4cwf	4.49	3.97
4nh8	8.52	8.64
5n53	2.55	3.12
5q0q	6.11	6.77
4rfd	8.05	7.53
2wi6	6.64	6.91
6cpw	8.25	7.78
2x2l	5.28	5.00
5alw	5.15	5.82
5du6	5.02	5.23
4pid	4.62	4.86
2ou7	3.81	4.59
2w97	0.96	1.98
1f5l	5.28	5.00
3vru	10.00	9.83
5toz	9.46	8.53
5tg4	3.32	4.23
3f8w	4.08	4.18
3fuh	2.70	2.54
4qyg	8.39	8.40
5h9r	6.08	6.43
2f81	10.52	9.95
5yfs	4.86	5.22
2zm3	6.21	6.60
5tob	8.82	8.15
4l0s	6.84	6.59
3pb9	6.58	6.21
5ckr	7.76	7.75
3lbj	4.96	5.63
4i6f	8.30	8.30
6j8r	6.12	6.29
4a4l	7.82	8.34
5ct1	1.52	2.12
4lbu	6.56	6.64
5kls	6.71	6.53
4dbn	8.15	8.36
4k7o	4.30	4.35
5khx	7.85	7.86
4wp7	6.10	6.03
6o5u	4.38	4.77
5ei8	8.10	8.18
3btc	5.75	5.74
5sz9	4.42	5.66
4n7j	5.47	5.85
5g5f	5.28	5.48
1qj7	8.10	8.33
1r5n	5.42	5.83
3eax	4.92	5.59
2fr3	8.70	7.94
3sk2	3.61	3.66
6udt	10.00	11.28
5hk2	8.59	8.64
5uqx	6.21	6.39
2qch	3.60	4.60
3dcv	8.52	8.15
4jz1	6.70	6.99
4w9e	5.15	5.22
4cpt	7.70	8.91
6p3v	7.02	7.02
6eq8	8.00	7.86
2ie4	10.00	9.86
3ehx	7.60	7.62
2j87	4.85	4.95
2i47	8.66	8.38
2ybt	4.70	5.61
4g3e	8.38	8.48
4n7m	5.47	5.85
4bcb	8.52	8.86
6d1m	8.20	8.53
1v2q	4.13	4.78
6hcu	7.82	7.93
5sz4	9.70	7.47
4db7	6.56	6.18
4nb6	7.22	7.96
4hwo	8.54	8.43
3zmh	5.28	5.68
5j71	6.96	8.02
5jal	2.47	3.07
5moo	1.31	1.80
3q77	8.22	8.13
4nue	6.82	6.32
5op6	4.68	5.04
2wzs	3.85	5.09
3cjf	8.20	7.80
4fpf	4.41	4.44
5dri	7.70	6.50
5zdg	5.42	5.86
6ela	7.59	7.83
5e2m	7.23	8.22
3el1	9.64	10.00
6hkn	7.29	7.27
6ovz	3.85	3.30
2os9	2.24	2.77
2on6	6.76	8.74
5vfn	3.52	3.49
2pe0	7.10	6.87
3txo	8.05	8.19
6fmn	5.95	6.02
5e8r	8.70	8.00
4na7	9.70	9.87
2glp	5.01	5.55
2i4p	5.70	6.03
3k5f	5.43	5.77
3g2l	3.87	4.23
2oax	8.65	7.92
4yl0	8.22	8.59
5ehp	4.92	5.26
3n2v	7.51	7.90
2pym	6.82	8.27
5ekm	6.32	7.12
1uwf	6.82	6.88
3qqu	8.62	8.11
5mwp	7.50	7.70
3bjc	6.96	7.47
5nud	7.49	7.37
6hzu	8.26	8.29
2vk6	5.30	5.32
4xtm	4.57	4.86
2qmf	8.52	8.94
5am1	8.52	8.26
4xct	8.17	7.48
1utj	3.84	3.65
1usn	7.74	7.85
5uuu	7.74	6.76
5lz4	5.70	6.46
3ucj	6.00	5.91
3as3	3.80	5.04
1ylv	2.70	2.64
1yc4	6.55	7.23
4xya	5.86	6.23
1ym1	6.24	7.22
6e6v	7.77	7.10
4hww	6.65	6.93
5llp	9.24	8.97
4eh2	3.16	3.93
6ft3	6.42	6.98
3arr	5.40	4.13
5llc	9.52	8.64
3qvu	3.55	2.85
4btm	5.39	5.53
2aia	5.41	6.88
4joo	4.43	5.96
4yas	3.41	2.95
1z71	9.18	9.82
3ti6	9.27	7.36
4ayv	9.17	9.40
2onc	7.89	7.45
4qsw	1.68	2.68
6o9x	6.05	5.81
6p8z	4.70	5.84
3f39	1.78	2.35
3h3c	6.85	6.75
6c0r	7.51	8.30
1w12	7.85	8.08
3g08	8.16	7.64
5wa7	6.40	6.58
4qip	5.15	4.78
4jq7	6.41	7.03
3s8x	7.30	7.25
2o64	6.47	6.85
4o0z	7.24	7.70
3pwd	6.66	6.63
5dhu	6.30	5.88
5aqo	2.85	3.01
2b8v	7.01	7.42
6mo8	5.84	6.20
6ckr	7.30	7.20
5gn6	6.92	7.02
6jdl	4.89	5.32
